Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Nationality,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,LastName,FirstName,FullName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
1,4,50824.0,18498.0,5,138830,7,14,63841,72.0,12,7,10,5,5,58906,16154.0,1,187.0
3,5,6679.0,2086.0,1,140786,3,10,22143,82.0,2,0,6,1,1,9414,377.0,7,184.0
6,3,52673.0,19070.0,4,137769,6,2,79921,,11,2,0,4,4,71836,7639.0,7,178.0
3,15,8424.0,6784.0,11,140342,3,0,45024,82.0,7,10,8,11,11,18093,1007.0,7,188.0
4,7,18673.0,4744.0,10,140485,4,3,30730,64.0,3,14,1,10,10,22746,1864.0,0,175.0
5,1,27587.0,8079.0,15,140146,5,4,54970,70.0,8,9,16,15,15,36946,7871.0,8,178.0
5,1,27587.0,8079.0,15,140146,5,4,54970,70.0,8,9,16,15,15,36946,7871.0,8,178.0
4,2,12542.0,10.0,0,140365,4,8,11372,73.0,0,16,11,0,0,3676,179.0,6,184.0
1,10,29720.0,10454.0,9,140453,0,5,55042,70.0,9,11,7,9,9,22193,812.0,7,176.0
2,0,47767.0,18714.0,3,137724,2,12,68950,58.0,13,13,4,3,3,38737,16752.0,6,169.0
6,14,12798.0,270.0,14,140619,6,7,14576,77.0,1,15,12,14,14,3926,666.0,7,190.0
4,12,55639.0,20535.0,6,160352,4,1,89125,,14,12,9,6,6,73388,14791.0,5,181.0
4,6,65252.0,24151.0,7,179224,4,1,101658,,16,8,14,7,7,95087,27278.0,4,
2,8,47066.0,16881.0,12,140633,2,15,59614,,10,3,3,13,13,32178,2530.0,7,175.0
1,11,,12297.0,8,138877,7,9,34718,,5,5,2,8,8,15290,2364.0,2,
0,16,54395.0,20730.0,16,168961,1,6,75859,70.0,15,1,15,16,16,74709,18258.0,3,187.0
6,13,37518.0,10424.0,13,140934,6,13,55735,,4,6,5,12,12,32000,2182.0,7,172.0
1,9,23014.0,7606.0,2,140501,7,11,45633,68.0,6,4,13,2,2,20340,828.0,7,179.0
