GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,FIRST_NAME,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,0,31,3,7,17,17,75
0,0,1,79,4,44,53,17,29
1,0,0,69,3,53,31,15,3
1,0,0,28,3,27,37,27,59
0,0,1,42,4,75,62,10,79
0,0,1,46,4,80,42,3,48
0,0,1,84,4,74,41,15,39
1,0,1,41,4,82,10,2,64
1,0,0,67,3,17,47,9,56
1,0,1,0,4,86,13,15,48
1,2,0,55,3,18,34,3,24
1,0,0,73,3,64,39,0,4
1,0,0,45,3,34,22,15,71
1,0,0,56,3,36,76,8,78
1,0,1,59,4,43,2,13,26
0,0,1,70,4,79,51,15,48
0,0,1,39,4,77,81,7,36
0,0,1,6,4,2,71,14,66
0,0,0,14,4,56,73,17,31
1,0,0,17,3,61,27,23,15
1,0,0,12,3,24,6,6,74
1,0,1,81,4,76,18,10,69
0,0,1,18,4,12,57,1,60
1,0,0,80,3,52,19,15,72
0,0,1,43,4,46,74,9,44
0,0,0,9,6,63,83,6,32
1,0,0,51,3,41,35,9,17
0,0,1,66,4,28,85,0,61
0,0,1,54,4,25,69,25,46
1,0,0,48,3,15,33,9,68
0,0,1,4,4,0,26,14,0
0,0,1,11,4,67,49,1,42
0,0,1,71,4,29,54,13,70
1,0,0,40,3,13,4,1,23
1,1,0,24,3,39,84,22,1
0,0,1,33,4,65,52,8,48
1,0,0,49,3,49,8,3,11
1,0,0,63,3,78,38,18,48
0,0,1,75,4,85,63,17,48
1,0,0,37,3,47,20,11,9
1,1,0,15,3,72,77,4,65
0,0,1,7,4,4,1,5,25
1,0,0,2,3,45,21,22,73
0,0,1,32,4,6,44,4,22
0,0,1,29,4,66,80,7,18
0,0,0,5,1,35,59,14,54
0,0,1,58,4,15,68,17,55
0,0,1,32,4,21,40,3,47
1,0,0,38,3,31,25,5,76
1,0,0,22,3,23,28,15,50
0,0,1,52,4,9,43,20,48
1,0,0,35,3,86,7,15,48
0,0,1,66,4,58,60,13,40
1,0,1,74,4,59,75,26,5
0,0,1,19,4,73,45,11,41
0,0,1,25,4,55,85,24,37
1,0,0,44,3,71,30,12,14
1,0,0,53,3,37,11,13,20
1,0,0,83,3,20,32,17,48
0,0,1,64,4,22,65,9,45
1,0,0,47,3,54,14,26,12
0,0,1,65,4,51,85,17,43
1,0,0,78,3,48,12,9,8
0,0,1,20,4,38,70,5,49
1,0,0,62,3,69,24,8,6
1,0,0,60,3,70,29,26,2
0,0,1,72,4,16,66,9,62
1,0,0,3,3,1,15,14,52
1,0,0,61,3,68,5,14,10
0,0,1,57,4,19,67,9,51
1,0,0,13,3,42,78,7,63
1,0,0,27,0,10,23,11,77
1,0,0,23,3,5,16,2,19
1,1,0,16,3,14,79,2,16
1,0,0,36,3,30,3,10,27
0,0,1,82,4,83,64,0,33
0,0,1,34,4,26,72,21,58
0,0,1,42,4,8,61,17,57
0,0,1,68,4,84,85,17,38
0,0,1,30,4,81,48,15,48
0,0,0,50,2,62,46,26,34
1,0,0,8,3,50,0,11,7
1,0,0,76,3,60,9,10,13
0,0,1,85,4,33,50,15,30
0,0,1,10,4,32,56,19,53
1,0,0,1,5,57,82,16,67
0,0,1,77,4,40,55,13,35
1,0,1,21,4,11,36,15,28
0,0,1,26,4,3,58,26,21
