GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,12460992,118,118,38,0,8,12457699,0,4
0,21664027,171,171,37,0,12,21662360,1,4
1,14716347,127,127,40,1,13,14714348,1,4
1,24261916,183,183,21,1,17,24259394,0,4
0,16959828,144,144,37,0,5,16958119,1,4
0,22507853,176,176,22,0,5,22506750,0,4
0,5808507,87,87,19,0,11,5806811,1,4
1,4686426,76,76,21,1,13,4684330,0,4
0,19111241,157,157,37,0,12,19109871,1,4
0,578294,57,57,37,0,8,576495,0,4
0,7409936,29,29,6,0,16,7408131,1,3
0,5564839,83,83,38,0,11,5563799,0,4
0,16126477,137,137,19,0,11,16125630,0,4
0,16125431,136,136,18,0,8,16124496,0,4
0,6496823,89,89,23,0,11,6495699,1,4
0,22866651,178,178,38,0,5,22865183,1,4
0,517377,186,186,22,0,22,516034,0,4
0,22420594,175,175,37,0,5,22418891,0,4
0,6623857,90,90,19,0,8,6622859,0,4
0,404271,187,187,19,0,25,403456,0,4
0,901193,59,59,22,0,11,900303,0,4
1,4678403,21,21,3,1,19,4674539,0,3
1,6731177,91,91,25,1,13,6730012,0,4
0,8345450,100,100,18,0,11,8343849,0,4
0,1190069,63,63,38,0,11,1189272,0,4
1,166610,3,3,33,1,10,159343,0,1
0,12080076,45,45,5,0,23,12076498,1,3
0,7308392,96,96,22,0,8,7307190,1,4
1,11814846,114,114,20,1,13,11812601,0,4
0,14246569,122,122,37,0,11,14244689,0,4
0,15526762,53,53,6,0,7,15525344,1,3
0,10367781,109,109,37,0,8,10366297,1,4
0,19353997,158,158,18,0,12,19353143,1,4
0,11228364,112,112,19,0,8,11227465,1,4
0,4822884,22,22,16,0,23,4821965,0,3
0,802447,11,11,18,0,18,797690,1,2
0,7223642,26,26,1,0,23,7222040,1,3
0,4478317,20,20,42,0,7,4476602,1,3
0,7726763,33,33,42,0,7,7725846,1,3
1,4347332,75,75,31,1,17,4345470,0,4
0,7085743,95,95,18,0,11,7084628,1,4
0,14417657,126,126,18,0,11,14416290,0,4
0,10473550,41,41,2,0,23,10471814,1,3
0,17169188,146,146,37,0,5,17167599,1,4
0,17204565,147,147,37,0,5,17202847,1,4
1,954065,60,60,24,1,17,950709,1,4
0,7536063,32,32,43,0,23,7534078,1,3
0,5310760,80,80,18,0,8,5309435,1,4
0,11930294,115,115,37,0,8,11928846,1,4
0,1163943,62,62,19,0,11,1162260,1,4
0,11141122,111,111,19,0,8,11139777,0,4
0,3888303,18,18,42,0,23,3887290,1,3
0,14297622,123,123,37,0,8,14294152,1,4
0,16271105,139,139,34,0,8,16270171,1,4
0,19098062,156,156,18,0,12,19092804,1,4
0,1488889,8,8,17,0,2,1488146,1,1
0,720767,1,1,17,0,4,720270,1,0
0,1138017,61,61,19,0,8,1136944,0,4
0,8477276,36,36,15,0,23,8475756,0,3
0,4986283,79,79,19,0,11,4984864,1,4
0,6830368,92,92,18,0,11,6828929,0,4
