SPORT_TYPE,LANGUAGES_SPOKEN,WEIGHT_KG,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,MEMOIRE_DU_CYCLISME_CYCLIST_ID,CYCLING_ARCHIVES_CYCLIST_ID
3,3,78.0,5,40974.0,13220,2,6,1966,183.0,6,11731.0,140657,4,48194,5,4948.0,18001
3,2,67.0,3,39287.0,13240,8,5,1310,178.0,5,66281.0,140835,1,55029,3,10495.0,21075
2,3,78.0,1,8760.0,4179,4,0,406,181.0,0,42225.0,140749,7,32691,2,6915.0,19407
0,3,76.0,0,6978.0,4377,3,4,31,181.0,4,7658.0,140865,5,198213,1,1203.0,18964
2,3,,9,,21930,0,3,31208,194.0,3,2272.0,171075,9,94033,9,,89029
0,0,70.0,2,49569.0,16438,9,9,7900,180.0,9,,137352,8,67841,6,55736.0,67531
3,1,58.0,7,47767.0,18714,1,2,16752,169.0,2,33298.0,137724,6,68950,4,55992.0,38737
1,4,,8,,21238,5,8,16811,178.0,8,,132431,2,79514,0,,80578
3,1,64.0,6,47153.0,16853,7,1,6515,,1,8553.0,140094,3,64665,8,54907.0,49227
1,2,74.0,4,29396.0,13270,6,7,3933,179.0,7,44990.0,140415,0,47742,7,10061.0,24871
