SPORT_TYPE,LANGUAGES_SPOKEN,WEIGHT_KG,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,MEMOIRE_DU_CYCLISME_CYCLIST_ID,CYCLING_ARCHIVES_CYCLIST_ID
3,5,62.0,4,43386,14310.0,5,8,3991,173,8,35954.0,140509,11,53804,6,43346.0,36343
1,4,,11,48143,21971.0,11,4,16672,184,4,205449.0,168754,5,79462,11,,64280
0,4,69.0,8,44733,16677.0,3,11,2324,185,11,213342.0,140118,6,73892,7,55213.0,64982
4,4,68.0,10,52529,19274.0,7,3,9042,178,3,7809.0,141312,0,73573,9,,57052
2,6,78.0,5,26009,12193.0,8,6,784,184,6,1940308.0,140797,12,54603,4,9096.0,30229
3,3,71.0,6,46998,16666.0,2,9,2338,176,9,22458.0,140492,3,64680,8,55148.0,48356
3,3,60.0,12,80654,,0,0,65240,176,0,,202483,10,157221,12,,121401
3,3,61.0,2,19630,10023.0,9,2,794,175,2,28543.0,140233,2,54679,0,10112.0,22431
3,2,69.0,1,19478,7838.0,4,12,918,180,12,63706.0,140805,4,44337,1,5661.0,19062
4,3,66.0,3,39238,13078.0,1,1,780,182,1,10240.0,140385,7,284170,10,4591.0,22432
3,0,68.0,9,49390,18146.0,7,7,6266,179,7,,134488,8,75225,3,55481.0,59380
3,2,66.0,0,17795,43.0,10,10,139,177,10,55134.0,140553,9,13980,2,20516.0,8149
3,1,72.0,7,38259,13066.0,6,5,2211,178,5,26443.0,140384,1,62919,5,45665.0,39964
