Entity_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,313057,147,312338,0
0,81801,40,80905,1
1,15410,226,14340,1
0,2162466,66,2161639,0
0,749937,95,749176,1
0,1098996,239,1097833,1
1,432941,203,432381,1
0,1077230,227,1076451,0
0,33929,169,32910,1
0,1422032,55,1421220,0
1,652441,52,651695,1
0,402463,87,401243,0
0,18040,109,16886,0
0,394684,22,394031,1
0,1153229,240,1151997,0
0,750678,156,750031,1
0,9906,4,8728,1
0,12258,155,11053,1
0,2202990,65,2202343,1
0,1011398,159,1010715,0
0,375897,23,375253,0
0,946792,6,945539,1
0,4632,137,3406,1
1,563168,91,561921,1
1,493669,122,492404,1
0,749602,56,748862,1
0,1832,61,591,0
0,217780,244,216641,0
0,1088191,238,1087412,1
1,779639,96,778437,0
1,10709,218,9531,0
0,23056,193,22262,0
1,667923,94,666610,1
1,497406,34,496306,0
0,365512,36,364310,1
0,9985,151,9303,0
1,4174,29,2966,0
0,1057942,133,1056725,0
0,589228,206,588062,0
0,26139,27,25351,1
1,182780,42,181743,1
0,196658,242,195561,0
0,387281,11,386064,0
0,1897997,128,1897239,0
0,1860,163,1114,1
0,581117,205,580287,0
0,386514,175,385279,0
0,599280,204,598465,1
1,745129,162,744176,0
0,1428734,54,1428093,0
0,1968229,126,1967444,1
1,13702,26,12743,0
0,1193619,232,1192936,0
0,210588,243,209491,0
1,17599,79,16553,0
0,1049347,134,1048619,0
0,663709,106,662936,1
0,1471918,183,1470884,0
0,878597,143,877761,0
0,18090,98,17131,0
0,1783506,130,1782673,1
0,1194158,233,1193721,0
1,5205,99,4201,1
1,177073,107,175745,0
0,153559,235,152606,0
0,4472,216,3321,0
0,979496,117,978543,1
0,1905082,69,1904309,1
1,27009,45,25858,1
0,38006,197,37197,0
0,1221966,178,1220947,0
0,226729,43,226322,1
1,76658,39,76494,0
0,987733,115,987176,1
1,937169,158,936387,1
0,400728,176,399566,0
0,983808,116,982858,1
1,497744,121,496932,1
1,3831,170,3070,1
1,3587,164,2544,0
0,10011,38,9199,1
0,1474427,53,1473666,0
0,36547,223,35690,0
0,531335,174,530982,1
1,477748,120,476525,1
1,1925877,68,1925107,1
0,1564778,74,1564014,1
0,1106541,228,1105297,0
0,15525,111,14710,1
1,2102,113,1101,1
0,178084,112,176870,1
0,705599,93,704769,0
0,77581,8,76523,1
0,837722,210,837087,0
0,1677,77,712,1
0,272963,214,272211,0
1,11639,198,10170,0
0,2202884,185,2202237,1
0,1487286,181,1486264,1
0,2879,135,2091,1
0,12102,220,11231,0
1,551759,89,550737,1
0,12897,5,11857,1
0,863354,142,862533,0
1,2640,172,1327,0
0,2089274,125,2088630,1
0,384191,37,383100,0
0,323886,161,323095,1
0,571633,48,570836,0
0,684782,58,683826,0
0,914563,157,913814,0
0,31139,62,29922,0
1,1247221,180,1246121,0
0,1222996,108,1222181,1
1,290434,82,289571,0
0,1022329,213,1021526,1
0,36628,46,35402,1
1,1131697,171,1130438,1
