Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
1,26,44932.0,10601,29,5386.0,137496,29,,9,24,55066,79.0,9,126201.0,1,28,20634,9932.0,2,182.0,4
0,19,,25335,19,,184242,19,,0,18,102035,,26,,27,18,93791,37447.0,18,177.0,18
0,2,14093.0,5098,27,,140811,27,,7,6,46139,67.0,5,122398.0,18,26,20001,1579.0,17,180.0,13
0,22,56041.0,20719,24,127549.0,174582,24,66232.0,14,25,88889,65.0,11,135863.0,24,23,72449,18655.0,9,177.0,17
0,20,38259.0,13066,18,26443.0,140384,18,45665.0,0,5,62919,72.0,12,,16,18,39964,2211.0,16,178.0,11
0,10,54277.0,19548,8,2703.0,141131,8,62693.0,1,30,110814,64.0,17,,8,8,72903,9302.0,14,184.0,18
0,18,66386.0,25289,14,1326.0,176318,14,,0,1,94975,,23,140753.0,10,15,98891,37445.0,10,,18
0,21,45048.0,15791,22,2442.0,140102,22,,9,23,64803,75.0,14,145787.0,3,21,45374,3287.0,9,180.0,1
0,4,70678.0,27025,7,,194068,7,,17,12,101820,,28,143129.0,11,7,120394,45349.0,11,178.0,18
0,15,69924.0,26388,21,,203053,21,,4,7,158259,,29,,4,20,122135,66265.0,7,191.0,18
0,13,14221.0,333,15,45721.0,140862,15,18021.0,16,16,24447,73.0,0,125333.0,28,14,9905,,1,186.0,2
0,9,59981.0,22676,10,,170164,10,69592.0,7,26,95753,69.0,19,144170.0,19,10,81741,28781.0,12,182.0,18
0,14,43387.0,14321,11,,140505,11,54516.0,16,17,422366,60.0,10,133661.0,13,11,24864,2977.0,5,173.0,14
1,11,46958.0,13863,9,,140739,9,28971.0,7,14,58761,72.0,8,,22,9,38022,2982.0,4,184.0,12
0,0,7764.0,1237,4,41367.0,140800,4,6404.0,15,9,29164,70.0,2,120395.0,12,4,10911,706.0,17,183.0,8
0,8,68529.0,24255,5,29548.0,181748,5,,5,10,112351,53.0,25,142858.0,7,5,105237,37378.0,12,173.0,18
0,1,46381.0,18610,12,77168.0,137427,12,56596.0,5,21,71557,62.0,15,133837.0,0,12,63999,12474.0,6,173.0,0
0,30,19242.0,3461,23,36814.0,140601,23,8960.0,5,8,32238,71.0,4,111594.0,25,22,18019,165.0,0,184.0,3
0,29,60759.0,22794,6,37069.0,168760,6,,16,2,86857,61.0,22,,15,6,81087,1527.0,13,177.0,18
0,23,83295.0,28377,25,84000.0,212377,25,,2,0,587366,62.0,30,141007.0,5,24,141854,84019.0,15,171.0,18
0,16,27115.0,7722,20,23211.0,140331,20,28005.0,16,11,54130,67.0,1,,21,19,35513,868.0,18,177.0,6
0,5,,24316,0,,181239,0,,13,29,97280,67.0,24,146238.0,29,0,104872,37281.0,15,186.0,18
0,27,52044.0,20798,17,9184.0,132438,17,66541.0,6,3,86938,70.0,18,143404.0,26,17,71789,16643.0,13,183.0,18
0,12,65453.0,26508,1,,195739,1,,18,19,150923,69.0,27,147406.0,17,1,113772,48539.0,15,183.0,18
0,31,12832.0,7751,31,75813.0,140343,31,17044.0,8,28,862522,65.0,7,135250.0,23,30,25301,929.0,18,183.0,10
0,3,52879.0,19448,16,15757.0,132428,16,62745.0,4,20,73817,,16,1303134.0,20,16,71390,7695.0,8,184.0,16
0,25,41076.0,13362,28,56034.0,139405,28,54866.0,12,31,65995,70.0,13,,2,27,51551,3277.0,17,177.0,7
0,6,53630.0,19651,2,40766.0,168753,2,,0,22,78094,61.0,21,,6,2,71432,16573.0,3,165.0,9
0,7,19245.0,3460,3,135899.0,140790,3,7496.0,12,4,32248,62.0,3,123581.0,14,3,16377,51.0,18,176.0,5
0,24,19320.0,4282,13,,140801,13,5214.0,3,27,32696,58.0,6,127142.0,31,13,20356,6589.0,17,170.0,15
0,17,61648.0,22683,26,,168787,26,,11,15,86746,64.0,20,,9,25,80030,16992.0,15,178.0,18
0,28,75410.0,29187,30,,209077,30,,10,13,156037,,31,,30,29,134412,77596.0,15,191.0,18
