Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Nationality,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,15,16313.0,3333,11,134950.0,140752,11,19461.0,1,19,44513.0,74.0,2,126409.0,30,11,18746,150.0,19,181.0,8
0,22,61866.0,23334,22,160840.0,185156,23,,3,27,97634.0,65.0,20,133265.0,16,22,100717,35077.0,5,170.0,4
0,36,20140.0,6829,31,,140704,32,,1,18,57085.0,71.0,3,,18,32,20733,2503.0,19,190.0,22
0,5,69634.0,26526,34,5000.0,194619,35,,16,17,149727.0,66.0,35,146565.0,21,35,115790,45992.0,12,176.0,26
0,8,8760.0,4179,2,42225.0,140749,2,6915.0,12,28,32691.0,78.0,5,121169.0,14,2,19407,406.0,3,181.0,15
0,28,66653.0,27315,13,,186431,13,,7,21,110444.0,,32,,9,13,99024,37359.0,14,172.0,26
0,32,48798.0,17908,8,12892.0,135468,8,55692.0,1,10,75247.0,64.0,16,,27,8,61314,8068.0,11,181.0,0
0,29,46998.0,16666,32,22458.0,140492,33,55148.0,8,9,64680.0,71.0,10,,5,33,48356,2338.0,2,176.0,21
0,21,69190.0,25740,17,,196424,18,,4,16,112082.0,,31,,31,17,115868,38195.0,14,175.0,26
0,6,61538.0,24057,10,,177672,10,,8,33,91640.0,82.0,30,136635.0,10,10,79184,27099.0,20,193.0,26
0,7,47686.0,17534,16,8603.0,140333,17,45660.0,17,24,59773.0,72.0,13,142502.0,12,26,37589,2325.0,18,183.0,24
0,35,41885.0,13080,35,142323.0,140628,36,54334.0,5,20,64737.0,65.0,12,,20,36,58535,860.0,15,180.0,17
0,19,1590.0,2378,18,15597.0,140844,19,4055.0,13,26,33493.0,75.0,1,120892.0,3,18,16099,361.0,3,186.0,10
0,3,65826.0,25081,14,,196961,15,,6,34,92315.0,73.0,27,,25,15,107521,47830.0,14,187.0,26
0,37,,26397,24,,168807,37,,11,23,86807.0,,26,,18,37,77655,16982.0,16,177.0,26
0,11,55719.0,22020,6,2473.0,164213,6,,8,5,86617.0,,23,,0,6,77514,26504.0,14,183.0,7
0,31,39842.0,12843,23,1311517.0,140292,24,52504.0,3,32,67388.0,58.0,9,141955.0,22,23,57418,2276.0,1,166.0,20
0,16,50317.0,18455,3,2094.0,138294,3,58535.0,9,3,68778.0,70.0,18,1303548.0,15,3,61900,6230.0,4,175.0,23
0,10,50824.0,18498,5,5628.0,138830,5,,20,35,63841.0,72.0,15,,17,5,58906,16154.0,6,187.0,12
0,34,57500.0,21405,25,,170313,25,,12,29,86710.0,65.0,25,,8,24,82089,17252.0,19,180.0,3
0,1,64374.0,24293,19,,181230,20,,19,11,100965.0,64.0,29,,18,19,102060,27043.0,19,182.0,26
0,24,,31655,24,,229058,27,,17,30,419547.0,,36,,26,27,155131,105979.0,13,,26
0,30,,24346,33,,179111,34,,20,0,100931.0,,28,,32,34,107949,37376.0,9,183.0,26
0,27,41076.0,13362,30,56034.0,139405,31,54866.0,14,36,65995.0,70.0,14,,2,31,51551,3277.0,18,177.0,14
0,2,16289.0,5,1,470645.0,140924,1,19443.0,17,25,14575.0,61.0,0,103634.0,29,1,7005,38.0,18,177.0,13
0,9,56664.0,20678,26,20194.0,132382,26,,20,6,72234.0,73.0,19,134003.0,7,25,66001,,20,1.81,18
0,26,26009.0,12193,27,1940308.0,140797,28,9096.0,15,38,54603.0,78.0,8,125137.0,24,28,30229,784.0,0,184.0,16
0,4,,34430,24,,269874,14,,18,14,,,38,,4,14,161788,173217.0,17,,26
0,20,,26392,15,,193131,16,,1,22,148275.0,69.0,34,,19,16,89152,45363.0,10,176.0,26
0,12,56210.0,20760,20,,132426,21,,12,37,86759.0,,24,145691.0,13,20,65954,16807.0,14,187.0,2
0,25,56345.0,20861,28,2247.0,155558,29,67077.0,6,2,86624.0,71.0,21,,1,29,80972,16816.0,14,184.0,6
1,17,27802.0,10520,4,17799.0,140184,4,28727.0,8,31,55032.0,67.0,6,,11,4,32424,3155.0,19,170.0,19
0,38,54395.0,20730,36,252749.0,168961,38,,1,15,75859.0,70.0,22,141009.0,36,38,74709,18258.0,10,187.0,5
0,27,41076.0,13362,30,56034.0,139405,31,54866.0,14,36,65995.0,70.0,14,,2,31,51551,3277.0,18,177.0,14
0,18,,33556,12,,261531,12,,10,13,,,37,,35,12,178737,155993.0,17,,26
0,33,56666.0,18975,0,32176.0,133024,0,64111.0,20,4,70590.0,58.0,17,133999.0,34,0,65132,20147.0,7,172.0,25
0,13,19630.0,10023,7,28543.0,140233,7,10112.0,8,7,54679.0,61.0,7,,28,7,22431,794.0,19,175.0,9
1,0,28095.0,12823,29,,137337,30,45429.0,0,1,58891.0,71.0,11,123794.0,6,30,34412,2322.0,19,182.0,11
0,29,46998.0,16666,32,22458.0,140492,33,55148.0,8,9,64680.0,71.0,10,,5,33,48356,2338.0,2,176.0,21
0,23,56938.0,20257,21,17205.0,167585,22,,2,12,86480.0,64.0,4,133037.0,33,21,81851,16569.0,10,175.0,1
0,14,73302.0,27024,9,,209345,9,,3,8,573361.0,56.0,33,,23,9,140376,77970.0,8,164.0,26
