PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,NATIONALITY,BIRTHPLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTHDATE,FIRST_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM
1,13,26009.0,12193.0,11,11,140797,15,9,20,54603,7,78.0,2,11,15,30229,784.0,184.0
1,10,55639.0,20535.0,3,4,160352,11,6,3,89125,4,,8,3,2,73388,14791.0,181.0
1,6,60850.0,,6,0,184787,7,3,5,94843,5,62.0,5,5,1,83533,,164.0
1,8,68345.0,25600.0,0,0,186245,14,8,11,94362,6,,15,0,5,90733,37264.0,183.0
1,4,72512.0,30035.0,2,3,208540,2,11,2,238213,1,,18,2,7,136662,76709.0,188.0
1,13,26009.0,12193.0,11,11,140797,15,9,20,54603,7,78.0,2,11,15,30229,784.0,184.0
1,19,27348.0,16688.0,20,0,139704,5,7,17,62555,5,74.0,3,20,15,35630,,180.0
1,2,47589.0,20960.0,17,15,158017,16,10,18,74994,5,83.0,9,17,15,65329,16724.0,193.0
1,1,14093.0,5098.0,15,0,140811,12,6,7,46139,4,67.0,1,15,15,20001,1579.0,180.0
1,3,82827.0,30643.0,9,10,217465,4,7,14,227110,5,,19,9,8,151350,97547.0,184.0
1,5,,25026.0,16,14,198985,3,2,12,109855,8,54.0,14,16,3,109700,58639.0,163.0
0,9,47965.0,17988.0,18,8,138125,1,1,19,70962,0,74.0,4,18,13,64279,8377.0,1.85
1,20,86654.0,29568.0,5,6,235390,0,0,15,148689,5,,12,7,10,154976,88703.0,184.0
1,14,83295.0,28377.0,12,12,212377,1,1,0,587366,5,62.0,17,12,9,141854,84019.0,171.0
1,17,11585.0,1994.0,19,16,140778,13,6,13,28378,4,65.0,0,19,15,13069,133.0,181.0
1,18,,32766.0,14,2,262232,8,4,4,685146,2,,20,14,11,155297,126678.0,177.0
1,16,57472.0,21342.0,13,13,178184,6,3,8,91656,5,62.0,6,13,14,66785,23097.0,170.0
1,7,56436.0,20917.0,10,1,156570,9,5,10,77380,3,78.0,10,10,0,71706,9746.0,180.0
1,0,65826.0,25081.0,4,5,196961,10,5,16,92315,3,73.0,13,4,4,107521,47830.0,187.0
1,11,71992.0,26637.0,7,7,201838,0,0,9,111683,5,76.0,16,6,6,125323,61988.0,176.0
1,12,56208.0,20847.0,8,9,155529,10,5,6,87226,3,80.0,11,8,12,72934,18260.0,192.0
1,15,51744.0,19238.0,1,0,138396,4,7,1,72932,5,70.0,7,1,15,66031,7720.0,177.0
