Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,493953,88,88,2,493609
0,9446,82,82,2,7647
0,5255,74,74,3,2763
0,287968,36,36,0,286817
1,2113129,4,4,2,2112008
0,456990,39,39,2,456034
0,524283,29,29,2,523744
0,446968,57,57,2,445976
1,389254,85,85,2,388238
0,415,78,78,3,74
0,34900,84,84,2,34403
1,1568049,34,34,3,1567459
0,806760,71,71,2,805210
1,752839,24,24,2,752246
1,1050401,92,92,2,1050087
1,435956,9,9,2,435030
0,796791,68,68,2,795304
1,57693,64,64,2,56791
1,1786875,48,48,2,1786159
0,776048,26,26,2,775092
0,155295,91,91,2,154171
0,14817,16,16,4,14209
0,74492,21,21,2,73803
1,1037381,93,93,2,1036476
0,1751697,6,6,1,1751281
0,318778,37,37,2,318386
1,1078009,0,0,2,1077569
0,994934,13,13,2,993237
0,556441,28,28,0,555500
0,1575106,49,49,2,1574483
0,810033,67,67,2,808633
1,1226536,44,44,2,1225625
0,415202,8,8,0,414870
1,520133,89,89,2,519183
1,579,46,46,4,1
0,1605890,80,80,2,1605162
1,1285729,43,43,2,1284860
0,767190,27,27,2,766081
1,145136,60,60,2,143469
1,6256,14,14,3,4343
1,3678,42,42,2,1996
1,434997,7,7,0,434554
0,457660,40,40,0,457121
1,26464,55,55,2,24623
0,43740,65,65,0,43105
1,623355,25,25,0,622414
0,310242,38,38,2,309811
0,409340,95,95,0,408633
1,14261,90,90,3,11517
0,292232,50,50,0,291777
1,1643722,32,32,2,1642802
1,84542,20,20,2,84111
1,2665,12,12,3,1541
1,1180888,79,79,2,1179752
0,309976,53,53,3,309383
1,598,61,61,4,2
0,876723,52,52,0,875551
1,1445532,22,22,2,1444765
1,829655,3,3,2,828978
1,1493,83,83,2,471
1,1115404,70,70,2,1114712
1,2418,11,11,2,715
1,447558,87,87,2,447142
0,1735953,73,73,0,1735636
0,1067748,81,81,2,1067248
1,2026309,10,10,0,2025506
1,483,19,19,2,1
0,1735532,72,72,3,1734645
1,647282,5,5,2,646296
0,787501,69,69,2,786539
1,18905,63,63,3,17574
0,703062,66,66,2,702091
0,1021876,56,56,2,1021316
1,3924,62,62,2,2239
0,302448,35,35,2,301999
0,796821,76,76,2,795886
1,15756,45,45,2,14755
0,232541,30,30,2,231249
0,459577,77,77,3,458618
0,747945,59,59,3,745645
0,156954,97,97,2,155782
1,479784,86,86,2,478387
0,12112,18,18,0,11726
1,3821,15,15,3,1521
0,1680779,33,33,2,1680060
1,11816,47,47,3,9516
1,571767,75,75,2,570709
1,1658775,31,31,2,1658077
0,1430208,23,23,2,1429318
0,1217,96,96,2,24
1,75990,1,1,2,74263
1,828817,2,2,0,828224
0,408301,94,94,2,407363
0,1000,41,41,2,2
0,571876,58,58,2,570902
1,2307,51,51,2,1621
0,322283,54,54,2,321357
0,11716,17,17,0,11321
