Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
1,1662950,13,13,2,1661937
0,384182,75,75,4,382887
0,1957918,57,57,8,1956215
0,740372,23,23,9,739299
1,1356346,48,48,8,1354634
0,401051,45,45,0,400292
0,545819,22,22,24,544815
0,807440,72,72,17,806025
0,120630,14,14,24,119065
0,2350,5,5,13,965
1,183296,63,63,19,181743
1,96204,71,71,5,95182
1,2122182,2,2,2,2120788
0,434782,74,74,10,433358
1,373406,51,51,2,371496
1,276965,34,34,14,276033
1,2133734,55,55,1,2133172
0,1720929,30,30,24,1719919
0,802557,79,79,16,801154
0,432759,19,19,22,431323
0,428550,44,44,2,427162
0,406809,78,78,11,405529
0,423414,18,18,1,422794
0,488962,26,26,1,488378
1,603942,61,61,2,602953
1,649350,3,3,10,647746
1,1053526,27,27,18,1052240
0,428424,40,40,21,427006
0,532018,81,81,10,530630
0,6897,4,4,24,5479
0,413826,41,41,2,412408
1,1480218,11,11,2,1478512
0,1111176,69,69,24,1109698
0,168069,0,0,12,166519
0,406516,39,39,10,405110
1,5338,43,43,24,4406
0,461547,46,46,2,460189
1,21584,9,9,2,19890
0,489416,6,6,0,489063
0,3277,17,17,21,1805
1,375903,7,7,6,374896
0,445437,42,42,11,444157
1,464293,20,20,2,462872
1,5790,24,24,17,4375
1,17774,66,66,2,16488
0,1623870,29,29,10,1622425
0,1178108,70,70,18,1176633
0,1206373,50,50,0,1204937
0,915863,35,35,1,915636
1,10843,64,64,0,9875
0,2077637,31,31,10,2076276
1,161,65,65,1,3
0,4346,59,59,20,2898
0,411951,36,36,2,410611
0,1613551,56,56,2,1612028
1,486119,28,28,24,484647
1,21672,12,12,0,20227
1,848504,1,1,10,847224
1,1885991,15,15,12,1884423
0,229325,58,58,21,227910
0,42175,60,60,20,40730
0,1861827,33,33,13,1860490
1,2138530,54,54,2,2137184
1,6645,68,68,2,5179
0,401095,21,21,2,399644
0,440871,73,73,2,439477
0,129767,80,80,15,128835
1,1181813,53,53,0,1181490
0,377047,76,76,2,375671
1,407538,25,25,0,407386
0,395492,77,77,2,394080
0,19699,10,10,2,17999
0,1461,38,38,2,1
0,1673448,16,16,6,1672462
1,56906,8,8,19,55425
0,5370,62,62,2,3925
0,587224,82,82,2,585836
0,1876953,32,32,21,1875676
1,1345315,49,49,3,1343381
0,385849,47,47,2,384458
0,18574,37,37,1,17966
0,1142020,52,52,23,1140743
1,39044,67,67,7,37485
