GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
0,8103004,106,106,2,4,3,8101955,0
0,11083412,143,143,2,0,3,11082702,0
1,399424,2,2,2,4,8,398357,1
1,7318448,95,95,2,4,2,7317402,0
0,13676580,185,185,2,4,3,13675672,0
0,12922778,167,167,2,4,1,12921741,1
0,10063828,124,124,2,4,1,10062812,1
0,1070261,10,10,2,4,7,1069203,1
0,650633,5,5,2,4,1,649602,1
1,15869900,219,219,2,4,8,15868737,0
0,2618113,26,26,2,4,1,2617085,0
0,1075153,11,11,2,4,3,1074146,1
0,10697961,135,135,2,4,3,10696900,0
1,14736174,194,194,2,4,2,14735137,1
1,3870901,50,50,2,4,8,3869591,1
1,12752736,164,164,2,4,8,12751600,1
1,6052501,81,81,2,4,8,6051458,1
0,6172949,82,82,2,4,1,6171900,0
0,11908845,156,156,2,4,3,11907763,0
0,11795184,151,151,2,4,3,11794162,1
0,11839496,153,153,2,4,1,11838489,0
0,1091068,13,13,2,4,1,1090040,1
1,6854082,87,87,2,4,8,6852934,1
0,12776244,166,166,2,4,1,12775180,0
0,4661896,60,60,2,4,1,4660850,1
0,12024392,159,159,2,3,1,12023694,0
1,5610557,71,71,2,4,8,5609394,1
0,10700280,136,136,2,4,3,10699264,0
0,3201152,41,41,2,4,1,3200130,0
1,11821242,152,152,2,4,8,11820139,1
1,12975701,169,169,2,4,2,12974564,0
1,2623678,27,27,2,4,2,2622551,0
0,14061641,188,188,2,4,3,14060619,0
0,5529268,67,67,2,4,1,5528171,0
0,3396906,42,42,2,4,1,3395821,0
1,6300408,84,84,2,4,2,6299350,0
0,8611154,109,109,2,3,1,8610666,1
1,11033475,139,139,2,4,8,11032478,0
0,9100845,115,115,2,4,1,9099808,1
1,2062955,21,21,2,4,8,2061858,0
0,15249720,203,203,2,4,1,15248707,0
0,4217830,57,57,2,4,3,4216805,0
1,11636458,150,150,2,4,2,11635427,1
1,7499541,96,96,2,4,2,7498552,0
1,14268702,191,191,2,9,2,14267807,1
1,6860436,88,88,2,9,2,6859351,1
1,15293907,206,206,2,4,2,15292789,0
0,6544562,85,85,2,4,3,6543552,1
0,11039441,140,140,2,0,1,11038383,0
0,6552221,86,86,2,4,1,6551190,1
1,10175978,127,127,2,4,2,10174812,1
0,3909879,51,51,2,4,3,3908887,1
0,10615448,131,131,2,4,1,10614405,1
1,7781,223,223,1,2,6,6699,0
0,5883590,77,77,2,4,1,5882568,0
0,4198138,56,56,2,7,3,4197374,0
0,6876412,89,89,2,4,3,6875396,0
0,13238507,175,175,2,4,3,13237458,1
0,9111286,117,117,2,3,1,9110645,1
0,5572292,70,70,2,7,1,5571425,0
1,7242533,94,94,2,4,2,7241340,0
1,15463627,210,210,2,4,8,15462293,1
1,11072966,142,142,2,4,8,11071767,0
0,13471047,179,179,2,4,1,13469977,1
0,6899142,90,90,2,4,1,6898102,0
0,15548039,214,214,2,4,3,15547005,1
0,4189414,55,55,2,4,1,4188470,0
0,8548650,107,107,2,3,1,8547976,1
0,1968691,20,20,2,4,3,1967645,1
0,13487826,180,180,2,4,1,13486831,1
0,12668918,163,163,2,4,1,12667941,0
0,14803568,195,195,2,4,1,14802528,1
1,9245357,118,118,2,4,8,9244299,1
0,10443593,128,128,2,4,1,10442556,0
1,10142961,125,125,2,4,2,10142038,1
0,11417113,149,149,2,4,1,11416202,1
0,3839108,49,49,2,0,3,3838143,1
0,15245981,202,202,2,4,3,15245001,0
0,4794170,62,62,2,4,3,4793112,0
0,11044403,141,141,2,0,3,11043360,0
0,996150,7,7,2,4,1,995096,1
0,2610589,24,24,2,3,1,2610110,1
0,1948983,19,19,2,4,1,1947973,1
1,12986117,170,170,2,6,8,12985017,0
1,8615199,110,110,2,4,2,8613943,1
0,3159817,37,37,2,3,1,3159308,0
0,5566967,69,69,2,4,1,5565966,0
1,10868784,137,137,2,4,8,10867744,1
0,15381893,207,207,2,4,3,15380895,1
0,2675101,30,30,2,4,1,2674088,0
0,13656596,182,182,2,1,1,13655969,1
0,15734997,217,217,2,4,3,15733954,1
1,8069706,104,104,2,9,8,8068948,0
0,1530030,17,17,2,4,1,1528990,0
1,15617770,215,215,2,9,2,15617138,0
