GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
0,6019052,69,69,3,1,2,6018529,1
0,15473394,158,158,3,1,2,15472339,1
0,4895012,55,55,3,7,2,4893859,1
0,5799406,66,66,3,5,4,5798210,1
0,15675337,160,160,3,5,4,15674144,0
0,14732320,150,150,3,5,2,14731049,0
0,3169644,29,29,3,5,4,3168325,0
0,2228866,17,17,3,5,2,2227604,0
0,4219792,50,50,3,5,4,4218593,0
0,14799720,151,151,3,5,4,14798443,1
0,2677060,21,21,3,5,4,2675867,0
1,1545531,12,12,3,5,6,1544263,1
0,3908118,45,45,3,5,2,3906937,1
1,6931534,76,76,3,5,6,6930293,1
0,13672915,139,139,3,5,2,13671617,0
0,12936549,124,124,3,0,2,12935650,1
0,363090,2,2,3,5,2,361906,0
0,11046345,105,105,3,5,2,11045158,0
0,4006991,46,46,3,0,2,4006044,0
0,10574433,100,100,3,0,2,10573783,0
0,9720129,91,91,3,5,4,9718942,0
0,12223742,116,116,3,5,4,12222465,0
1,8701069,85,85,3,8,1,8699625,1
0,13583197,136,136,3,5,2,13581920,0
1,2690449,22,22,3,5,1,2689139,1
0,1093555,8,8,3,5,2,1092257,1
0,3123542,26,26,3,5,4,3122598,1
1,2358334,20,20,3,9,1,2357342,1
0,3215668,33,33,3,5,4,3214463,0
0,5568928,63,63,3,5,4,5567735,0
0,7191502,78,78,3,5,4,7190204,1
0,11845032,112,112,3,1,4,11844158,0
0,3815797,41,41,3,5,2,3814502,0
1,10172224,93,93,3,5,6,10170946,1
0,13204367,130,130,3,5,4,13203081,0
0,5551308,60,60,3,0,2,5550454,1
1,3210847,32,32,3,8,1,3209575,0
0,10676665,101,101,3,5,4,10675466,0
0,5558225,62,62,3,5,2,5557032,1
0,13576452,135,135,3,5,4,13575187,0
0,2238223,18,18,3,5,4,2236973,0
0,11580972,110,110,3,1,2,11580340,1
0,8787078,86,86,3,1,4,8786017,1
1,15156491,153,153,3,5,6,15155178,1
0,19650,163,163,0,3,8,18274,0
0,5552738,61,61,3,5,2,5551461,1
0,3473723,36,36,3,5,2,3472431,1
0,10573680,99,99,3,0,2,10573228,0
0,8944789,88,88,3,1,4,8944240,0
0,6724196,73,73,3,5,4,6722922,0
0,5878633,68,68,3,5,2,5877356,1
0,11621619,111,111,3,4,2,11621149,1
1,3164885,27,27,3,5,6,3163630,0
0,10173729,94,94,3,5,2,10172416,1
0,4226544,51,51,3,5,4,4225261,0
0,1966876,15,15,3,0,2,1965572,1
0,11408759,109,109,3,1,2,11408358,1
0,11939301,115,115,3,5,2,11938054,0
0,2820421,24,24,3,1,2,2819330,1
1,1073361,7,7,3,5,6,1072192,1
0,15392254,157,157,3,5,4,15391061,1
1,13160893,129,129,3,8,6,13159608,0
0,403641,3,3,3,0,2,403063,1
1,2324537,19,19,3,9,1,2323350,1
1,12917252,122,122,3,5,6,12915873,1
0,15241382,154,154,3,5,2,15240186,1
1,11900435,113,113,3,5,1,11899158,1
0,2497126,162,162,2,4,5,2496569,0
0,2724727,23,23,3,5,2,2723402,1
0,9057966,89,89,3,1,4,9057122,0
0,14708082,148,148,3,0,2,14707237,1
0,10452161,95,95,3,5,2,10450995,1
0,12700460,118,118,3,5,4,12699120,1
1,9598184,90,90,3,9,6,9597165,0
1,970531,6,6,3,9,6,969690,1
0,4227482,52,52,3,1,2,4226692,0
0,10564228,97,97,3,5,4,10562960,0
0,12778400,120,120,3,5,2,12777201,0
0,13414680,132,132,3,5,2,13413421,0
0,3404099,0,0,4,6,0,3402837,0
0,14388877,144,144,3,4,4,14388395,0
0,13009002,125,125,3,5,2,13007806,1
0,5117365,56,56,3,5,2,5116097,1
0,13069249,127,127,3,5,2,13067975,1
0,4580827,54,54,3,5,2,4579490,1
1,3278337,35,35,3,8,6,3277058,1
