WeightKg,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,MunzingerSportId,BirthDate,OlympediaPeopleId,LastName,FirstName,CitizenshipCountry,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,9,66570.0,27708.0,7,9,,202331.0,3,4,109775.0,1000010628.0,11,143137.0,11,9,9,119805.0,65025.0,170.0,8,8
3,5,43387.0,14321.0,5,4,,140505.0,2,7,422366.0,,5,133661.0,7,5,7,24864.0,2977.0,173.0,7,6
4,1,46381.0,18610.0,1,5,77168.0,137427.0,4,8,71557.0,1000009949.0,7,133837.0,0,6,2,63999.0,12474.0,173.0,0,4
6,3,22663.0,5789.0,2,1,1529344.0,140869.0,6,6,43936.0,1000008372.0,2,126950.0,2,1,4,22017.0,713.0,186.0,1,3
5,11,11585.0,1994.0,8,11,569371.0,140778.0,9,5,28378.0,1000008014.0,0,111576.0,10,11,3,13069.0,133.0,181.0,6,2
0,7,72506.0,26775.0,0,8,,207051.0,2,10,,,9,,1,4,1,132960.0,68868.0,164.0,8,1
7,0,7764.0,1237.0,3,2,41367.0,140800.0,7,3,29164.0,,1,120395.0,6,2,6,10911.0,706.0,183.0,4,5
6,10,19478.0,7838.0,0,10,63706.0,140805.0,8,2,44337.0,,4,125021.0,3,10,2,19062.0,918.0,180.0,2,4
1,6,65227.0,26509.0,0,6,,194909.0,2,0,111440.0,1000010438.0,10,146670.0,5,7,8,99609.0,46163.0,173.0,8,7
9,4,69332.0,25704.0,4,3,,181190.0,0,11,112353.0,,8,,4,3,2,105160.0,37717.0,190.0,8,4
10,2,8760.0,4179.0,6,0,42225.0,140749.0,1,9,32691.0,1000009037.0,3,121169.0,8,0,5,19407.0,406.0,181.0,3,4
8,8,38259.0,13066.0,0,7,26443.0,140384.0,5,1,62919.0,1000009700.0,6,,9,8,0,39964.0,2211.0,178.0,5,0
