EntityType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Biography,Nationality,GtaaId,Birthplace,UciRiderId,Languages,Profession,WeightKg,BirthDate,OlympediaPeopleId,MunzingerId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,Gender,HeightCm,FreebaseId,SportsReferencecomOlympicAthleteIdArchived
1,3,2,4.0,5,135457.0,10,17388.0,4,1,3,10,9918.0,1,1,3,0,4,1,3,4353.0,35.0,4,1,1,7,6
1,15,7,1050.0,12,140128.0,18,3281.0,2,4,10,7,25198.0,2,1,4,11,2,9,11,11703.0,296.0,4,1,5,11,2
1,13,8,6.0,15,140348.0,19,11973.0,8,6,9,12,14571.0,4,1,4,5,6,2,12,5344.0,40.0,4,1,1,3,3
0,6,11,,10,,2,,6,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
1,0,1,10.0,2,140365.0,7,16805.0,3,1,2,6,11372.0,1,1,8,4,7,5,0,3676.0,179.0,3,1,6,1,0
1,14,3,399.0,11,117229.0,17,18121.0,11,1,4,4,11382.0,1,1,7,1,7,4,10,5263.0,178.0,3,1,5,5,0
1,8,9,54.0,7,115681.0,13,13598.0,1,0,6,5,11526.0,0,1,9,6,7,0,6,906.0,456.0,0,1,7,9,0
0,12,11,,0,,6,,6,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
1,1,5,48.0,3,140852.0,8,20471.0,5,2,5,0,11573.0,2,1,6,2,5,3,1,8128.0,204.0,3,1,4,2,7
1,4,0,27.0,6,140854.0,11,15453.0,7,5,1,9,12426.0,3,1,5,7,1,8,4,5873.0,37.0,4,1,5,8,5
0,12,11,,14,,5,,6,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
0,5,11,,1,,4,,6,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
0,7,11,,13,,3,,6,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
0,12,11,,10,,0,,6,3,10,8,,2,0,9,12,7,9,9,,,1,0,7,12,0
0,12,11,,10,,14,,6,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
1,2,6,3.0,4,140315.0,9,2721.0,3,1,8,3,16554.0,1,1,0,10,7,6,2,1807.0,149.0,4,1,0,4,0
1,11,4,311.0,9,140861.0,16,140.0,9,7,7,1,14494.0,2,1,5,9,3,9,8,118.0,91.0,4,1,2,0,1
1,9,11,95.0,10,125833.0,12,12558.0,11,6,10,11,20652.0,4,1,2,8,7,9,5,6655.0,125.0,4,1,3,10,0
0,12,11,,10,,1,,10,3,10,8,,2,0,9,12,7,9,9,,,2,0,7,12,0
1,10,10,84.0,8,140549.0,15,14484.0,0,8,0,2,11232.0,2,1,1,3,0,7,7,4044.0,4.0,4,1,1,6,4
