Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Chromosome_Location,Genomic_End_Position
1,1,24,0,49,9,50,9,39,1474
1,1,33178,0,157,9,158,42,11,34744
0,0,4728247,1,70,8,71,25,14,4728447
0,0,671973,1,115,7,116,12,13,673514
1,1,190928,0,161,9,162,14,11,192280
1,1,2990299,1,154,9,155,42,11,2991723
0,0,96665,1,61,11,62,25,14,98113
0,0,233464,1,104,7,105,4,13,234927
0,0,26588,0,36,7,37,37,31,28198
1,1,116413,1,4,9,4,49,16,117932
1,1,192547,1,16,9,16,51,18,194108
1,1,43850,0,136,9,137,58,10,45373
0,0,1672390,1,127,0,128,44,7,1673892
1,1,55260,1,2,9,2,58,16,56811
1,1,32568,0,98,11,99,23,13,34085
1,1,12274,0,43,10,44,1,34,13747
1,1,4721453,1,90,9,91,45,15,4722977
1,1,53963,1,40,9,41,0,32,55488
1,1,4976,1,23,9,23,18,23,6514
1,1,1180816,1,118,9,119,22,4,1182456
1,1,120,0,21,9,21,8,21,397
1,1,266604,0,140,9,141,42,11,268059
0,0,1337821,0,63,8,64,57,14,1338858
0,0,139203,0,160,7,161,37,11,140801
0,0,3299619,0,67,7,68,25,14,3300734
1,1,145692,1,100,9,101,1,13,147206
0,0,4810350,1,74,7,75,25,14,4811681
1,1,53031,0,120,9,121,11,5,54617
1,1,394,1,47,9,48,56,38,1134
1,1,5468462,0,55,9,56,16,14,5469370
0,0,4656557,0,87,7,88,52,15,4658068
1,1,187760,0,102,9,103,23,13,189308
1,1,146312,1,14,9,14,51,18,147872
0,0,4789134,1,73,8,74,57,14,4790735
1,1,41978,0,99,12,100,23,13,43444
1,1,4054376,0,82,9,83,10,12,4055896
0,0,24893,1,57,11,58,57,14,26455
1,1,85747,1,60,11,61,16,14,87159
1,1,2652725,1,143,9,144,14,11,2653794
1,1,3083824,1,155,9,156,42,11,3085393
0,0,95058,0,121,7,122,33,5,96632
1,1,1585925,1,122,9,123,34,6,1587516
0,0,4966602,1,77,7,78,25,14,4967327
1,1,4096637,0,85,9,86,21,12,4097911
1,1,4785032,1,91,6,92,38,15,4785610
1,1,1563723,1,132,9,133,6,8,1565211
1,1,924816,1,62,13,63,16,14,926246
0,0,4108888,0,68,7,69,25,14,4109268
1,1,2899262,1,151,9,152,42,11,2900714
0,0,29741,1,37,8,38,53,32,31216
0,0,592108,1,112,7,113,4,13,593688
1,1,133507,0,13,9,13,51,18,135030
1,1,11830,0,45,9,46,19,36,13271
0,0,2161053,0,65,7,66,25,14,2161844
0,0,136702,0,159,8,160,37,11,138222
1,1,31464,0,48,9,49,56,38,32771
1,1,118489,0,12,9,12,51,18,120397
0,0,1782018,0,128,0,129,3,7,1783574
0,0,46340,1,58,11,59,39,14,47692
1,1,11360,1,44,9,45,20,35,12451
0,0,1628255,1,125,7,126,3,7,1629760
0,0,1798304,1,64,0,65,57,14,1799779
1,1,2789186,1,146,9,147,14,11,2790703
1,1,4870365,1,94,1,95,38,15,4871690
1,1,166233,1,15,9,15,51,18,167770
1,1,4866255,1,93,1,94,38,15,4866989
0,0,125412,0,139,8,140,13,10,126989
0,0,45691,0,41,8,42,45,33,47277
1,1,3087307,1,156,9,157,14,11,3088628
1,1,18300,1,162,9,35,48,30,18623
1,1,9201,1,20,9,20,20,20,10546
0,0,38597,1,7,7,7,35,0,40024
1,1,4160,1,32,9,32,48,30,5571
1,1,119770,1,5,9,5,49,16,121323
1,1,9201,0,8,9,8,60,1,10341
1,1,363050,1,108,9,109,23,13,364495
0,0,4153,0,51,7,52,52,41,5667
0,0,4876315,1,76,8,77,25,14,4877715
1,1,4695357,0,89,4,90,38,15,4696555
0,0,74915,1,59,11,60,25,14,76678
0,0,4781585,1,72,8,73,57,14,4782124
1,1,2842087,1,150,9,151,14,11,2842847
1,1,333937,1,107,9,108,23,13,335414
1,1,10562,0,9,9,9,41,17,11536
1,1,207286,1,103,9,104,1,13,208752
1,1,54844,0,10,9,10,41,17,56392
0,0,681272,1,116,8,117,4,13,682801
0,0,615417,1,113,7,114,12,13,616961
1,1,106202,1,3,9,3,49,16,106612
