Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,435022,85,1,434327,1
1,905931,43,1,905182,0
1,570089,27,1,569511,0
1,435780,39,1,435106,0
1,1654501,41,1,1653854,1
1,755,54,1,93,0
1,605502,68,1,604933,1
1,1565614,1,1,1565111,1
1,37689,21,1,37021,0
1,4852,24,1,4175,1
1,509037,87,1,508240,0
1,1091842,80,1,1091081,0
1,624606,13,1,623983,0
0,1204819,53,0,1204091,0
1,1064488,67,1,1063814,0
1,1153891,10,1,1153361,0
0,226568,59,0,225903,0
0,1728460,2,0,1728161,0
1,2105453,22,1,2104848,1
1,179239,37,1,178622,1
1,1142124,78,1,1141357,0
1,430900,26,1,430274,0
1,23414,75,1,22770,1
1,1104782,82,1,1104102,0
1,743660,15,1,742947,1
0,487905,31,0,487330,0
1,1560119,61,1,1559271,1
1,674303,16,1,673725,0
1,59496,23,1,58780,0
1,947466,44,1,947014,1
1,458055,69,1,457426,1
1,17347,19,1,16595,0
1,16318,35,1,15653,0
1,829209,73,1,828511,0
0,388745,86,0,388080,1
1,28212,64,1,27637,0
1,1690792,3,1,1690151,1
1,547641,33,1,547144,1
1,9043,55,1,8369,0
1,738855,28,1,738181,0
1,590414,57,1,589821,1
1,136301,83,1,135930,0
1,1192387,81,1,1191707,0
1,17274,11,1,16765,1
0,430064,7,0,429414,1
1,18257,76,1,17595,1
1,7133,46,1,6462,0
1,17466,30,1,16792,0
1,1732531,56,1,1731896,0
1,1702393,4,1,1701380,1
1,7796,51,1,7137,0
1,1607447,40,1,1606965,1
1,71817,9,1,71311,0
1,1682099,6,1,1681482,0
1,11162,77,1,10509,0
1,20358,63,1,19783,1
1,1507852,60,1,1507205,1
1,840636,5,1,840031,1
1,1661430,18,1,1660327,1
1,9429,45,1,8836,0
1,696859,34,1,696377,0
1,2529,29,1,1873,1
1,478865,38,1,478194,1
1,4297,74,1,3704,1
1,974933,47,1,974307,0
1,2154696,62,1,2154196,0
1,5579,84,1,4953,1
1,1172053,79,1,1171373,0
1,1154177,66,1,1153497,1
1,25270,49,1,24593,0
1,468982,17,1,468374,0
1,1728056,36,1,1727928,0
1,490761,71,1,490084,0
1,524975,58,1,524382,1
1,587573,72,1,586902,0
1,4340,20,1,3579,0
1,5600,52,1,4947,1
1,40393,25,1,39713,0
1,3403,12,1,2810,0
1,10604,8,1,9996,0
1,1266,0,1,595,0
1,475933,70,1,475256,0
1,989314,48,1,988862,0
1,1528548,14,1,1527883,0
1,472195,50,1,471323,1
1,4574,32,1,3870,0
0,1721960,42,0,1721430,0
1,68829,65,1,68515,1
