GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,12909,145,145,0,112,10807,1
0,6110,102,103,0,100,3849,0
1,457048,92,93,1,9,454787,0
0,478833,232,232,0,6,476677,0
0,16869,154,154,0,115,14662,0
1,552888,220,220,1,15,550654,0
0,835809,99,100,0,28,833647,0
0,3770,51,52,0,88,732,1
1,828777,111,112,1,47,827212,1
1,9061,56,57,1,73,6806,1
0,2776,157,157,0,116,509,0
1,76342,181,181,1,33,73994,1
1,7765,30,31,1,42,5519,1
0,3747,24,25,0,71,1363,1
0,692573,71,72,0,19,690150,0
0,27924,7,8,0,17,26149,1
0,754574,177,177,0,26,752403,0
0,1178466,119,119,0,43,1176085,0
1,53359,118,118,1,39,52601,1
1,96434,223,223,1,5,94266,1
1,45480,199,199,1,121,43330,1
0,604953,82,83,0,20,602554,0
1,5633,13,14,1,61,4134,0
1,813661,184,184,1,37,811541,0
0,4215,73,74,0,19,1969,1
0,480713,39,40,0,4,478230,0
1,114439,9,10,1,3,112868,1
0,14957,65,66,0,75,12933,0
1,356577,109,110,1,52,354673,0
0,45278,103,104,0,18,42840,0
1,50723,123,123,1,105,48507,1
1,562476,175,175,1,10,560179,0
0,56175,87,88,0,5,53914,1
1,1621,66,67,1,94,2,1
0,4679,117,117,0,39,2307,1
0,11646,126,126,0,106,9286,1
0,487264,97,98,0,17,485114,0
0,47037,179,179,0,119,44773,1
0,371476,174,174,0,18,369323,0
0,477337,11,12,0,9,476408,0
0,828692,197,197,0,48,827244,1
1,909033,34,35,1,39,906619,0
0,1062,3,4,0,70,1,0
1,441740,95,96,1,29,439797,1
1,81519,12,13,1,5,79698,1
0,65232,219,219,0,51,62692,1
0,707127,49,50,0,23,704929,0
0,76316,29,30,0,51,74154,1
1,777368,225,225,1,31,775140,0
0,3230,130,130,0,22,921,1
0,2056,50,51,0,87,2,1
0,4947,47,48,0,85,2638,0
1,372955,231,231,1,29,370655,1
0,2326647,17,18,0,53,2325364,0
1,11060,144,144,1,31,8994,1
1,51771,235,235,1,35,49540,1
0,59089,42,43,0,56,56687,1
1,113111,170,170,1,15,111105,1
0,79561,120,120,0,56,77369,1
1,1451239,131,131,1,51,1449053,0
0,1009290,46,47,0,38,1006993,0
1,170211,125,125,1,49,168412,1
0,4516,54,55,0,90,3179,1
0,611448,114,114,0,10,610807,0
0,5046,162,162,0,117,2860,1
1,1375691,122,122,1,45,1373202,0
0,4025,168,168,0,16,1761,1
0,2650,25,26,0,34,386,1
1,689616,84,85,1,53,687517,0
1,335828,158,158,1,29,333633,1
1,1204656,200,200,1,45,1202680,0
1,7012,6,7,1,31,5501,1
1,2096,148,148,1,113,747,1
0,1138,5,6,0,107,2,0
1,8253,105,106,1,41,6340,1
1,1189025,191,191,1,51,1186812,0
1,496899,104,105,1,1,495853,0
0,15153,209,209,0,30,12949,1
0,1039862,78,79,0,37,1037046,0
0,20107,70,71,0,50,17801,1
1,799420,226,226,1,31,796943,0
0,391932,8,9,0,58,389746,1
0,3932,165,165,0,118,1401,0
0,914046,64,65,0,33,913312,0
0,244454,161,161,0,19,243822,0
0,394758,20,21,0,9,393970,0
0,574603,172,172,0,21,572120,0
1,4883,43,44,1,82,2628,1
1,252998,134,134,1,28,250869,0
0,2976,167,167,0,77,781,0
0,1159648,146,146,0,41,1157084,0
0,7454,53,54,0,89,5259,1
1,654471,77,78,1,52,652312,1
0,2907,37,38,0,72,667,0
0,4593,1,2,0,17,2230,1
0,1705791,91,92,0,53,1703299,1
1,598394,171,171,1,21,596190,0
0,2152,10,11,0,60,38,0
0,507624,194,194,0,3,505363,0
1,459000,176,176,1,10,456733,0
1,123424,233,233,1,8,121439,0
1,805063,182,182,1,38,803291,0
0,3147,44,45,0,83,535,1
0,7548,55,56,0,91,5362,0
0,11573,112,113,0,103,9210,0
0,81116,4,5,0,13,80040,1
0,703891,74,75,0,23,701787,0
0,351915,203,203,0,57,350539,1
0,6111,23,24,0,68,4843,1
1,299939,228,228,1,11,297915,1
0,115059,163,163,0,22,112891,1
0,1036,15,16,0,63,2,1
1,763015,85,86,1,37,760970,0
1,547726,137,137,1,7,545198,0
0,19404,202,202,0,122,17227,0
0,53099,224,224,0,38,50910,1
0,2191081,90,91,0,53,2188577,1
1,52834,186,186,1,0,50840,0
1,13918,124,124,1,105,11750,1
1,18062,136,136,1,108,16122,1
1,62927,152,152,1,24,60651,1
1,34512,93,94,1,97,32440,1
0,5683,57,58,0,92,3845,0
1,1835456,208,208,1,48,1833030,0
0,711734,32,33,0,23,710958,0
0,482055,115,115,0,10,479794,0
1,89110,210,210,1,16,86993,1
0,92121,142,142,0,40,90979,1
0,7735,188,188,0,79,5258,1
0,2352753,133,133,0,53,2351474,0
1,5117,218,218,1,81,2943,0
0,120751,189,189,0,3,119534,1
0,9642,213,213,0,124,7252,0
0,28514,113,0,0,104,26043,0
0,1699,88,89,0,8,101,1
1,3774,18,19,1,65,1570,0
1,468090,41,42,1,2,465892,0
1,811009,212,212,1,32,808763,0
1,619207,206,206,1,9,617003,0
0,369971,61,62,0,55,367785,0
1,10067,28,29,1,45,8418,1
1,1108,164,164,1,76,1,0
0,3468,72,73,0,95,1171,0
0,1009265,79,80,0,37,1006986,0
0,560608,183,183,0,16,558551,0
0,28523,83,84,0,37,26538,1
0,915393,63,64,0,33,914149,0
0,6868,187,187,0,120,4559,1
0,50074,192,192,0,3,47909,1
0,487691,31,32,0,18,485538,0
1,17178,110,111,1,102,14941,1
0,669010,135,135,0,16,666635,0
0,2335,173,173,0,12,101,1
0,798,169,169,0,78,1,1
1,1167843,147,147,1,41,1165567,0
0,140815,229,229,0,11,140096,1
0,3637,166,166,0,33,1680,1
0,5471,140,140,0,111,3207,1
0,5333,21,22,0,66,3093,1
0,59387,96,97,0,41,57738,1
0,477141,201,201,0,7,476586,0
0,5583,101,102,0,99,3223,0
1,20192,205,205,1,29,18165,1
1,636865,81,82,1,20,634829,0
0,180595,121,121,0,59,178343,0
0,827,14,15,0,62,3,0
1,122003,230,230,1,11,119982,1
0,16433,196,196,0,80,14709,1
1,35613,198,198,1,121,33460,1
1,16106,75,76,1,96,14127,0
0,194620,127,127,0,54,192110,0
0,85349,67,68,0,4,84366,1
0,303473,217,217,0,12,301437,1
0,49973,26,27,0,23,48072,1
0,7225,108,109,0,101,4853,0
0,3201,60,61,0,74,2560,1
0,17152,139,139,0,110,14774,1
0,43304,160,160,0,56,40902,1
0,52112,106,107,0,44,49749,1
0,316113,227,227,0,11,313945,1
0,3704,22,23,0,67,1446,1
1,12933,116,116,1,39,10912,1
1,60946,149,149,1,53,58898,1
1,1287,19,20,1,69,1,0
0,3133,52,53,0,89,824,1
0,23314,236,236,0,2,21104,0
0,763294,178,178,0,26,761027,0
1,411395,38,39,1,13,410220,0
0,66424,234,234,0,35,64094,1
1,469090,35,36,1,1,466913,0
0,909502,76,77,0,34,907241,0
0,68193,150,150,0,25,66007,1
0,315631,216,216,0,12,313523,1
1,480279,207,207,1,45,478171,0
1,609383,80,81,1,20,607077,0
0,377705,100,101,0,58,375522,0
0,400277,27,28,0,10,398004,0
0,702444,214,214,0,22,701878,0
1,369509,62,63,1,13,367296,1
0,5540,45,46,0,84,3963,1
0,526037,40,41,0,3,525222,0
0,57522,128,128,0,22,55348,1
1,28472,222,222,1,46,26358,1
1,3258,211,211,1,123,754,1
1,961848,156,156,1,36,959689,0
1,16197,180,180,1,119,13717,1
0,1669,48,49,0,86,2,1
1,399311,94,95,1,14,397290,0
0,646569,185,185,0,12,644707,0
1,27218,69,70,1,50,24993,1
0,2152465,193,193,0,52,2150273,0
1,5726,0,1,1,125,3723,0
1,1909430,132,132,1,52,1907460,1
0,1835184,68,69,0,47,1832923,0
0,27070,143,143,0,16,24536,1
0,311650,215,215,0,12,309482,1
0,6765,195,195,0,80,4204,1
0,1518,59,60,0,93,1,1
1,477984,153,153,1,5,475453,0
1,19107,107,108,1,44,16912,1
1,2336,151,151,1,114,3,1
1,468765,86,87,1,53,466540,0
0,4334,98,99,0,98,1968,1
0,71096,141,141,0,40,68619,1
1,224206,204,204,1,34,222371,1
