GeneClassification,GeneDescription,OrthologId,GeneId,GeneDbId,GenomicEndPosition,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,0,24,223,223,38827,1,25,35924,3,1
1,0,184,181,181,4679,1,134,1893,3,0
1,0,13,302,302,308397,1,58,305485,3,0
1,0,68,310,310,825842,1,40,823350,3,0
0,0,138,131,131,502030,0,0,499289,0,0
1,0,96,79,79,79193,1,3,76656,3,1
1,0,141,0,0,2449,1,152,11,3,0
0,0,140,290,290,7010,0,148,4233,0,1
0,0,165,245,245,66235,0,41,64469,0,1
1,0,26,317,317,21822,1,13,18838,3,1
1,0,82,96,96,3014,1,66,228,3,1
0,0,5,18,18,77950,0,24,74987,0,1
1,0,4,141,141,510295,1,27,507728,3,1
1,0,68,311,311,847503,1,40,845194,3,0
1,0,91,230,230,6673,1,139,3815,3,0
1,0,9,314,314,181574,1,30,180063,3,1
1,0,36,226,226,625252,1,28,622190,3,0
1,0,144,268,268,1133115,1,52,1130755,3,1
1,0,136,184,184,16715,1,46,14439,3,1
1,0,153,210,210,2940,1,136,73,3,1
0,0,19,217,217,8383,0,137,7271,0,0
0,0,183,292,292,17724,0,59,14986,1,1
1,0,173,270,270,13435,1,144,10745,3,0
0,0,162,186,186,86361,0,15,83876,0,1
1,0,4,80,80,225780,1,27,223900,3,0
1,0,4,100,100,578138,1,27,576360,3,0
1,0,27,265,265,504140,1,2,500865,3,0
1,0,26,211,211,636457,1,13,635763,3,0
1,0,1,163,163,847195,1,35,845501,3,0
1,0,167,28,28,492362,1,1,490971,3,0
1,0,46,221,221,236472,1,3,233641,3,0
0,0,137,201,201,779582,0,31,776703,0,0
1,0,109,125,125,7188,1,121,4384,3,0
1,0,110,111,111,8831,1,119,6234,3,1
0,0,51,102,102,650247,0,27,648161,0,0
1,0,107,304,304,984,1,151,31,3,0
1,0,106,24,24,1094,1,75,159,3,1
0,0,132,271,271,24358,0,144,21590,0,0
0,0,89,54,54,1225,0,79,1,0,1
1,0,123,143,143,628999,1,12,626735,3,0
1,0,11,116,116,13990,1,16,11384,3,1
1,0,133,66,66,28068,1,67,25282,3,1
1,0,66,252,252,3158,1,93,408,3,1
1,0,131,262,262,2351295,1,58,2348338,3,0
0,0,29,58,58,9939,0,102,8926,0,0
0,0,23,85,85,65081,0,25,62292,0,1
1,0,14,244,244,9052,1,142,7148,3,1
0,2,179,313,313,805554,0,40,804478,0,0
0,0,93,202,202,782600,0,31,781197,0,0
1,0,85,208,208,3790,1,89,806,3,0
1,0,13,42,42,1721524,1,58,1718519,3,1
0,0,154,11,11,2010044,0,56,2009265,2,0
0,0,24,240,240,794113,0,33,793295,1,0
1,0,13,187,187,1008775,1,58,1006142,3,0
0,0,165,246,246,56433,0,41,54619,1,1
1,0,90,250,250,654938,1,27,652152,3,0
1,0,177,51,51,1032018,1,44,1029001,3,0
0,0,40,194,194,1140600,0,46,1138639,0,0
1,0,174,60,60,411506,1,33,408474,3,0
0,0,155,137,137,1137976,0,57,1133828,0,0
0,0,83,127,127,1204,0,87,2,0,0
0,0,108,16,16,8397,0,9,5578,0,1
