GeneClassification,GeneDescription,OrthologId,GeneId,GeneDbId,GenomicEndPosition,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,0,2,140,140,12909,0,110,10807,1,1
0,0,121,99,98,6110,0,98,3849,1,0
1,0,39,88,87,457048,1,9,454787,0,0
0,0,135,231,231,478833,0,6,476677,1,0
0,0,89,149,149,16869,0,113,14662,1,0
1,0,48,219,219,552888,1,15,550654,0,0
0,0,96,95,94,835809,0,28,833647,1,0
0,0,121,50,49,3770,0,86,732,2,1
1,0,10,209,209,1069200,1,45,1067095,0,0
1,0,41,55,54,9061,1,71,6806,0,1
0,0,40,152,152,2776,0,114,509,1,0
1,0,29,177,177,76342,1,33,73994,0,1
1,0,108,142,142,1167843,1,41,1165567,0,0
0,0,1,24,23,3747,0,69,1363,1,1
0,1,87,69,68,692573,0,19,690150,1,0
0,0,86,8,7,27924,0,17,26149,3,1
0,0,0,173,173,754574,0,26,752403,1,0
1,0,49,115,115,1157625,1,42,1155433,0,0
1,0,35,111,111,12933,1,39,10912,0,1
1,0,24,222,222,96434,1,5,94266,0,1
1,0,23,196,196,45480,1,119,43330,0,1
0,0,64,80,79,604953,0,20,602554,1,0
0,0,51,11,10,2152,0,59,38,1,0
1,0,109,83,82,763015,1,37,760970,0,0
0,0,47,71,70,4215,0,19,1969,1,1
0,0,85,38,37,480713,0,4,478230,1,0
1,0,65,10,9,114439,1,3,112868,0,1
0,0,59,64,63,14957,0,73,12933,1,0
1,0,124,221,221,61722,1,51,61057,0,1
0,0,20,100,99,45278,0,18,42840,1,0
1,0,54,119,119,50723,1,103,48507,0,1
1,0,67,171,171,562476,1,10,560179,0,0
0,0,30,84,83,56175,0,5,53914,1,1
1,0,83,65,64,1621,1,92,2,0,1
0,0,114,45,44,1009290,0,38,1006993,1,0
0,0,121,122,122,11646,0,104,9286,1,1
0,0,69,93,92,487264,0,17,485114,1,0
0,0,1,175,175,47037,0,117,44773,1,1
0,0,20,170,170,371476,0,18,369323,1,0
0,0,130,12,11,477337,0,9,476408,3,0
0,0,104,67,66,1835184,0,46,1832923,1,0
1,0,35,113,113,53359,1,39,52601,0,1
0,0,88,4,3,1062,0,68,1,3,0
1,0,11,91,90,441740,1,29,439797,0,1
1,0,6,13,12,81519,1,5,79698,0,1
0,0,111,213,213,71686,0,49,69566,1,1
0,0,116,48,47,707127,0,23,704929,1,0
0,0,57,218,218,65232,0,50,62692,1,1
1,0,110,224,224,777368,1,31,775140,0,0
0,0,53,126,126,3230,0,22,921,1,1
0,0,121,49,48,2056,0,85,2,3,1
0,0,121,46,45,4947,0,83,2638,1,0
1,0,11,230,230,372955,1,29,370655,0,1
0,0,127,87,86,2191081,0,52,2188577,1,1
1,0,63,139,139,11060,1,31,8994,0,1
0,0,120,235,235,4184,0,35,1923,1,1
0,0,92,155,155,43304,0,55,40902,1,1
1,0,48,165,165,113111,1,15,111105,0,1
0,0,84,41,40,59089,0,55,56687,1,1
1,0,72,188,188,1189025,1,50,1186812,0,0
1,0,42,178,178,805063,1,38,803291,0,0
1,0,22,205,205,1835456,1,47,1833030,0,0
0,0,121,53,52,4516,0,88,3179,3,1
0,0,94,109,109,611448,0,10,610807,2,0
0,0,106,157,157,5046,0,115,2860,1,1
1,0,15,197,197,1204656,1,44,1202680,0,0
0,0,15,163,163,4025,0,16,1761,1,1
0,0,40,25,24,2650,0,34,386,1,1
