GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ORTHOLOGOUS_GENE_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,1786847,66,66,23,0,0,0,1785821,1
0,2175621,227,227,24,0,0,9,2174909,0
0,1951267,179,179,12,0,0,6,1950308,0
1,2005679,75,75,2,1,1,0,2004696,1
0,545737,18,18,23,0,0,0,544797,1
0,727451,27,27,23,0,0,0,726416,0
0,1771461,163,163,11,0,0,4,1770454,0
0,2196287,229,229,24,0,0,9,2195330,0
0,2659219,246,246,17,0,0,12,2658195,0
1,1528688,55,55,2,1,1,0,1527763,1
0,1190403,142,142,5,0,0,2,1189413,0
0,3189315,109,109,23,0,0,0,3188324,0
0,1234677,137,137,20,0,0,1,1233707,1
1,2741232,209,209,14,1,1,7,2740189,0
0,3374873,112,112,23,0,0,0,3373889,0
0,81446,173,173,12,0,0,6,80444,1
0,2236648,80,80,23,0,0,0,2235660,0
1,2958958,256,256,10,1,1,12,2958174,0
0,3411054,113,113,23,0,0,0,3410011,0
1,2126124,78,78,2,1,1,0,2125348,0
0,845231,33,33,23,0,0,0,844259,0
0,130190,234,234,9,0,0,10,129258,1
0,148899,264,264,1,0,0,13,147857,1
0,1314686,149,149,5,0,0,2,1313668,0
1,914773,35,35,2,1,1,0,913902,0
0,3114291,107,107,23,0,0,0,3113458,0
0,1364183,140,140,20,0,0,1,1363335,0
0,1775441,65,65,23,0,0,0,1774454,1
1,2604343,243,243,10,1,1,12,2603401,0
0,434763,14,14,23,0,0,0,433749,0
0,240684,6,6,23,0,0,0,239723,0
0,117913,233,233,9,0,0,10,116867,1
0,2700655,208,208,3,0,0,7,2699685,0
0,2731623,92,92,23,0,0,0,2730656,0
0,841681,32,32,23,0,0,0,840713,0
0,694956,25,25,23,0,0,0,693924,0
1,2960312,100,100,2,1,1,0,2959559,1
1,292637,159,159,21,1,1,4,291670,1
0,1701321,62,62,23,0,0,0,1700384,1
0,69437,172,172,12,0,0,6,68407,1
0,312759,8,8,23,0,0,0,311723,0
0,89815,220,220,24,0,0,9,88823,0
0,61311,231,231,9,0,0,10,60333,1
0,2269235,82,82,23,0,0,0,2268255,0
0,1782786,164,164,11,0,0,4,1781826,0
0,1123510,44,44,23,0,0,0,1122552,1
0,2579902,242,242,17,0,0,12,2578929,0
0,3008310,103,103,23,0,0,0,3007265,1
1,407514,12,12,2,1,1,0,406664,0
0,127076,191,191,3,0,0,7,126066,1
1,155111,217,217,15,1,1,8,154099,1
0,3615342,120,120,23,0,0,0,3614358,1
0,3958204,132,132,23,0,0,0,3957431,1
0,1925586,71,71,23,0,0,0,1924600,1
0,2751961,210,210,3,0,0,7,2751003,0
0,566514,19,19,23,0,0,0,565550,1
0,196073,194,194,3,0,0,7,195096,1
0,65837,260,260,1,0,0,13,64781,1
0,1261944,146,146,5,0,0,2,1260960,0
0,605384,20,20,23,0,0,0,604369,1
0,232090,195,195,3,0,0,7,231104,1
0,2708277,91,91,23,0,0,0,2707301,1
0,1989967,74,74,23,0,0,0,1988968,1
0,2663503,207,207,3,0,0,7,2662569,0
0,2825953,94,94,23,0,0,0,2825009,1
0,2886495,95,95,23,0,0,0,2885569,0
0,2885211,252,252,17,0,0,12,2884260,0
0,1962233,73,73,23,0,0,0,1961243,1
0,705383,26,26,23,0,0,0,704423,0
0,1036988,41,41,23,0,0,0,1036017,1
0,2950391,255,255,17,0,0,12,2949454,0
0,1951701,72,72,23,0,0,0,1950744,1
1,621314,22,22,2,1,1,0,620361,0
0,1317363,139,139,20,0,0,1,1316438,0
0,3591099,119,119,23,0,0,0,3590238,1
0,42295,171,171,12,0,0,6,41246,1
0,2595178,85,85,23,0,0,0,2594197,1
1,2687685,90,90,2,1,1,0,2686888,1
0,1276401,147,147,5,0,0,2,1275562,0
1,2923780,97,97,2,1,1,0,2922814,1
1,2218428,230,230,22,1,1,9,2217492,0
0,132449,263,263,1,0,0,13,131407,1
0,278997,158,158,11,0,0,4,278392,1
0,2093905,225,225,24,0,0,9,2092884,0
0,143681,151,151,4,0,0,3,142743,1
0,96817,221,221,24,0,0,9,95832,0
0,3699200,123,123,23,0,0,0,3698199,1
0,1043987,42,42,23,0,0,0,1043027,1
0,2631052,245,245,17,0,0,12,2630098,0
0,2642245,206,206,3,0,0,7,2641489,0
1,1789660,165,165,21,1,1,4,1788675,0
0,3185796,108,108,23,0,0,0,3184809,0
0,2363219,200,200,3,0,0,7,2362256,0
0,162872,192,192,3,0,0,7,161859,1
0,3350446,111,111,23,0,0,0,3349469,0
1,320709,199,199,14,1,1,7,319707,0
1,250517,237,237,13,1,1,10,249557,1
1,1894910,177,177,8,1,1,6,1894237,0
0,1725242,161,161,11,0,0,4,1724254,0
1,8035,152,152,21,1,1,4,7042,1
1,311627,160,160,21,1,1,4,310667,1
0,1287410,148,148,5,0,0,2,1286397,0
1,613465,21,21,2,1,1,0,612696,1
0,63052,3,3,23,0,0,0,62038,0
0,3232387,110,110,23,0,0,0,3231450,0
0,2083278,224,224,24,0,0,9,2082312,0
0,2922898,253,253,17,0,0,12,2921940,0
0,3422379,114,114,23,0,0,0,3421396,0
0,315605,267,267,1,0,0,13,314638,1
