NationalLibraryOfIsraelJ9uId,CommonsCategory,MainCategory,LibraryOfCongressAuthorityId
9.870075564447052e+17,55,55,160
9.870074091166052e+17,63,63,59
9.870075316362052e+17,157,156,105
9.870072916167052e+17,26,26,6
9.870075580289052e+17,139,139,93
9.870075407822052e+17,49,49,47
9.870075314031052e+17,89,89,20
9.870075312379052e+17,3,3,83
9.870075313497052e+17,124,124,79
9.870075517125052e+17,87,87,177
9.870075591570052e+17,15,15,32
9.870075605078052e+17,143,142,96
9.870075373842052e+17,151,150,171
9.870075560352051e+17,177,177,129
9.870075296648051e+17,167,166,117
9.870075468967052e+17,54,54,26
9.870075538569052e+17,79,79,137
9.870075397994052e+17,94,94,34
9.870072927092051e+17,11,11,9
9.870075468962052e+17,56,56,27
9.870075509873052e+17,144,143,97
9.870075511089052e+17,174,174,126
9.870075882227052e+17,64,64,50
9.870075436974052e+17,173,173,125
9.870075494132051e+17,31,31,31
9.870075520865052e+17,33,33,38
9.870075447711052e+17,57,57,24
9.870075518177052e+17,28,28,36
9.870072831922052e+17,117,117,72
9.870073876864051e+17,165,164,176
9.870075348599052e+17,83,83,164
9.870075394020051e+17,90,90,144
9.870075397912051e+17,18,18,35
9.870075321946052e+17,81,81,140
9.870075424747052e+17,21,21,41
9.870075471798052e+17,115,115,29
9.870072928435052e+17,103,103,11
9.870075538924051e+17,70,70,155
9.870075444769052e+17,72,72,147
9.870075559032051e+17,172,171,122
9.870075457037052e+17,131,130,88
9.870075492672051e+17,47,47,145
9.870075300927052e+17,22,22,169
9.870075340687052e+17,4,4,107
9.870075472405052e+17,30,30,45
9.870075467069052e+17,37,37,149
9.870075538925052e+17,62,62,154
9.870075305035052e+17,16,16,43
9.870075607696051e+17,146,145,99
9.870072584327052e+17,148,147,2
9.870075291049052e+17,133,132,8
9.870075460702052e+17,150,134,0
9.870072847012051e+17,127,118,73
9.870075397462052e+17,34,34,15
9.870075491784051e+17,77,77,142
9.870075584219052e+17,0,0,123
9.870072839378052e+17,118,119,74
9.870075314036051e+17,32,32,100
9.870075538941052e+17,41,41,151
9.870075536839052e+17,166,165,116
9.870075522254052e+17,48,48,46
9.870075492325052e+17,27,27,150
9.870075359306052e+17,126,126,81
9.870075482501052e+17,2,2,85
9.870074092445052e+17,19,19,63
9.870075661809052e+17,38,38,157
9.870075374842052e+17,68,68,13
9.870075859537052e+17,97,97,49
9.870124085633052e+17,99,99,64
9.870075313340051e+17,129,128,86
9.870075347160051e+17,85,85,158
9.870075388069052e+17,168,167,119
9.870075460977052e+17,170,169,121
9.870075630814052e+17,135,135,90
9.870075632381052e+17,160,159,10
9.870075728111052e+17,82,82,55
9.870075517406052e+17,29,29,175
9.870075511635052e+17,109,109,112
9.870075470299052e+17,163,162,5
9.870075347053052e+17,80,80,159
9.870075676380051e+17,110,110,3
9.870072825096051e+17,116,116,71
9.870075728110052e+17,84,84,56
9.870075538926052e+17,23,23,153
9.870075467451052e+17,60,60,141
9.870074123977052e+17,46,46,60
9.870075423735052e+17,107,107,30
9.870075372627052e+17,5,5,166
9.870075468959052e+17,53,53,28
9.870072824137052e+17,113,113,69
9.870075613592051e+17,58,58,161
9.870075538572051e+17,78,78,136
9.870075413868051e+17,154,153,102
9.870075398750052e+17,20,20,14
9.870075408689052e+17,121,122,77
9.870075299004051e+17,13,13,132
9.870075421523052e+17,7,7,17
