StrandOrientation,GenomicStartPosition,GeneDbId,GeneClassification,GenomicEndPosition
1,10807,140,0,12909
0,3849,98,0,6110
0,454787,87,1,457048
0,476677,231,0,478833
0,14662,149,0,16869
0,550654,219,1,552888
0,833647,94,0,835809
1,732,50,0,3770
0,1067095,209,1,1069200
1,6806,55,1,9061
0,509,152,0,2776
1,73994,177,1,76342
0,1165567,142,1,1167843
1,1363,24,0,3747
0,690150,69,0,692573
1,26149,7,0,27924
0,752403,173,0,754574
0,1155433,115,1,1157625
1,10912,111,1,12933
1,94266,222,1,96434
1,43330,196,1,45480
0,602554,80,0,604953
0,4134,13,1,5633
0,760970,83,1,763015
1,1969,71,0,4215
0,478230,38,0,480713
1,112868,9,1,114439
0,12933,64,0,14957
1,61057,221,1,61722
0,42840,99,0,45278
1,48507,119,1,50723
0,560179,171,1,562476
1,53914,84,0,56175
1,2,65,1,1621
0,1006993,45,0,1009290
1,9286,122,0,11646
0,485114,92,0,487264
1,44773,175,0,47037
0,369323,170,0,371476
0,476408,11,0,477337
0,1832923,67,0,1835184
1,52601,113,1,53359
0,1,3,0,1062
1,439797,90,1,441740
1,79698,12,1,81519
1,69566,213,0,71686
0,704929,48,0,707127
1,62692,218,0,65232
0,775140,224,1,777368
1,921,126,0,3230
1,2,49,0,2056
0,2638,46,0,4947
1,370655,230,1,372955
0,2325364,17,0,2326647
1,8994,139,1,11060
1,1923,235,0,4184
1,56687,41,0,59089
1,111105,165,1,113111
1,77369,116,0,79561
0,1186812,188,1,1189025
0,803291,178,1,805063
0,1833030,205,1,1835456
1,3179,53,0,4516
0,610807,109,0,611448
1,2860,157,0,5046
0,1202680,197,1,1204656
1,1761,163,0,4025
1,386,25,0,2650
1,558669,97,1,560447
1,333633,153,1,335828
0,478171,204,1,480279
1,5501,6,1,7012
1,747,143,1,2096
0,2,5,0,1138
0,1113876,150,1,1116077
1,74154,30,0,76316
0,495853,100,1,496899
1,12949,206,0,15153
0,1024990,76,0,1027491
1,168412,121,1,170211
0,796943,225,1,799420
1,389746,8,0,391932
0,1401,160,0,3932
0,913312,63,0,914046
0,243822,156,0,244454
0,393970,20,0,394758
0,572120,168,0,574603
1,2628,42,1,4883
0,250869,129,1,252998
0,781,162,0,2976
1,90784,91,1,92964
1,5259,52,0,7454
0,468923,187,1,470842
0,667,36,0,2907
1,2230,1,0,4593
0,687517,82,1,689616
0,596190,167,1,598394
0,38,10,0,2152
0,505363,191,0,507624
0,456733,172,1,459000
0,121439,232,1,123424
1,50910,223,0,53099
1,535,43,0,3147
0,5362,54,0,7548
0,9210,107,0,11573
1,80040,4,0,81116
0,701787,72,0,703891
1,350539,200,0,351915
1,4843,23,0,6111
1,297915,227,1,299939
1,112891,158,0,115059
1,2,15,0,1036
1,26538,81,0,28523
0,545198,132,1,547726
0,17227,199,0,19404
0,1037046,77,0,1039862
0,1935421,26,1,1937904
0,50840,182,1,52834
1,11750,120,1,13918
1,16122,131,1,18062
1,60651,147,1,62927
1,32440,88,1,34512
0,3845,56,0,5683
1,827244,194,0,828692
0,710958,32,0,711734
0,479794,110,0,482055
1,86993,207,1,89110
1,68619,136,0,71096
1,5258,184,0,7735
0,2351474,128,0,2352753
0,2943,217,1,5117
1,119534,185,0,120751
0,7252,211,0,9642
0,26043,108,0,28514
1,101,85,0,1699
0,1570,18,1,3774
0,465892,40,1,468090
0,808763,210,1,811009
0,617003,203,1,619207
0,367785,60,0,369971
1,49749,102,0,52112
0,1,159,1,1108
0,1171,70,0,3468
0,811541,180,1,813661
0,558551,179,0,560608
0,959689,151,1,961848
0,914149,62,0,915393
1,4559,183,0,6868
1,47909,189,0,50074
0,485538,31,0,487691
1,14941,105,1,17178
0,666635,130,0,669010
1,101,169,0,2335
1,1,164,0,798
0,1157084,141,0,1159648
1,140096,228,0,140815
1,1680,161,0,3637
1,3207,135,0,5471
1,3093,21,0,5333
