CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Nationality,BirthPlace,RepresentingCountry,UciRiderId,Languages,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
3,0,56070,20777,5,203494.0,179769,5,1,5,3,86568,5,71.0,10,133261.0,7,5,79781,18575,1,180,8
1,8,49272,17881,7,13864.0,140294,7,6,2,5,76092,0,56.0,5,,4,7,38092,4863,5,169,4
0,9,47214,16722,10,34792.0,140674,10,0,8,0,64531,3,71.0,7,132670.0,10,10,52973,6228,6,183,6
0,1,22932,7530,0,6335.0,140231,0,3,7,2,46940,2,63.0,0,,2,0,37173,3224,4,170,3
3,5,39287,13240,1,66281.0,140835,1,3,3,2,55029,2,67.0,1,122451.0,9,1,21075,1310,5,178,1
1,4,55639,20535,4,,160352,4,3,0,2,89125,2,,8,,6,4,73388,14791,3,181,8
1,10,49154,16941,3,300070.0,140071,3,1,1,3,75873,5,54.0,4,133264.0,5,3,39969,3213,5,164,5
3,7,41076,13362,9,56034.0,139405,9,4,10,4,65995,3,70.0,6,,3,9,51551,3277,4,177,0
1,3,56436,20917,6,5649.0,156570,6,2,4,1,77380,1,78.0,9,,0,6,71706,9746,3,180,8
1,2,38736,12115,2,,140236,2,3,6,2,54674,2,64.0,3,,1,2,30329,2312,0,175,2
2,6,56041,20719,8,127549.0,174582,8,5,9,3,88889,4,65.0,2,135863.0,8,8,72449,18655,2,177,7
