Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
0,0,301826,244,2,299487
1,0,32772,97,1,29866
1,0,373899,28,2,371611
0,0,736453,78,3,733583
1,1,190552,79,2,188093
1,0,1516533,42,2,1514173
0,0,476728,160,2,474101
1,0,54199,31,2,51578
1,0,988200,208,2,985546
1,0,1062895,235,2,1060310
0,0,246580,86,2,243767
0,0,758419,44,2,756089
0,0,488327,204,3,485541
0,0,322020,238,1,319249
0,0,33755,26,2,30969
0,0,355891,246,2,353552
1,0,993191,43,2,990858
1,0,1150558,194,1,1147775
0,0,1152306,223,2,1149583
0,0,1161129,167,2,1158613
1,0,32977,217,1,30248
1,0,33431,25,2,30843
0,0,184674,5,2,182293
1,0,1757922,190,2,1755496
0,0,553480,175,3,550610
0,0,16153,29,2,13502
1,0,292921,247,2,290183
0,0,256062,180,2,253732
0,0,25495,49,2,22811
1,0,8691,197,2,6085
1,0,180436,214,2,177890
1,0,15222,213,2,12538
0,0,867065,116,2,864531
1,0,1966199,103,2,1963551
0,0,557682,144,2,555076
0,0,1024944,234,2,1022305
0,0,519004,253,2,516413
0,0,1176004,166,2,1173581
1,0,156435,33,3,153649
1,0,447956,178,2,445458
0,0,735391,128,2,733043
0,0,1102343,227,2,1099539
0,0,1314205,89,2,1311887
1,0,1034195,210,2,1031508
1,0,204433,61,2,201761
1,0,1800605,108,2,1797939
1,0,125132,80,2,122370
0,0,17633,21,1,14982
0,0,4209,121,2,1423
0,0,187941,233,2,185287
0,0,1065877,200,2,1063010
0,0,432191,135,2,429708
0,0,536061,258,2,533287
1,0,568671,174,2,566338
0,0,1123469,222,1,1120611
0,0,432436,159,1,429818
0,0,422008,202,2,419294
1,0,86749,154,1,84020
1,0,50888,153,2,48174
0,0,107074,256,1,104540
0,0,622377,40,2,620053
0,0,389747,165,1,387120
1,0,352788,251,2,350182
0,0,185153,23,2,182502
0,0,378614,164,2,375975
0,0,309384,110,2,306937
1,0,585607,81,2,583331
0,0,7162,19,2,4697
1,0,650434,38,3,647633
1,0,23290,219,2,20606
0,0,9867,59,2,7462
0,0,473501,203,3,470631
0,0,1713823,7,2,1711409
0,0,381075,239,2,378301
0,0,14845,46,3,11996
0,0,8092,215,2,5759
1,0,13979,199,1,11352
0,0,1053239,112,2,1050549
0,0,15062,85,2,12438
1,0,1100880,196,1,1098211
1,0,8115,173,3,5269
1,0,379418,171,2,376740
1,0,2047179,186,2,2044399
1,0,665447,73,3,662586
0,0,475012,142,2,472298
0,0,1324430,88,2,1322082
0,0,1156973,237,2,1154469
1,0,9580,198,1,6749
0,0,428427,87,3,425755
1,0,1096585,236,2,1093946
0,0,810651,170,2,808318
0,0,12594,152,2,9967
1,0,9089,218,2,6579
0,0,45075,124,1,42286
1,0,1611964,100,1,1609262
0,0,1828534,107,2,1825916
1,0,483376,96,2,480707
0,0,1865809,105,2,1862957
0,0,139709,255,2,138117
0,0,404584,118,2,402206
0,0,1731005,192,3,1728183
1,0,2060220,185,2,2057611
0,0,255561,17,1,253126
1,0,12158,10,2,9363
0,0,21771,83,2,19363
0,0,506933,18,3,504105
0,0,465591,163,2,462814
0,0,262330,245,2,259847
0,0,579976,259,2,577358
1,0,16377,146,2,13513
1,0,199898,35,1,197364
0,0,1633076,188,1,1630521
0,0,602587,41,2,600077
0,0,768058,75,2,765323
1,0,1129346,169,2,1126764
0,0,20976,56,2,18310
0,0,5331,151,2,2932
1,0,629809,113,3,627020
0,0,1825289,189,2,1822929
0,0,700388,14,2,697620
1,0,6553,120,2,4166
0,0,1169591,224,3,1166769
1,0,13678,157,2,10931
0,0,468388,67,3,465485
0,0,476059,150,1,473501
0,0,1251196,182,2,1248512
1,0,1015945,209,2,1013150
1,0,1147282,168,2,1144757
1,0,721934,74,2,719244
0,0,1582479,187,1,1579936
1,0,221070,141,2,218443
1,0,218715,54,2,215884
0,0,11062,4,2,8450
1,0,1570228,99,5,1568267
0,0,308185,64,1,306188
0,0,546370,45,2,543824
0,0,410579,136,2,407808
0,0,57145,55,3,54284
0,0,849988,206,2,847319
0,0,408107,16,1,405750
1,0,60414,228,2,57859
1,0,1007699,207,2,1005114
1,0,7898,9,2,5274
0,0,245264,47,2,242583
0,0,4732,123,2,2051
0,0,21506,57,2,18858
1,0,23129,126,3,20358
0,0,472189,69,2,469499
0,0,1014233,134,1,1011738
0,0,34218,58,2,31414
1,0,2102129,102,2,2099463
1,0,82609,138,3,79808
0,0,1317329,98,2,1314768
1,0,396615,252,1,394090
1,0,565683,140,2,563344
1,0,10603,6,3,7772
1,0,212927,0,5,211077
0,0,276688,211,1,274223
0,0,652210,95,2,649424
1,0,10893,90,2,8359
1,0,4709,30,2,2067
0,0,119436,257,2,116878
1,0,14331,231,2,11776
1,0,1650945,11,2,1648582
0,0,7054,122,2,4541
1,0,456596,15,2,453903
1,0,3590,212,2,942
0,0,1816759,191,2,1814429
1,0,2010450,109,2,2008033
1,0,529696,177,2,526820
0,0,280853,62,2,278046
1,0,423886,65,2,421607
1,0,408724,139,1,406415
0,0,1036042,117,2,1033382
