Gender,BiographicalNotes,PosthumousTitle,GoogleKnowledgeGraphId,MotherName,MiddleName,FirstName,DeathDate,SiblingName,FamilySurname,BirthDate
1,11,75,17,17,1,2,7,0,0,31
0,11,28,53,17,0,3,45,0,1,79
1,11,3,31,15,1,2,54,0,0,69
1,11,58,37,27,1,2,27,0,0,28
0,11,79,62,10,0,3,75,0,1,42
0,11,46,42,3,0,3,80,0,1,47
0,11,37,41,15,0,3,74,0,1,84
1,11,63,10,2,0,3,82,0,1,41
1,10,54,47,9,1,2,17,0,0,67
1,9,46,13,15,0,3,86,0,1,0
1,11,23,34,3,1,2,18,2,0,55
1,11,4,39,0,1,2,64,0,0,73
1,11,71,22,15,1,2,34,0,0,46
1,11,78,76,8,1,2,37,0,0,56
1,11,25,2,13,0,3,44,0,1,59
0,11,46,51,15,0,3,79,0,1,70
0,13,34,81,7,0,3,77,0,1,39
0,11,51,56,19,0,3,32,0,1,10
0,11,30,73,17,1,3,57,0,0,15
1,4,15,27,23,1,2,62,0,0,18
1,3,74,6,6,1,2,24,0,0,12
1,11,69,18,10,0,3,76,0,1,81
0,11,47,70,5,0,3,39,0,1,21
1,11,72,19,15,1,2,53,0,0,80
0,11,35,85,24,0,3,56,0,1,26
0,13,31,83,6,1,5,63,0,0,9
1,11,17,35,9,1,2,42,0,0,51
0,11,60,85,0,0,3,28,0,1,66
0,11,44,69,25,0,3,25,0,1,54
1,11,68,33,9,1,2,15,0,0,49
0,11,0,26,14,0,3,0,0,1,4
0,11,40,49,1,0,3,67,0,1,11
0,11,70,54,13,0,3,29,0,1,71
1,11,22,4,1,1,2,13,0,0,40
1,11,1,84,22,1,2,40,1,0,25
0,11,46,52,8,0,3,65,0,1,33
1,7,11,8,3,1,2,50,0,0,50
1,11,46,38,18,1,2,78,0,0,63
0,11,46,63,17,0,3,85,0,1,75
1,11,9,20,11,1,2,48,0,0,37
1,15,64,77,4,1,2,72,1,0,16
0,11,24,1,5,0,3,4,0,1,7
1,0,73,21,22,1,2,46,0,0,2
0,11,57,72,21,0,3,26,0,1,34
0,12,18,80,7,0,3,66,0,1,29
0,11,52,59,14,1,1,36,0,0,5
0,11,53,68,17,0,3,15,0,1,58
0,11,45,40,3,0,3,21,0,1,32
1,11,76,25,5,1,2,31,0,0,38
1,6,48,28,15,1,2,23,0,0,23
0,11,46,43,20,0,3,9,0,1,52
1,11,46,7,15,1,2,86,0,0,35
0,11,38,60,13,0,3,59,0,1,66
1,11,5,75,26,0,3,60,0,1,74
0,11,66,71,14,0,3,2,0,1,6
0,11,39,46,11,0,3,73,0,1,20
1,11,14,30,12,1,2,71,0,0,45
1,11,20,11,13,1,2,38,0,0,53
1,11,46,32,17,1,2,20,0,0,83
0,11,43,65,9,0,3,22,0,1,64
1,11,12,14,26,1,2,55,0,0,48
0,11,41,85,17,0,3,52,0,1,65
1,11,8,12,9,1,2,49,0,0,78
0,11,65,45,2,0,3,3,0,1,13
1,11,6,24,8,1,2,69,0,0,62
1,11,2,29,26,1,2,70,0,0,60
0,11,61,66,9,0,3,16,0,1,72
1,1,50,15,14,1,2,1,0,0,3
1,11,10,5,14,1,2,68,0,0,61
0,11,49,67,9,0,3,19,0,1,57
1,16,62,78,7,1,2,43,0,0,14
1,11,77,23,11,1,0,10,0,0,27
1,11,19,16,2,1,2,5,0,0,24
1,8,16,79,2,1,2,14,1,0,17
1,11,26,3,10,1,2,30,0,0,36
0,11,32,64,0,0,3,83,0,1,82
0,11,55,57,25,0,3,35,0,1,44
0,11,56,61,17,0,3,8,0,1,42
0,11,36,85,17,0,3,84,0,1,68
0,11,46,48,15,0,3,81,0,1,30
0,11,42,74,9,0,3,47,0,1,43
1,2,7,0,11,1,2,51,0,0,8
1,11,13,9,10,1,2,61,0,0,76
0,11,29,50,15,0,3,33,0,1,85
0,11,59,58,1,0,3,12,0,1,19
1,14,67,82,16,1,4,58,0,0,1
0,11,33,55,13,0,3,41,0,1,77
1,5,27,36,15,0,3,11,0,1,22
0,11,21,44,4,0,3,6,0,1,32
