Gender,BiographicalNotes,PosthumousTitle,GoogleKnowledgeGraphId,MotherName,MiddleName,FirstName,DeathDate,SiblingName,FamilySurname,BirthDate
1,11,76,17,17,1,3,7,0,0,31
0,11,61,64,17,1,5,35,0,0,85
1,11,3,31,15,1,3,53,0,0,69
1,11,58,37,26,1,3,25,0,0,28
0,11,37,85,17,0,4,84,0,1,68
0,11,47,42,3,0,4,80,0,1,47
0,11,38,41,15,0,4,74,0,1,83
1,11,64,10,2,0,4,82,0,1,41
1,10,54,47,9,1,3,16,0,0,67
1,9,47,13,15,0,4,86,0,1,0
1,11,24,34,3,1,3,17,2,0,55
1,11,4,39,0,1,3,64,0,0,73
1,11,71,22,15,1,3,33,0,0,46
1,11,79,76,8,1,3,37,0,0,56
1,11,26,2,13,0,4,43,0,1,59
0,11,47,51,15,0,4,79,0,1,70
0,13,35,81,7,0,4,77,0,1,39
0,11,66,71,14,0,4,2,0,1,6
0,11,31,73,17,1,4,56,0,0,14
1,4,15,27,22,1,3,61,0,0,17
1,3,75,6,6,1,3,22,0,0,12
1,11,69,18,10,0,4,76,0,1,80
0,11,59,57,1,0,4,11,0,1,18
1,11,73,19,15,1,3,52,0,0,79
0,11,43,74,9,0,4,46,0,1,43
0,13,32,83,6,1,7,63,0,0,9
1,11,17,35,9,1,3,41,0,0,52
0,11,60,85,0,0,4,26,0,1,66
0,11,55,56,24,0,4,34,0,1,44
1,11,68,33,9,1,3,14,0,0,49
0,11,0,26,14,0,4,0,0,1,4
0,11,29,53,17,0,4,44,0,1,78
0,11,44,66,9,0,4,20,0,1,64
1,11,23,4,1,1,3,12,0,0,40
1,11,1,84,21,1,3,40,1,0,24
0,11,47,52,8,0,4,65,0,1,33
1,7,11,8,3,1,3,49,0,0,50
1,11,47,38,18,1,3,78,0,0,63
0,11,47,63,17,0,4,85,0,1,75
1,11,9,20,11,1,3,47,0,0,37
1,15,65,77,4,1,3,72,1,0,15
0,11,25,1,5,0,4,4,0,1,7
1,0,74,21,21,1,3,45,0,0,2
0,11,22,44,4,0,4,6,0,1,32
0,12,18,80,7,0,4,66,0,1,29
0,11,52,59,14,1,1,36,0,0,5
0,11,72,43,15,0,4,28,0,1,57
0,11,41,49,1,0,4,67,0,1,11
1,11,77,25,5,1,3,30,0,0,38
1,6,49,28,15,1,3,21,0,0,22
0,11,80,62,10,0,4,75,0,1,42
1,11,47,7,15,1,3,86,0,0,35
0,11,39,60,13,0,4,58,0,1,66
1,11,5,75,25,0,4,59,0,1,74
0,11,40,45,11,0,4,73,0,1,19
0,11,36,85,23,0,4,55,0,1,25
1,11,14,30,12,1,3,71,0,0,45
1,11,20,11,13,1,3,38,0,0,53
1,11,47,32,17,1,3,18,0,0,82
0,11,53,68,17,0,4,14,0,1,58
1,11,12,14,25,1,3,54,0,0,48
0,11,42,85,17,0,4,51,0,1,65
1,11,8,12,9,1,3,48,0,0,77
0,11,48,70,5,0,4,39,0,1,20
1,11,6,24,8,1,3,69,0,0,62
1,11,2,29,25,1,3,70,0,0,60
0,11,70,54,13,0,4,27,0,1,71
1,1,50,15,14,1,3,1,0,0,3
1,11,10,5,14,1,3,68,0,0,61
0,11,45,69,24,0,4,23,0,1,54
1,16,63,78,7,1,3,42,0,0,13
1,11,78,23,11,1,0,9,0,0,27
1,11,19,16,2,1,3,5,0,0,23
1,8,16,79,2,1,3,13,1,0,16
1,11,27,3,10,1,3,29,0,0,36
0,11,46,40,3,0,4,19,0,1,32
0,11,57,72,20,0,4,24,0,1,34
0,11,56,61,17,0,4,8,0,1,42
0,11,33,65,0,0,4,83,0,1,81
0,11,47,48,15,0,4,81,0,1,30
0,11,34,46,25,1,2,62,0,0,51
1,2,7,0,11,1,3,50,0,0,8
1,11,13,9,10,1,3,60,0,0,76
0,11,30,50,15,0,4,32,0,1,84
0,11,51,55,19,0,4,31,0,1,10
1,14,67,82,16,1,6,57,0,0,1
0,11,62,67,9,0,4,15,0,1,72
1,5,28,36,15,0,4,10,0,1,21
0,11,21,58,25,0,4,3,0,1,26
