Weight_Kg,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Description,Twitter_Username,Birth_Place,Uci_Rider_Id,Birth_Date,Sports_Team,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Sport_Country
4,5,66256.0,25157.0,3,22666.0,189438,2,1,7,96372.0,7,3,6,3,97448,41249.0,174.0,1
4,6,56041.0,20719.0,4,127549.0,174582,9,7,8,88889.0,2,8,9,4,72449,18655.0,177.0,4
0,2,80654.0,,0,,202483,5,2,6,157221.0,9,7,0,0,121401,65240.0,176.0,3
4,7,41885.0,13080.0,8,142323.0,140628,4,4,2,64737.0,3,2,7,8,58535,860.0,180.0,2
1,0,43386.0,14310.0,5,35954.0,140509,7,6,9,53804.0,1,6,4,5,36343,3991.0,173.0,5
3,9,68254.0,25653.0,6,22010.0,195439,0,8,0,88346.0,4,4,2,6,105482,48008.0,180.0,7
5,1,69634.0,26526.0,7,5000.0,194619,8,3,1,149727.0,8,5,8,7,115790,45992.0,176.0,6
4,8,62257.0,26197.0,9,,181203,3,9,3,136296.0,5,1,3,9,105159,38937.0,177.0,2
4,3,22917.0,6177.0,1,25109.0,140232,6,0,4,45643.0,0,0,1,1,20659,1006.0,179.0,3
2,4,62573.0,23503.0,2,54522.0,181270,1,5,5,92264.0,6,9,5,2,91205,27124.0,174.0,0
4,5,66256.0,25157.0,3,22666.0,189438,2,1,7,96372.0,7,3,6,3,97448,41249.0,174.0,1
3,9,68254.0,25653.0,6,22010.0,195439,0,8,0,88346.0,4,4,2,6,105482,48008.0,180.0,7
