SportType,HostCountry,EditionNumber,StartLocation,RaceWinner
0,1,81.0,38,8
0,1,18.0,11,21
0,11,,48,27
0,5,,50,29
0,8,,46,32
0,1,42.0,0,27
0,10,,19,24
0,0,71.0,15,27
0,8,,40,27
0,5,,37,18
0,1,41.0,12,22
0,0,96.0,13,37
0,11,,7,9
0,8,,42,28
0,1,,43,36
0,3,106.0,34,17
0,1,,31,15
0,6,,1,0
0,1,,3,3
0,1,,4,6
0,9,,10,7
0,10,5.0,19,10
0,5,,30,27
0,0,12.0,51,38
0,1,81.0,23,27
0,1,110.0,18,12
0,0,105.0,35,23
0,1,57.0,16,27
0,3,101.0,33,1
0,1,65.0,24,33
0,1,59.0,16,1
0,0,46.0,8,35
0,0,100.0,13,35
0,1,,22,36
0,10,,19,10
0,3,104.0,39,2
0,1,84.0,23,23
0,1,81.0,36,10
0,1,85.0,23,27
0,3,108.0,34,26
0,10,,19,34
0,7,83.0,17,30
0,5,,2,27
0,3,103.0,32,24
0,1,19.0,45,1
0,0,88.0,27,3
0,0,68.0,28,16
0,5,,49,17
0,9,37.0,20,0
0,9,29.0,47,25
0,8,,26,31
0,1,,44,19
0,2,22.0,25,10
0,1,16.0,45,13
0,1,62.0,24,14
0,0,88.0,52,27
0,9,31.0,41,20
0,1,55.0,16,1
1,4,,6,9
0,1,,44,4
0,0,80.0,29,11
0,1,,9,3
0,8,1.0,40,31
0,1,,5,5
0,5,,21,27
0,1,,14,3
