EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,92,320234,145,145,0,15,319014,23,0
0,27,81801,40,40,0,45,80905,11,1
1,84,15410,226,226,1,38,14340,2,1
0,58,2162466,66,66,0,19,2161639,11,0
1,82,779639,94,94,1,14,778437,2,0
0,53,1098996,239,239,0,18,1097833,3,1
0,10,444826,201,201,0,14,443996,11,1
0,56,1077230,227,227,0,15,1076451,11,0
0,86,33929,169,169,0,2,32910,20,1
0,58,1422032,55,55,0,19,1421220,15,0
1,86,652441,52,52,1,8,651695,2,1
0,41,402463,87,87,0,5,401243,21,0
0,27,18040,106,106,0,58,16886,23,0
0,10,402910,137,137,0,14,402068,11,1
0,50,1153229,240,240,0,18,1151997,22,0
0,96,750678,154,154,0,18,750031,24,1
0,22,9906,4,4,0,23,8728,22,1
0,0,12258,153,153,0,69,11053,23,1
0,52,2202990,65,65,0,19,2202343,24,1
0,45,1011398,157,157,0,18,1010715,1,0
0,52,375897,23,23,0,19,375253,26,0
0,10,992655,211,211,0,14,991897,11,1
0,85,4632,135,135,0,32,3406,22,1
0,10,581117,205,205,0,14,580287,15,0
1,43,493669,119,119,1,15,492404,34,1
0,52,749602,56,56,0,19,748862,16,1
0,27,1832,61,61,0,47,591,22,0
0,24,217780,244,244,0,5,216641,12,0
0,50,1088191,238,238,0,18,1087412,16,1
0,62,822069,208,208,0,14,821287,18,0
1,37,10709,218,218,1,78,9531,2,0
0,39,23056,193,193,0,74,22262,18,0
0,10,691455,91,91,0,14,690643,11,0
1,8,497406,34,34,1,4,496306,2,0
0,38,365512,36,36,0,4,364310,23,1
0,27,9985,149,149,0,66,9303,0,0
1,2,4174,29,29,1,42,2966,2,0
0,10,1070767,196,196,0,14,1069991,11,0
0,55,599280,204,204,0,14,598465,11,1
0,0,26139,27,27,0,42,25351,11,1
1,25,182780,42,42,1,12,181743,2,1
0,48,196658,242,242,0,5,195561,14,0
0,62,394684,22,22,0,14,394031,1,1
0,65,1897997,126,126,0,18,1897239,11,0
0,27,1860,162,162,0,70,1114,0,1
0,55,589228,206,206,0,14,588062,23,0
0,71,400728,176,176,0,15,399566,0,0
0,7,617253,207,207,0,14,616495,11,0
1,53,745129,161,161,1,9,744176,2,0
0,97,1428734,54,54,0,19,1428093,26,0
0,45,1968229,124,124,0,18,1967444,11,1
1,94,13702,26,26,1,41,12743,2,0
0,71,1193619,232,232,0,15,1192936,1,0
0,79,210588,243,243,0,5,209491,20,0
1,77,17599,79,79,1,51,16553,2,0
0,10,1057942,131,131,0,14,1056725,22,0
0,53,663709,103,103,0,18,662936,11,1
0,100,1471918,183,183,0,17,1470884,5,0
