EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,91,320234,146,146,0,15,319014,23,0
0,27,81801,40,40,0,45,80905,11,1
1,83,15410,227,227,1,38,14340,2,1
0,59,2162466,66,66,0,19,2161639,11,0
1,81,779639,95,95,1,14,778437,2,0
0,54,1098996,240,240,0,18,1097833,3,1
0,10,444826,202,202,0,14,443996,11,1
0,57,1077230,228,228,0,15,1076451,11,0
0,85,33929,170,170,0,2,32910,20,1
0,59,1422032,55,55,0,19,1421220,15,0
1,54,745129,162,162,1,8,744176,2,0
0,24,432927,247,247,0,5,431740,14,0
0,27,18040,108,108,0,58,16886,23,0
0,10,402910,138,138,0,14,402068,11,1
0,51,1153229,241,241,0,18,1151997,22,0
0,95,750678,155,155,0,18,750031,24,1
0,22,9906,4,4,0,23,8728,22,1
0,0,12258,154,154,0,69,11053,23,1
0,53,2202990,65,65,0,19,2202343,24,1
0,47,1011398,158,158,0,18,1010715,1,0
0,53,375897,23,23,0,19,375253,26,0
0,10,992655,212,212,0,14,991897,11,1
0,84,4632,136,136,0,32,3406,22,1
0,10,581117,206,206,0,14,580287,15,0
1,45,493669,120,120,1,15,492404,34,1
0,53,749602,56,56,0,19,748862,16,1
0,27,1832,61,61,0,47,591,22,0
1,34,223492,245,245,1,5,222386,34,0
0,51,1088191,239,239,0,18,1087412,16,1
0,62,822069,209,209,0,14,821287,18,0
1,39,10709,219,219,1,78,9531,2,0
0,41,23056,194,194,0,74,22262,18,0
0,10,691455,92,92,0,14,690643,11,0
1,8,497406,34,34,1,4,496306,2,0
0,40,365512,36,36,0,4,364310,23,1
0,27,9985,150,150,0,66,9303,0,0
1,2,4174,29,29,1,42,2966,2,0
0,10,1070767,197,197,0,14,1069991,11,0
0,56,599280,205,205,0,14,598465,11,1
0,0,26139,27,27,0,42,25351,11,1
0,32,226729,43,43,0,12,226322,0,1
0,50,204825,243,243,0,5,203728,12,0
0,62,394684,22,22,0,14,394031,1,1
0,65,1897997,127,127,0,18,1897239,11,0
0,27,1860,163,163,0,70,1114,0,1
0,56,589228,207,207,0,14,588062,23,0
0,71,400728,177,177,0,15,399566,0,0
0,7,617253,208,208,0,14,616495,11,0
1,75,381597,14,14,1,9,380962,2,0
0,96,1428734,54,54,0,19,1428093,26,0
0,47,1968229,125,125,0,18,1967444,11,1
1,93,13702,26,26,1,41,12743,2,0
0,71,1193619,233,233,0,15,1192936,1,0
0,24,217780,244,244,0,5,216641,12,0
1,77,17599,79,79,1,51,16553,2,0
0,10,1057942,132,132,0,14,1056725,22,0
0,54,663709,105,105,0,18,662936,11,1
0,99,1471918,184,184,0,17,1470884,5,0
1,64,884301,140,140,1,14,883339,2,1
0,27,18090,97,97,0,53,17131,30,0
0,54,1783506,129,129,0,18,1782673,11,1
0,71,1194158,234,234,0,15,1193721,0,0
1,100,5205,98,98,1,54,4201,2,1
1,40,177073,106,106,1,20,175745,2,0
0,94,153559,236,236,0,80,152606,30,0
0,90,4472,217,217,0,76,3321,23,0
0,72,979496,116,116,0,19,978543,30,1
0,36,1905082,69,69,0,19,1904309,11,1
1,1,27009,45,45,1,28,25858,2,1
0,93,38006,198,198,0,75,37197,11,0
0,99,1221966,179,179,0,17,1220947,14,0
0,32,227094,18,18,0,12,226831,1,1
1,68,76658,39,39,1,45,76494,0,0
0,96,987733,114,114,0,19,987176,0,1
1,4,937169,157,157,1,18,936387,2,1
0,91,416187,121,121,0,15,415021,23,1
0,53,983808,115,115,0,19,982858,30,1
1,20,497744,119,119,1,15,496932,34,1
1,92,3831,171,171,1,73,3070,2,1
1,66,3587,164,164,1,71,2544,2,0
0,27,10011,38,38,0,44,9199,11,1
0,53,1474427,53,53,0,19,1473666,27,0
0,80,36547,224,224,0,37,35690,9,0
0,87,531335,175,175,0,1,530982,0,1
1,45,477748,118,118,1,15,476525,2,1
1,15,1925877,68,68,1,19,1925107,2,1
0,36,1564778,74,74,0,19,1564014,16,1
0,91,1106541,229,229,0,15,1105297,22,0
0,2,15525,110,110,0,31,14710,8,1
1,12,2102,112,112,1,59,1101,2,1
0,48,178084,111,111,0,16,176870,21,1
0,7,712890,93,93,0,14,712129,18,1
1,85,652441,52,52,1,7,651695,2,1
0,10,855470,139,139,0,14,854496,7,0
0,46,1677,77,77,0,49,712,29,1
0,91,301271,147,147,0,15,300510,18,0
1,17,11639,199,199,1,75,10170,2,0
0,95,2202884,186,186,0,18,2202237,24,1
0,99,1487286,182,182,0,17,1486264,14,1
0,27,2879,134,134,0,62,2091,11,1
0,58,12102,221,221,0,35,11231,0,0
1,81,563168,90,90,1,14,561921,2,1
0,69,12897,5,5,0,24,11857,0,1
0,10,878597,142,142,0,14,877761,11,0
1,6,2640,173,173,1,33,1327,2,0
0,54,2089274,124,124,0,18,2088630,24,1
0,40,384191,37,37,0,4,383100,14,0
1,25,137805,160,160,1,12,136807,2,0
0,7,77581,8,8,0,7,76523,20,1
0,96,684782,58,58,0,19,683826,30,0
0,95,914563,156,156,0,18,913814,26,0
0,0,31139,62,62,0,48,29922,22,0
1,78,1247221,181,181,1,17,1246121,2,0
0,78,1222996,107,107,0,19,1222181,16,1
0,10,297062,81,81,0,14,295851,22,0
0,62,1049347,133,133,0,14,1048619,15,0
0,55,36628,46,46,0,28,35402,23,1
1,15,1131697,172,172,1,19,1130438,2,1
0,80,31870,223,223,0,37,31118,11,0
0,86,363876,159,159,0,12,363610,0,1
0,10,946792,6,6,0,14,945539,22,1
1,61,2901,222,222,1,36,1762,2,0
0,99,1639752,123,123,0,17,1638709,19,0
0,88,550504,49,49,0,6,549704,11,0
0,89,17814,237,237,0,80,16873,29,1
0,23,826530,12,12,0,18,825718,18,1
0,51,335,10,10,0,25,3,0,0
1,63,7239,185,185,1,0,5971,2,1
1,42,41030,152,152,1,68,39978,2,0
0,0,19059,168,168,0,72,18244,11,0
0,97,1188618,195,195,0,14,1187623,31,0
0,53,1745136,193,193,0,19,1744339,16,0
1,35,2521,109,109,1,58,1283,2,1
0,91,250812,145,145,0,15,249592,22,0
0,59,731234,57,57,0,19,730422,11,0
0,7,1075329,3,3,0,14,1075195,1,1
1,25,182780,42,42,1,12,181743,2,1
0,62,492438,203,203,0,14,491209,22,0
0,16,1604402,190,190,0,18,1603254,17,0
0,0,11189,50,50,0,46,10047,23,1
1,70,13960,13,13,1,26,13361,2,1
0,0,39296,63,63,0,48,38151,22,0
0,7,375903,35,35,0,4,374896,20,1
0,90,12268,238,238,0,81,10958,22,0
0,59,2097143,192,192,0,19,2096334,11,1
0,27,13009,153,153,0,68,11804,23,0
0,88,571633,48,48,0,6,570836,11,0
0,34,11743,225,225,0,37,10985,11,1
1,35,556235,174,174,1,1,555144,2,0
0,57,1165493,231,231,0,15,1164663,11,0
1,33,613080,201,201,1,10,611866,2,1
0,19,9178,76,76,0,29,8375,11,1
0,54,2165485,187,187,0,18,2164835,24,1
1,48,41345,80,80,1,30,40839,33,0
1,73,29968,166,166,1,72,28721,2,0
0,28,358168,103,103,0,18,357524,24,0
1,5,517373,21,21,1,14,516597,2,1
0,98,37518,31,31,0,27,36670,11,0
0,49,1588977,122,122,0,17,1588012,31,0
0,67,1147481,178,178,0,17,1146423,7,1
0,81,15379,220,220,0,78,14528,11,0
0,79,77977,41,41,0,3,77144,11,0
0,10,658646,91,91,0,14,657867,11,0
0,27,3650,149,149,0,65,2478,6,1
1,5,551759,89,89,1,14,550737,2,1
0,29,79682,169,169,0,13,78918,28,0
0,27,614,51,51,0,46,222,0,1
1,14,1921338,126,126,1,18,1920505,2,1
1,25,295086,101,101,1,12,293887,2,1
0,71,1173402,232,232,0,15,1172566,18,0
0,27,37248,167,167,0,72,35989,23,1
1,52,55904,32,32,1,27,55386,2,1
1,4,1887968,128,128,1,18,1886823,2,0
1,38,489292,88,88,1,5,488510,2,1
0,27,13082,113,113,0,60,12327,0,1
0,71,386514,176,176,0,15,385279,22,0
0,62,832741,211,211,0,14,831566,22,0
0,27,28969,25,25,0,40,28568,1,0
0,74,738,2,2,0,22,1,0,0
0,102,5008,9,9,0,25,4142,11,0
1,25,287088,100,100,1,12,285889,2,1
0,0,14090,64,64,0,48,12945,22,0
0,15,1026,226,226,0,79,841,0,1
0,0,1863,104,104,0,57,1015,18,0
0,78,2029082,19,19,0,19,2027874,22,1
1,9,445921,17,17,1,4,445157,2,0
0,7,251858,20,20,0,14,251211,0,0
0,7,1022329,214,214,0,14,1021526,18,1
0,27,23025,135,135,0,63,22318,0,0
0,82,1675,216,216,0,34,854,11,1
1,101,26635,165,165,1,72,25832,34,0
0,36,2151652,67,67,0,19,2150759,9,1
0,49,2155792,188,188,0,18,2155145,24,0
1,59,35179,44,44,1,13,34406,2,1
0,60,19523,47,47,0,28,18321,23,1
0,53,1687805,71,71,0,19,1687044,4,0
0,0,10624,96,96,0,52,9845,32,0
0,71,266241,143,143,0,15,265438,11,0
0,10,313431,85,85,0,14,312547,11,0
0,26,486743,59,59,0,1,485586,14,0
0,10,285745,83,83,0,14,284939,11,0
1,5,827468,210,210,1,14,826311,2,1
0,3,1047,1,1,0,21,259,25,0
0,52,323886,161,161,0,11,323095,25,1
0,27,18784,99,99,0,55,18002,18,0
0,10,997273,213,213,0,14,996476,11,1
0,10,305564,86,86,0,14,304740,8,0
1,37,13592,102,102,1,56,12324,2,1
0,0,30765,28,28,0,42,29968,11,1
0,7,422034,16,16,0,4,420934,14,0
0,62,941707,7,7,0,14,940901,11,1
0,46,12388,137,137,0,64,11468,0,0
1,15,269718,148,148,1,19,269074,2,1
