Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,9,1,10,24,0
1,107750,139,138,9,1,57,106153,0
0,4728447,70,69,8,0,23,4728247,1
0,673514,116,115,7,0,11,671973,1
1,113223,159,158,9,1,13,111766,0
1,2963001,153,152,9,1,13,2961642,0
0,98113,61,60,11,0,23,96665,1
0,234927,104,103,7,0,5,233464,1
0,3074,33,33,7,0,3,1527,1
1,106612,3,3,9,1,48,106202,1
1,184616,16,16,9,1,50,183067,1
1,38437,136,135,9,1,46,36916,0
0,1673892,128,127,0,0,43,1672390,1
1,22525,1,1,9,1,57,20999,1
1,4097911,86,85,9,1,19,4096637,0
1,13747,45,44,10,1,1,12274,0
1,4696555,91,90,4,1,37,4695357,0
1,41821,42,41,9,1,0,40324,1
1,4496,24,24,9,1,30,3127,1
1,1176353,118,117,9,1,20,1175359,1
1,10546,21,21,9,1,18,9201,1
1,222454,162,161,9,1,41,222215,0
0,1338858,62,61,8,0,56,1337821,0
0,140801,161,160,7,0,36,139203,0
0,3300734,67,66,7,0,23,3299619,0
1,43444,100,99,13,1,21,41978,0
0,4811681,74,73,7,0,23,4810350,1
1,1190683,120,119,9,1,53,1189121,1
1,1134,49,48,9,1,55,394,1
1,2751752,65,64,7,1,25,2750562,0
0,4592637,87,86,7,0,51,4591225,0
1,158094,102,101,9,1,21,156706,1
1,135030,14,14,9,1,50,133507,0
0,4790735,73,72,8,0,56,4789134,1
1,34085,99,98,11,1,21,32568,0
1,3088628,157,156,9,1,13,3087307,1
0,26455,57,56,11,0,56,24893,1
1,10376,56,55,6,1,25,9589,1
1,2557165,142,141,9,1,41,2556965,1
1,2991723,155,154,9,1,41,2990299,1
0,96632,121,120,7,0,32,95058,0
1,1583995,122,121,9,1,33,1582390,1
0,4918348,77,76,8,0,56,4916846,1
1,4070879,85,84,9,1,23,4070196,0
1,4769841,92,91,3,1,37,4768519,0
1,1554901,132,131,9,1,7,1553302,1
1,87159,60,59,11,1,15,85747,1
0,4109268,68,67,7,0,23,4108888,0
1,2842847,151,150,9,1,13,2842087,1
0,28198,39,38,7,0,36,26588,0
