GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,12460992,118,118,12,39,0,8,12457699,0,4
0,21664027,171,171,12,38,0,12,21662360,1,4
1,14716347,127,127,12,41,1,13,14714348,1,4
1,24261916,183,183,12,22,1,17,24259394,0,4
0,16959828,144,144,12,38,0,5,16958119,1,4
0,22507853,176,176,12,23,0,5,22506750,0,4
0,5808507,87,87,12,20,0,11,5806811,1,4
1,4686426,76,76,12,22,1,13,4684330,0,4
0,19111241,157,157,12,38,0,12,19109871,1,4
0,578294,57,57,12,38,0,8,576495,0,4
0,7321944,29,29,1,43,0,7,7320766,1,3
0,5564839,83,83,12,39,0,11,5563799,0,4
0,16126477,137,137,12,20,0,11,16125630,0,4
0,16125431,136,136,12,19,0,8,16124496,0,4
0,6496823,89,89,12,24,0,11,6495699,1,4
0,22866651,178,178,12,39,0,5,22865183,1,4
0,517377,186,186,10,23,0,22,516034,0,4
0,22420594,175,175,12,38,0,5,22418891,0,4
0,6623857,90,90,12,20,0,8,6622859,0,4
0,404271,187,187,11,20,0,25,403456,0,4
0,901193,59,59,12,23,0,11,900303,0,4
0,4478317,21,21,1,43,0,7,4476602,1,3
1,6731177,91,91,12,26,1,13,6730012,0,4
0,8345450,100,100,12,19,0,11,8343849,0,4
0,1190069,63,63,12,39,0,11,1189272,0,4
1,166610,3,3,2,34,1,10,159343,0,1
0,12080076,45,45,1,4,0,23,12076498,1,3
0,7308392,96,96,12,23,0,8,7307190,1,4
1,11814846,114,114,12,21,1,13,11812601,0,4
0,14246569,122,122,12,38,0,11,14244689,0,4
0,15526762,53,53,1,5,0,7,15525344,1,3
0,10367781,109,109,12,38,0,8,10366297,1,4
0,19353997,158,158,12,19,0,12,19353143,1,4
0,11228364,112,112,12,20,0,8,11227465,1,4
0,4821949,22,22,1,3,0,23,4818629,0,3
0,802447,11,11,7,19,0,18,797690,1,2
0,6404545,26,26,1,2,0,23,6402818,0,3
0,3890743,20,20,1,5,0,23,3888761,1,3
0,7536063,33,33,1,44,0,23,7534078,1,3
1,4347332,75,75,12,32,1,17,4345470,0,4
0,7085743,95,95,12,19,0,11,7084628,1,4
0,14417657,126,126,12,19,0,11,14416290,0,4
0,10471813,41,41,1,6,0,7,10470053,1,3
0,17169188,146,146,12,38,0,5,17167599,1,4
0,17204565,147,147,12,38,0,5,17202847,1,4
1,954065,60,60,12,25,1,17,950709,1,4
0,7485958,32,32,1,11,0,23,7483058,0,3
0,5310760,80,80,12,19,0,8,5309435,1,4
0,11930294,115,115,12,38,0,8,11928846,1,4
0,1163943,62,62,12,20,0,11,1162260,1,4
0,11141122,111,111,12,20,0,8,11139777,0,4
0,3552202,18,18,1,12,0,7,3549812,0,3
0,14297622,123,123,12,38,0,8,14294152,1,4
0,16271105,139,139,12,35,0,8,16270171,1,4
0,19098062,156,156,12,19,0,12,19092804,1,4
0,1488889,8,8,3,18,0,2,1488146,1,1
0,720767,1,1,0,18,0,4,720270,1,0
0,1138017,61,61,12,20,0,8,1136944,0,4
0,8446783,36,36,1,10,0,7,8444390,0,3
0,4986283,79,79,12,20,0,11,4984864,1,4
0,6830368,92,92,12,19,0,11,6828929,0,4
0,11411332,113,113,12,20,0,11,11410333,0,4
0,15699505,133,133,12,19,0,8,15698438,1,4
0,3320883,71,71,12,23,0,6,3319447,0,4
0,1981630,67,67,12,31,0,8,1980224,1,4
0,15368259,130,130,12,19,0,11,15366826,0,4
0,14309948,124,124,12,37,0,8,14308893,0,4
0,4787700,77,77,12,19,0,8,4786735,1,4
0,7223642,27,27,1,1,0,23,7222040,1,3
0,10863636,110,110,12,38,0,8,10862464,0,4
0,13113318,49,49,1,9,0,23,13110727,0,3
0,1537359,16,16,1,6,0,7,1535937,0,3
0,6917763,94,94,12,20,0,11,6916226,1,4
0,14082326,121,121,12,19,0,11,14081394,1,4
0,9633706,105,105,12,20,0,11,9632528,0,4
0,5758988,24,24,1,0,0,23,5757861,1,3
0,81654,9,9,6,18,0,20,80512,1,2
0,23853903,181,181,12,38,0,12,23852545,1,4
0,16962662,145,145,12,19,0,12,16961430,1,4
1,174089,4,4,2,34,1,21,167799,1,1
0,3888303,19,19,1,43,0,23,3887290,1,3
0,12055523,116,116,12,20,0,8,12054483,1,4
1,99081,2,2,2,34,1,0,91365,1,1
0,7438734,98,98,12,19,0,8,7437391,1,4
0,4822884,23,23,1,17,0,23,4821965,0,3
0,15575248,132,132,12,19,0,11,15573908,0,4
1,13184258,50,50,1,30,1,19,13181388,1,3
0,9950434,108,108,12,20,0,8,9949362,1,4
0,8353309,101,101,12,23,0,11,8351207,1,4
0,21338975,168,168,12,23,0,12,21337707,1,4
1,16290323,140,140,12,40,1,24,16287284,1,4
0,39504,54,54,12,20,0,11,38457,0,4
0,24325727,184,184,12,19,0,5,24324600,1,4
0,15525233,52,52,1,0,0,23,15523344,0,3
1,8123260,35,35,1,30,1,19,8119900,0,3
0,22034406,173,173,12,20,0,5,22033199,0,4
0,7470439,31,31,1,0,0,7,7468958,0,3
1,8082833,99,99,12,25,1,17,8078484,1,4
0,1555909,17,17,1,7,0,7,1553879,1,3
