profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,biography,sport_type,birth_place,uci_rider_id,languages,weight_kg,birth_date,first_name,full_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id
0,26,,13274.0,20,11887.0,140884.0,15,3,25,54576.0,7,67.0,9,18,20,15712.0,1008.0,180.0,9
0,20,,,0,,213282.0,16,3,14,564239.0,6,,26,0,0,159824.0,64479.0,174.0,17
0,13,27342.0,5252.0,15,1586.0,140378.0,21,3,21,32617.0,6,64.0,6,14,15,16285.0,909.0,174.0,6
0,2,16289.0,5.0,2,470645.0,140924.0,17,3,16,14575.0,6,61.0,0,2,2,7005.0,38.0,177.0,8
0,9,43387.0,14321.0,12,,140505.0,18,3,18,422366.0,0,60.0,8,11,9,24864.0,2977.0,173.0,14
0,1,46381.0,18610.0,13,77168.0,137427.0,12,1,23,71557.0,4,62.0,14,12,13,63999.0,12474.0,173.0,0
0,14,,20784.0,16,10912.0,172104.0,11,3,2,88551.0,6,58.0,16,19,16,83510.0,18117.0,173.0,1
0,11,19558.0,3828.0,10,65423.0,140870.0,9,2,8,34012.0,6,69.0,2,10,11,21215.0,264.0,182.0,7
0,4,47686.0,17534.0,11,8603.0,140333.0,17,0,15,59773.0,8,72.0,12,20,12,37589.0,2325.0,183.0,15
0,15,43388.0,14319.0,18,67673.0,140293.0,18,0,17,68367.0,0,63.0,10,16,18,58588.0,2278.0,173.0,12
0,25,11585.0,1994.0,26,569371.0,140778.0,14,3,13,28378.0,5,65.0,1,26,26,13069.0,133.0,181.0,10
1,8,19255.0,3891.0,7,508772.0,140196.0,20,4,5,32532.0,3,71.0,4,7,7,11292.0,716.0,183.0,3
0,16,83295.0,28377.0,21,84000.0,212377.0,2,3,0,587366.0,6,62.0,25,21,21,141854.0,84019.0,171.0,17
0,7,16313.0,3333.0,8,134950.0,140752.0,2,3,11,44513.0,2,74.0,3,8,8,18746.0,150.0,181.0,4
0,10,69878.0,26378.0,9,,206876.0,6,3,19,162777.0,6,,21,9,10,118440.0,61639.0,168.0,17
0,17,,25029.0,22,,196900.0,0,3,7,88623.0,6,66.0,18,22,22,91470.0,52660.0,178.0,17
0,3,,27716.0,25,1122.0,209286.0,10,3,6,109481.0,6,68.0,24,25,25,111158.0,78129.0,190.0,17
0,21,60759.0,22794.0,5,37069.0,168760.0,17,3,1,86857.0,1,61.0,17,5,5,81087.0,1527.0,177.0,17
0,19,56666.0,18975.0,1,32176.0,133024.0,5,4,4,70590.0,3,58.0,15,1,1,65132.0,20147.0,172.0,16
0,12,65227.0,26509.0,14,,194909.0,19,3,3,111440.0,6,57.0,22,13,14,99609.0,46163.0,173.0,17
0,18,39842.0,12843.0,19,1311517.0,140292.0,7,3,24,67388.0,8,58.0,11,17,19,57418.0,2276.0,166.0,13
0,24,49495.0,23426.0,6,29588.0,177246.0,10,3,9,87061.0,6,,19,6,6,88470.0,37748.0,181.0,17
0,5,,31634.0,4,,262718.0,13,3,20,112281.0,4,,20,4,4,170457.0,57961.0,184.0,17
1,6,23014.0,7606.0,3,95405.0,140501.0,4,4,22,45633.0,3,68.0,7,3,3,20340.0,828.0,179.0,5
0,23,3083.0,3366.0,23,24074.0,140270.0,1,4,12,30329.0,3,63.0,5,23,23,15181.0,568.0,175.0,11
0,0,47885.0,18123.0,17,21399.0,139801.0,8,3,26,68832.0,6,71.0,13,15,17,58401.0,6309.0,179.0,2
0,22,66570.0,27708.0,24,,202331.0,3,1,10,109775.0,3,58.0,23,24,24,119805.0,65025.0,170.0,17
