profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,biography,sport_type,birth_place,uci_rider_id,languages,weight_kg,birth_date,first_name,full_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id
0,1,,27716.0,22,1122.0,209286.0,6,2,4,109481.0,6,68.0,22,22,22,111158.0,78129.0,190.0,13
0,18,56041.0,20719.0,19,127549.0,174582.0,16,3,19,88889.0,8,65.0,9,19,19,72449.0,18655.0,177.0,12
0,21,6263.0,45.0,18,247878.0,140855.0,1,2,21,24166.0,6,70.0,1,18,18,4177.0,174.0,179.0,8
0,7,11009.0,5139.0,4,188233.0,140904.0,7,0,6,55131.0,6,65.0,7,4,4,27924.0,581.0,183.0,4
0,23,61573.0,23641.0,6,2423.0,186945.0,9,4,9,91043.0,3,,13,6,6,82430.0,43007.0,,1
0,13,16313.0,3333.0,11,134950.0,140752.0,1,2,11,44513.0,1,74.0,3,11,11,18746.0,150.0,181.0,3
0,10,56436.0,20917.0,17,5649.0,156570.0,12,2,8,77380.0,4,78.0,12,17,17,71706.0,9746.0,180.0,13
0,22,23059.0,5262.0,15,22846.0,140612.0,20,4,1,30737.0,3,67.0,6,15,15,19738.0,161.0,183.0,6
0,11,63240.0,29886.0,8,,189323.0,9,1,7,97699.0,3,,18,8,8,109151.0,38940.0,,13
0,0,16289.0,5.0,1,470645.0,140924.0,17,2,14,14575.0,6,61.0,0,1,1,7005.0,38.0,177.0,7
0,24,11585.0,1994.0,24,569371.0,140778.0,13,2,12,28378.0,5,65.0,2,24,24,13069.0,133.0,181.0,9
0,8,,27923.0,5,,206705.0,2,0,5,109470.0,2,,21,5,5,132446.0,71217.0,194.0,13
1,14,19255.0,3891.0,10,508772.0,140196.0,19,4,2,32532.0,2,71.0,5,10,10,11292.0,716.0,183.0,2
0,6,74592.0,31263.0,3,,241011.0,9,2,13,101278.0,3,,20,3,3,122630.0,72919.0,173.0,13
0,2,,28375.0,23,,198909.0,9,2,22,154663.0,3,,19,23,23,125856.0,51269.0,174.0,13
0,5,62259.0,24110.0,2,1447.0,181212.0,10,2,0,250807.0,3,,15,2,2,94988.0,27301.0,184.0,13
0,9,62255.0,24189.0,7,5751.0,187231.0,8,2,3,79522.0,3,64.0,14,7,7,82930.0,34011.0,176.0,13
0,19,,32161.0,21,,215946.0,3,0,10,238678.0,6,,23,21,21,153853.0,93345.0,,13
0,17,65108.0,24030.0,20,,186222.0,14,4,23,91911.0,7,67.0,16,20,20,91049.0,14325.0,183.0,13
0,20,39842.0,12843.0,16,1311517.0,140292.0,5,2,20,67388.0,9,58.0,10,16,16,57418.0,2276.0,166.0,10
0,16,27037.0,7834.0,13,10410.0,140602.0,11,2,18,58422.0,3,,4,13,13,40034.0,964.0,176.0,5
0,4,52038.0,20697.0,0,9866.0,156131.0,15,2,17,86630.0,5,68.0,11,0,0,68186.0,20584.0,180.0,0
0,3,,31598.0,14,,240123.0,0,2,16,361433.0,6,,24,14,14,148738.0,102733.0,183.0,13
0,12,65688.0,24926.0,9,465450.0,198937.0,4,2,24,95844.0,9,60.0,17,9,9,100412.0,58275.0,175.0,13
0,15,43387.0,14321.0,12,,140505.0,18,2,15,422366.0,0,60.0,8,12,12,24864.0,2977.0,173.0,11
