Languages,ProfileImage,WeightKg,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,FreebaseId,CyclingArchivesCyclistId
1,4,72.0,12,50824.0,18498.0,10,5,16154.0,187.0,5,138830,14,63841,6,58906
3,5,82.0,2,6679.0,2086.0,6,1,377.0,184.0,1,140786,10,22143,8,9414
6,3,,11,52673.0,19070.0,0,4,7639.0,178.0,4,137769,2,79921,13,71836
3,15,82.0,7,8424.0,6784.0,8,11,1007.0,188.0,11,140342,0,45024,9,18093
4,7,64.0,3,18673.0,4744.0,1,10,1864.0,175.0,10,140485,3,30730,7,22746
5,1,70.0,8,27587.0,8079.0,16,15,7871.0,178.0,15,140146,4,54970,0,36946
5,1,70.0,8,27587.0,8079.0,16,15,7871.0,178.0,15,140146,4,54970,0,36946
4,2,73.0,0,12542.0,10.0,11,0,179.0,184.0,0,140365,8,11372,4,3676
1,10,70.0,9,29720.0,10454.0,7,9,812.0,176.0,9,140453,5,55042,5,22193
2,0,58.0,13,47767.0,18714.0,4,3,16752.0,169.0,3,137724,12,68950,11,38737
6,14,77.0,1,12798.0,270.0,12,14,666.0,190.0,14,140619,7,14576,2,3926
4,12,,14,55639.0,20535.0,9,6,14791.0,181.0,6,160352,1,89125,13,73388
4,6,,16,65252.0,24151.0,14,7,27278.0,,7,179224,1,101658,13,95087
2,8,,10,47066.0,16881.0,3,13,2530.0,175.0,12,140633,15,59614,10,32178
1,11,,5,,12297.0,2,8,2364.0,,8,138877,9,34718,13,15290
0,16,70.0,15,54395.0,20730.0,15,16,18258.0,187.0,16,168961,6,75859,1,74709
6,13,,4,37518.0,10424.0,5,12,2182.0,172.0,13,140934,13,55735,12,32000
1,9,68.0,6,23014.0,7606.0,13,2,828.0,179.0,2,140501,11,45633,3,20340
