SportType,StageLabel,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,PreviousStage,StageNumber,StageClassificationLeader,GeneralClassificationLeader,StageDescription
1,6,196.3,164923.0,21,4,23,4,6,6,4,13,18,6
1,15,180.0,,12,20,19,9,11,17,2,10,5,5
1,7,200.4,164914.0,6,9,9,4,7,7,4,13,6,2
1,30,195.0,268395.0,8,20,20,17,27,35,0,11,15,7
1,5,878.3,150655.0,33,0,5,2,5,5,4,13,3,6
1,27,12.2,270408.0,2,18,18,16,24,27,1,9,14,2
1,13,167.0,,12,20,6,9,9,35,0,2,4,3
1,35,178.4,280808.0,17,20,8,21,29,30,3,4,16,2
1,24,198.0,247145.0,9,20,26,15,22,23,1,15,21,2
1,39,186.3,279710.0,27,19,17,25,34,33,1,8,13,2
1,10,185.9,170971.0,32,5,1,8,14,10,4,13,0,6
1,8,257.5,172294.0,11,16,27,5,8,8,4,13,22,6
1,42,169.8,171098.0,7,20,27,6,38,35,0,16,22,0
1,22,291.0,209918.0,20,7,15,14,21,19,4,13,11,6
1,26,222.6,270407.0,18,20,25,16,23,35,0,14,20,2
1,14,190.0,,12,20,7,9,10,16,1,3,4,4
1,9,198.3,170951.0,15,8,13,8,13,9,4,13,10,6
1,0,837.0,133071.0,29,0,31,0,0,0,4,13,25,6
1,38,32.2,279073.0,10,21,0,22,32,32,2,0,13,2
1,16,172.0,,12,17,29,9,12,18,3,17,5,1
1,23,156.5,218509.0,28,17,2,13,20,22,1,1,0,2
1,31,165.0,269684.0,22,20,17,18,40,35,0,8,13,2
1,20,181.0,,24,17,21,10,16,21,2,12,13,8
1,37,163.7,279072.0,4,20,16,22,31,31,1,7,12,2
1,4,196.0,,13,15,22,1,4,4,4,13,17,6
1,17,180.5,180813.0,25,2,32,12,39,13,4,13,26,6
1,3,877.0,138833.0,5,12,1,1,3,3,4,13,0,2
1,32,196.9,270514.0,31,6,28,20,30,25,4,13,23,6
1,29,167.3,270410.0,30,20,14,16,26,29,3,6,14,2
1,25,,270414.0,18,0,4,20,28,24,4,13,2,6
1,12,841.0,180567.0,12,1,7,11,40,12,4,13,5,6
1,34,,280812.0,0,0,16,24,36,26,4,13,12,6
1,41,147.0,168924.0,19,20,11,3,40,35,0,5,8,2
1,21,264.7,180844.0,1,13,24,12,19,15,4,13,19,6
1,11,267.5,179734.0,26,16,27,7,17,11,4,13,22,6
1,36,190.0,279692.0,34,3,3,23,37,35,4,13,1,2
1,18,291.0,180735.0,20,7,30,12,18,14,4,13,24,6
1,1,175.3,119991.0,16,11,10,0,1,1,4,13,7,2
0,33,194.1,,35,14,12,19,33,35,4,13,9,2
1,2,173.9,138490.0,16,10,17,1,2,2,4,13,13,2
1,19,149.0,,3,17,17,10,15,20,1,8,13,8
1,40,203.1,279711.0,14,20,17,25,35,34,2,8,13,2
1,28,239.3,270409.0,23,20,25,16,25,28,2,14,14,2
