Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1097,13,13,7,55,1
1,0,30308,52,52,6,10,27168
1,0,56857,121,121,2,19,54575
0,0,763,10,10,1,25,5
0,0,703218,19,19,8,26,701626
1,0,5286,79,79,2,29,4336
1,0,93861,98,98,2,50,92599
0,0,716461,48,48,6,51,713525
0,0,581462,111,111,5,24,578019
0,0,212280,147,147,8,31,211864
0,0,38881,132,132,2,59,36347
0,0,297517,78,78,6,87,294389
1,0,81368,21,21,2,83,80808
1,0,720,140,140,8,27,1
0,0,742903,101,101,2,76,741965
1,0,30302,0,0,2,86,29316
0,0,429068,82,82,6,85,425925
1,0,118859,96,96,2,35,115842
0,0,9728,41,41,6,40,6585
0,0,12029,46,46,8,88,11478
0,0,315827,125,125,6,79,312663
1,0,4234,75,75,2,45,3116
0,0,99546,109,109,2,27,97369
1,0,32123,58,58,2,51,29739
0,0,929052,123,123,2,86,925927
1,0,4123,88,88,5,1,1628
0,0,116617,55,55,6,44,113450
0,0,8113,64,64,2,90,5945
1,0,4229,137,137,6,52,1371
1,0,33235,7,7,8,78,30782
0,0,1206,16,16,8,87,1
0,0,789292,95,95,2,10,788021
1,0,53098,126,126,2,24,49949
1,0,99066,112,112,2,82,97825
0,0,318588,152,152,6,43,315535
0,0,1289,11,11,8,91,3
1,0,546,142,142,8,63,1
1,0,383983,5,5,2,60,383429
0,0,213521,148,148,2,51,212382
1,0,57661,43,43,2,57,55166
1,0,74545,150,150,2,68,72053
0,0,8781,27,27,2,49,5653
0,0,599,1,1,7,32,3
1,0,81855,145,145,6,14,78709
1,0,341238,28,28,2,73,338959
0,0,227216,76,76,8,69,225387
0,0,5181,104,104,2,88,4192
1,0,99079,53,53,2,3,97820
1,0,35758,6,6,7,78,35156
1,0,46653,85,85,2,17,44743
0,0,521345,24,24,6,56,518232
1,1,54155,57,57,6,38,50976
1,0,96937,120,120,2,62,96035
0,0,1771,20,20,8,17,5
0,0,9252,127,127,8,80,7177
1,0,1005,18,18,8,64,1
0,0,573456,47,47,2,31,572590
0,0,632799,50,50,6,69,629461
0,0,1017672,49,49,2,11,1015075
1,0,1291,14,14,8,92,11
1,0,55385,129,129,6,54,52233
0,0,6751,105,105,2,90,5450
1,0,3425,118,118,2,67,855
0,0,765509,37,37,6,75,762384
0,0,750258,9,9,7,70,748432
1,0,153763,102,102,5,53,151067
0,0,307836,151,151,8,43,304756
1,0,13944,62,62,5,0,11467
1,0,43791,70,70,6,78,40663
0,0,100486,54,54,2,46,98009
1,0,1126783,131,131,5,13,1124243
1,0,4790,124,124,6,20,1644
0,0,304,128,128,7,81,2
1,0,30678,114,114,7,42,29548
0,0,642289,107,107,6,49,639173
1,0,40231,110,110,7,15,38468
1,0,704,15,15,3,16,18
0,0,694715,134,134,2,34,691713
1,0,33620,84,84,6,68,30504
1,0,5807,130,130,2,34,3882
0,0,762911,103,103,2,34,760413
0,0,100844,33,33,7,71,99663
1,0,506465,71,71,2,41,504186
0,0,559272,80,80,6,54,556483
1,0,4270,36,36,5,84,1799
0,0,824374,63,63,2,34,822413
0,0,672501,86,86,2,86,670264
1,0,484,139,139,8,60,2
1,0,7065,68,68,2,74,6076
0,0,506906,99,99,0,87,503742
1,0,28960,2,2,2,86,27503
1,0,1651,93,93,2,14,830
0,0,302755,60,60,8,43,301802
0,0,1330,12,12,8,65,2
0,0,492209,23,23,2,82,489726
0,0,704396,17,17,8,46,703461
1,0,7840,67,67,2,8,6842
1,0,24175,38,38,6,18,21059
0,0,1482,106,106,2,44,1
0,0,3560,31,31,2,5,861
1,0,40333,119,119,6,23,37199
1,0,6322,45,45,6,18,3197
0,0,673825,81,81,2,73,670661
0,0,201983,146,146,2,51,197949
0,0,232598,154,154,2,31,230508
1,0,52289,83,83,6,9,48939
0,0,796646,61,61,2,10,794730
0,0,714709,100,100,2,73,711560
0,0,1815,92,92,2,52,1
1,0,11460,143,143,7,71,9091
0,0,767496,94,94,2,10,766105
1,0,341160,155,155,2,86,338881
0,0,135805,156,156,6,28,132644
0,0,326955,32,32,6,10,323962
1,0,2735,77,77,2,60,246
1,0,4884,51,51,2,72,1753
0,0,562767,59,59,6,57,559651
0,0,676357,29,29,2,93,675068
1,0,11360,90,90,6,44,8184
0,0,1011,8,8,8,38,1
0,0,7732,65,65,6,37,4595
0,0,696,115,115,7,80,1
1,0,552643,117,117,2,28,550361
0,0,225838,91,91,6,33,222980
1,0,5115,56,56,5,37,2545
0,0,296392,25,25,6,51,293633
