Gender,Biography,DeutscheBiographieGndId,Nationality,GndId,BirthDate,ViafId,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,Languages,Profession,Surname
1,95,106,7,,3,,74,4,152,49,3,51,61
0,44,103,4,143387561.0,120,166530058.0,63,138,125,36,0,44,3
1,103,106,4,,76,,34,74,62,26,0,27,0
1,51,106,4,142106712.0,159,159041652.0,42,164,83,96,0,46,4
1,82,3,8,100619495.0,60,42190586.0,55,69,102,110,3,55,54
1,77,101,4,143113143.0,13,160683012.0,57,13,114,84,0,58,64
1,24,39,4,117639508.0,54,57397547.0,19,59,35,89,0,47,10
1,57,44,5,118751409.0,12,12560960.0,14,15,23,115,2,51,48
0,82,17,7,1110200501.0,32,1.0514709500142508e+20,64,42,126,115,3,3,48
1,68,71,4,129581909.0,102,47845714.0,76,107,140,68,0,51,22
1,66,106,4,,152,,15,161,25,24,0,51,45
1,83,31,4,116931167.0,121,45066929.0,8,133,15,81,0,11,48
0,82,6,7,1023733773.0,110,250932109.0,49,117,89,115,3,3,48
1,82,106,7,1036522784.0,18,304769282.0,54,18,96,17,3,47,17
0,62,74,4,130087270.0,122,8483638.0,33,130,61,69,0,51,70
1,56,96,4,139104070.0,8,100412124.0,32,11,60,45,0,51,68
1,10,58,4,,153,265855080.0,46,158,87,66,0,7,19
1,82,83,7,,71,23364755.0,55,78,105,10,3,23,12
1,82,32,7,117008753.0,93,268346074.0,30,100,53,14,3,30,48
1,100,99,7,140069690.0,47,103378780.0,55,54,104,70,3,51,48
1,89,106,7,1220601217.0,73,1.1051604861724051e+21,51,77,91,115,3,9,48
1,82,19,7,1122583516.0,161,1.5731483908247108e+21,55,28,100,115,3,3,48
1,54,106,4,140586822.0,150,107266435.0,76,162,141,85,0,50,57
1,76,7,4,102475881.0,27,5319565.0,79,30,147,88,0,58,48
0,82,106,1,1013794982.0,144,172632189.0,7,149,14,111,0,5,58
1,67,9,4,1029793697.0,81,295136723.0,16,89,28,71,0,51,48
1,50,29,4,116874678.0,86,59847068.0,0,98,1,28,0,60,48
1,93,106,4,,67,,18,66,32,108,0,41,48
1,27,43,4,118731084.0,139,32092361.0,15,143,24,75,0,24,44
1,104,106,2,,109,,19,112,40,76,3,51,75
1,74,12,7,104099194.0,95,100899413.0,55,90,107,79,3,57,48
1,82,20,7,1126124672.0,161,3.1151488142981454e+21,78,34,144,115,3,33,13
1,33,94,4,138413576.0,7,89958197.0,8,8,16,112,0,28,60
1,20,68,4,128946660.0,17,37984815.0,26,17,48,33,0,20,48
1,55,97,4,,5,100444106.0,76,5,142,32,0,51,48
1,82,1,7,100207081.0,64,8315779.0,10,84,19,115,3,9,48
1,33,93,4,138019428.0,10,86172852.0,74,7,69,59,0,28,48
1,76,57,4,122981812.0,89,23037636.0,19,99,39,58,0,58,71
1,82,106,7,,35,4.969155769093928e+21,41,43,79,115,3,38,30
1,76,47,4,,41,69750866.0,38,49,73,50,0,58,48
1,12,22,4,,99,22883042.0,82,111,151,62,0,60,2
0,48,106,4,,158,,36,151,70,52,0,44,48
1,82,106,8,133676765.0,55,8.614929432658051e+19,9,61,17,6,3,37,73
1,76,35,4,117330736.0,16,50000344.0,65,19,42,56,0,58,48
1,33,106,4,104299959.0,69,7819312.0,89,83,163,72,0,28,59
1,79,106,4,,160,,44,157,85,115,0,59,41
1,82,106,4,1241047510.0,43,2.3391632114921075e+21,37,50,72,47,0,3,48
1,86,106,7,,82,,55,94,103,115,3,37,48
1,65,106,4,,149,,83,153,153,31,0,51,48
1,82,64,4,124622313.0,33,62486488.0,68,37,130,15,0,57,48
