Gender,Biography,DeutscheBiographieGndId,Nationality,GndId,BirthDate,ViafId,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,Languages,Profession,Surname
1,169,214,9,140323287.0,325,103851507.0,192,298,399,262,2,12,142
1,169,204,9,138715688.0,62,90974937.0,111,67,222,253,2,18,61
1,169,223,11,,76,,45,82,85,262,4,105,162
0,169,223,2,,330,,21,298,35,262,2,105,142
1,19,223,5,132712415.0,372,8555103.0,159,298,359,10,1,128,114
0,46,223,5,,301,31603120.0,184,284,385,140,1,32,115
1,169,223,5,131549561.0,284,45437572.0,159,298,171,262,2,136,142
1,169,223,9,,173,,149,200,316,262,2,5,157
1,169,223,5,,252,,25,234,40,65,2,53,163
1,120,223,5,,228,,31,236,50,262,1,105,128
1,169,223,9,,408,,40,298,73,52,2,72,142
1,169,223,0,,128,,78,139,158,226,2,25,142
1,169,189,9,136270190.0,89,80644016.0,17,86,28,262,2,0,142
0,169,135,5,120856085.0,303,69770565.0,33,298,53,14,1,29,180
1,27,223,5,1140505718.0,279,56653203.0,179,287,379,250,1,145,142
0,157,223,5,,396,,13,298,22,67,1,142,107
1,184,223,11,,51,,112,58,226,262,4,105,202
1,82,103,5,116982241.0,154,67231215.0,131,169,282,262,2,86,212
1,169,223,11,,58,,112,79,223,262,2,144,92
1,199,21,9,1025178017.0,165,254913521.0,164,298,353,262,2,96,203
1,72,41,5,1047575264.0,242,17663622.0,198,255,407,131,1,66,99
1,76,9,5,1016621280.0,200,247466402.0,34,232,57,232,1,68,170
1,169,1,5,100668046.0,80,266492109.0,94,83,184,135,1,99,142
1,121,223,5,125576439.0,232,2.1614554270609664e+20,94,247,192,132,1,105,142
1,158,223,2,,361,,191,298,397,53,2,143,142
1,7,172,2,130483028.0,283,23248035.0,80,298,160,73,2,105,196
1,169,65,9,1113128933.0,411,2.9061473734083415e+21,159,35,197,262,2,5,142
1,169,223,9,,109,,163,115,345,198,2,68,42
0,169,223,5,,376,,152,298,319,202,1,5,200
1,169,223,9,,308,39444017.0,139,298,292,262,2,5,101
1,111,205,2,138774242.0,338,311095811.0,47,298,87,262,1,45,5
1,192,223,9,,348,,195,298,404,262,2,14,142
1,24,223,5,,337,,24,298,39,200,1,14,199
1,169,223,5,,175,300198931.0,159,298,196,262,2,96,142
0,197,223,9,,219,,129,197,279,262,2,5,149
1,192,223,2,,329,223130752.0,89,298,177,33,2,14,163
1,169,223,2,123988314.0,302,311418131.0,159,281,92,262,2,136,142
0,93,223,5,1131673085.0,322,4.0601494891546935e+21,177,298,375,43,1,93,142
1,170,91,3,116527714.0,155,52443968.0,61,168,108,262,1,136,72
1,169,61,9,,194,1.0814500381396133e+20,197,298,406,262,2,93,142
1,103,102,5,116874678.0,104,59847068.0,1,121,1,101,1,145,142
1,193,223,2,,380,,187,298,391,37,2,52,142
1,202,188,9,136070884.0,7,80477533.0,111,14,220,115,2,105,142
1,48,184,5,134996763.0,369,79902392.0,127,298,262,86,1,37,142
