profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,memoire_du_cyclisme_cyclist_id,birthplace,uci_rider_id,languages,weight_kg,birth_date,sports_team,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id
0,12,3083,3366.0,10,24074.0,140270,10,2372.0,7,30329,2,63.0,1,2,132502.0,2,10,15181,568,1,175,11
1,0,28095,12823.0,9,,137337,9,45429.0,0,58891,2,71.0,8,1,123794.0,5,9,34412,2322,7,182,3
1,8,39287,13240.0,4,66281.0,140835,4,10495.0,5,55029,4,67.0,5,5,122451.0,13,4,21075,1310,7,178,8
0,14,41885,13080.0,11,142323.0,140628,11,54334.0,6,64737,3,65.0,9,4,,11,11,58535,860,5,180,6
0,10,60759,22794.0,5,37069.0,168760,5,,1,86857,0,61.0,14,6,,9,5,81087,1527,4,177,14
0,15,54395,20730.0,14,252749.0,168961,14,,4,75859,1,70.0,13,0,141009.0,14,14,74709,18258,4,187,1
0,4,53630,19651.0,3,40766.0,168753,3,,14,78094,2,61.0,12,10,,6,3,71432,16573,2,165,5
0,7,41095,10467.0,6,8374.0,140713,6,29273.0,10,58657,1,77.0,7,9,,10,6,36298,1276,7,185,13
0,1,30118,9773.0,2,36240.0,140157,2,39905.0,8,54875,5,68.0,6,2,,8,2,43137,2336,6,182,7
0,13,69327,,15,,205901,15,,2,112276,6,,15,3,,12,15,96911,46625,7,179,14
0,9,3827,4557.0,12,120363.0,140194,12,2988.0,13,48167,5,69.0,2,7,,3,12,25237,1783,7,179,4
0,3,41075,10536.0,1,8232.0,140489,1,42346.0,9,60455,3,68.0,3,4,,10,1,46549,948,6,183,10
0,11,19478,7838.0,13,63706.0,140805,13,5661.0,3,44337,3,69.0,4,7,125021.0,7,13,19062,918,0,180,2
0,5,47066,16881.0,8,41605.0,140633,8,47478.0,15,59614,3,,10,4,,1,8,32178,2530,7,175,9
0,2,46381,18610.0,7,77168.0,137427,7,56596.0,11,71557,3,62.0,11,8,133837.0,0,7,63999,12474,3,173,0
1,6,28995,7268.0,0,14079.0,140230,0,,12,30942,4,67.0,0,1,134605.0,4,0,36522,3103,6,181,12
