profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,memoire_du_cyclisme_cyclist_id,birthplace,uci_rider_id,languages,weight_kg,birth_date,sports_team,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id
0,19,52670.0,19335.0,17,16028.0,137764,17,58542.0,21,79919,6,69.0,12,17,142504.0,11,17,61303,7640.0,9,184.0,4
0,9,49026.0,17994.0,2,29268.0,137768,2,55924.0,20,75120,6,68.0,20,3,,21,2,61718,7781.0,4,186.0,20
0,4,16289.0,5.0,0,470645.0,140924,0,19443.0,13,14575,3,61.0,0,10,103634.0,20,0,7005,38.0,12,177.0,7
0,11,18029.0,586.0,19,,140523,19,20656.0,7,22049,3,68.0,1,18,,23,19,9201,300.0,13,186.0,9
0,16,,3558.0,11,,140620,12,,12,45449,6,,3,0,,15,12,20074,2297.0,13,178.0,15
0,21,3827.0,4557.0,24,120363.0,140194,24,2988.0,22,48167,3,69.0,5,12,,6,24,25237,1783.0,13,179.0,8
0,5,43386.0,14310.0,20,35954.0,140509,20,43346.0,23,53804,4,62.0,8,14,135495.0,14,20,36343,3991.0,1,173.0,13
0,24,49154.0,16941.0,5,300070.0,140071,5,55236.0,1,75873,6,54.0,9,21,133264.0,5,5,39969,3213.0,13,164.0,17
0,12,55290.0,19231.0,1,5214.0,133759,1,,18,68796,3,75.0,16,22,133033.0,9,1,54516,6260.0,14,190.0,2
0,20,26009.0,12193.0,18,1940308.0,140797,18,9096.0,25,54603,5,78.0,10,7,125137.0,18,18,30229,784.0,0,184.0,10
0,13,420.0,2023.0,6,,140422,6,327.0,6,32099,6,63.0,2,17,,12,6,14358,18.0,13,173.0,11
0,3,63319.0,23886.0,14,,183449,15,,4,99903,0,,23,16,146430.0,8,15,97393,44340.0,8,177.0,21
0,23,20140.0,6829.0,23,,140704,23,,10,57085,3,71.0,4,12,,16,23,20733,2503.0,13,190.0,18
0,7,,23361.0,10,,178987,11,,16,98171,3,78.0,24,19,,24,11,101547,38164.0,10,189.0,21
0,15,54557.0,16893.0,3,4175.0,135016,3,,11,87008,2,66.0,15,8,,22,3,73006,14126.0,2,182.0,0
0,6,60850.0,,7,,184787,8,,5,94843,3,62.0,21,2,,4,8,83533,,11,164.0,21
0,25,51513.0,17627.0,25,69964.0,135523,25,56613.0,8,78566,1,60.0,17,4,133843.0,2,25,60103,6104.0,3,183.0,19
1,8,49095.0,18487.0,4,,137599,4,65045.0,17,65648,3,58.0,14,1,132351.0,19,4,45553,9451.0,7,173.0,3
0,10,56210.0,20760.0,12,,132426,13,,24,86759,3,,22,9,145691.0,13,13,65954,16807.0,11,187.0,5
1,1,28095.0,12823.0,21,,137337,21,45429.0,0,58891,0,71.0,11,5,123794.0,7,21,34412,2322.0,13,182.0,6
0,2,46381.0,18610.0,8,77168.0,137427,9,56596.0,19,71557,1,62.0,19,20,133837.0,0,9,63999,12474.0,5,173.0,1
0,18,,27598.0,16,,196190,7,,3,147399,6,,25,15,,16,7,88447,37388.0,11,,21
0,0,43294.0,13435.0,13,,140237,14,55143.0,15,69190,2,,6,13,,17,14,60742,2539.0,2,,14
0,22,41886.0,13566.0,22,128269.0,140495,22,46784.0,2,64917,1,65.0,13,6,133840.0,1,22,53957,2275.0,6,184.0,16
0,17,29248.0,9372.0,15,6184.0,140627,16,54997.0,9,61448,1,60.0,7,23,,10,16,40437,3044.0,13,176.0,12
0,14,65180.0,23357.0,9,11187.0,135597,10,,14,100349,1,60.0,18,11,,3,10,94232,17182.0,9,176.0,21
