Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Biography,Nationality,BirthPlace,UciRiderId,WeightKg,BirthDate,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
6,9,92920.0,31654.0,5,20671.0,240140,5,7,5,1,415141,,11,5,7,140379,114659.0,183.0
6,5,73302.0,27024.0,3,,209345,3,1,0,6,573361,56.0,6,3,4,140376,77970.0,164.0
5,2,69634.0,26526.0,11,5000.0,194619,11,6,4,7,149727,66.0,7,11,1,115790,45992.0,176.0
6,7,70041.0,27132.0,6,,198315,6,7,5,8,153513,,4,6,3,138346,54660.0,170.0
2,1,46381.0,18610.0,7,77168.0,137427,7,2,1,9,71557,62.0,0,7,9,63999,12474.0,173.0
2,3,,,1,,242423,1,3,1,5,667300,,10,1,8,148733,112241.0,
0,10,61775.0,23299.0,9,23252.0,164709,9,7,5,10,89223,68.0,2,9,9,72207,25726.0,186.0
3,6,,25165.0,4,,189109,4,4,2,0,109668,,5,4,2,104920,38803.0,181.0
4,11,71935.0,28298.0,0,,192457,0,5,3,3,98774,66.0,8,0,5,114071,45987.0,176.0
2,8,85961.0,31264.0,8,,219158,8,3,1,2,672076,,9,8,6,154492,99667.0,176.0
1,0,49682.0,17893.0,10,39580.0,134456,10,0,6,4,553301,58.0,1,10,9,65130,6242.0,172.0
6,4,65688.0,24926.0,2,465450.0,198937,2,1,0,11,95844,60.0,3,2,0,100412,58275.0,175.0
