SPORT_TYPE,FREEBASE_ID,OFFICIAL_WEBSITE,COMMONS_CATEGORY
1,7,22,5
1,19,2,25
1,19,17,4
1,13,3,20
1,19,0,13
1,19,12,4
1,19,0,4
1,14,8,7
0,16,0,0
0,16,0,0
1,19,0,14
1,19,0,13
1,19,2,23
1,14,8,7
1,19,0,4
1,9,2,18
1,19,10,10
1,12,1,19
1,19,0,4
1,11,14,4
1,19,11,4
1,19,0,13
1,8,0,4
1,2,0,9
1,14,8,7
1,19,0,4
1,17,9,8
1,19,23,11
1,5,21,16
1,19,22,12
1,12,1,19
1,0,2,21
1,19,0,14
1,10,0,17
1,19,23,11
1,15,18,3
1,19,7,1
1,19,2,25
1,19,0,4
1,13,3,20
1,19,5,24
1,1,16,4
1,13,3,20
1,12,1,19
1,19,2,25
1,3,4,22
1,15,18,3
1,19,23,11
1,0,2,21
1,19,10,10
1,5,21,16
1,7,22,5
1,9,2,18
1,19,0,4
1,19,5,24
1,19,13,4
1,7,22,5
1,12,1,19
1,2,0,9
1,4,19,2
1,19,0,4
1,19,0,13
1,19,0,4
1,5,21,16
1,14,8,7
1,19,0,4
1,18,16,4
1,10,0,17
1,19,2,23
1,7,22,5
1,19,0,15
1,19,0,13
1,5,21,16
1,19,20,26
1,9,2,18
1,19,12,4
1,19,22,12
1,6,6,6
1,4,19,2
1,19,20,27
1,19,15,4
1,13,3,20
1,19,12,4
1,19,20,26
1,19,10,10
1,17,9,8
1,2,0,9
1,19,22,12
