SPORT_TYPE,FREEBASE_ID,OFFICIAL_WEBSITE,COMMONS_CATEGORY
5,30,11,28
3,2,0,22
0,25,15,36
3,21,1,1
2,12,0,18
2,8,5,6
3,18,9,24
3,33,0,14
4,32,19,23
5,31,0,0
3,10,6,7
2,13,20,13
5,5,7,12
3,33,17,15
3,9,0,29
1,20,0,5
3,17,13,31
3,6,0,16
1,0,8,17
3,10,6,7
3,16,0,34
3,10,6,7
3,28,0,26
3,17,13,31
5,5,7,12
3,18,9,24
3,11,18,9
3,15,4,2
5,4,2,32
0,33,0,3
3,33,0,27
3,24,0,21
5,1,12,30
3,29,16,11
5,30,11,28
3,15,4,2
0,27,0,35
3,23,0,4
5,31,0,0
3,7,0,19
3,33,17,15
3,33,0,10
0,27,0,35
3,22,3,37
3,3,0,20
3,33,0,10
3,3,0,20
3,9,0,29
3,19,14,33
0,25,15,36
2,8,5,6
4,32,19,23
3,26,0,8
4,32,19,23
5,14,10,25
5,5,7,12
