SPORT_TYPE,NATIONALITY,PROFILE_IMAGE,WEIGHT_KG,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,CYCLING_ARCHIVES_CYCLIST_ID
2,9,13,78.0,2,26009.0,12193.0,15,11,784.0,184.0,11,11,140797,20,54603,3,30229
3,6,10,,8,55639.0,20535.0,9,3,14791.0,181.0,3,4,160352,3,89125,6,73388
3,3,6,62.0,5,60850.0,,1,5,,164.0,6,0,184787,5,94843,6,83533
3,8,8,,15,68345.0,25600.0,13,0,37264.0,183.0,0,0,186245,11,94362,6,90733
3,11,4,,18,72512.0,30035.0,17,2,76709.0,188.0,2,3,208540,2,238213,6,136662
2,9,13,78.0,2,26009.0,12193.0,15,11,784.0,184.0,11,11,140797,20,54603,3,30229
0,7,19,74.0,3,27348.0,16688.0,18,20,,180.0,20,0,139704,17,62555,0,35630
4,10,2,83.0,9,47589.0,20960.0,8,17,16724.0,193.0,17,15,158017,18,74994,1,65329
3,6,1,67.0,1,14093.0,5098.0,11,15,1579.0,180.0,15,0,140811,7,46139,5,20001
3,7,3,,19,82827.0,30643.0,7,9,97547.0,184.0,9,10,217465,14,227110,6,151350
3,2,5,54.0,14,,25026.0,6,16,58639.0,163.0,16,14,198985,12,109855,6,109700
1,1,9,74.0,4,47965.0,17988.0,10,18,8377.0,1.85,18,8,138125,19,70962,6,64279
3,0,20,,12,86654.0,29568.0,13,7,88703.0,184.0,5,6,235390,15,148689,6,154976
3,1,14,62.0,17,83295.0,28377.0,2,12,84019.0,171.0,12,12,212377,0,587366,6,141854
3,6,17,65.0,0,11585.0,1994.0,12,19,133.0,181.0,19,16,140778,13,28378,4,13069
3,4,18,,20,,32766.0,5,14,126678.0,177.0,14,2,262232,4,685146,6,155297
3,3,16,62.0,6,57472.0,21342.0,13,13,23097.0,170.0,13,13,178184,8,91656,6,66785
3,5,7,78.0,10,56436.0,20917.0,0,10,9746.0,180.0,10,1,156570,10,77380,6,71706
4,5,0,73.0,13,65826.0,25081.0,16,4,47830.0,187.0,4,5,196961,16,92315,6,107521
3,0,11,76.0,16,71992.0,26637.0,4,6,61988.0,176.0,7,7,201838,9,111683,6,125323
4,5,12,80.0,11,56208.0,20847.0,14,8,18260.0,192.0,8,9,155529,6,87226,6,72934
0,7,15,70.0,7,51744.0,19238.0,3,1,7720.0,177.0,1,0,138396,1,72932,2,66031
