SPORT_TYPE,NATIONALITY,PROFILE_IMAGE,WEIGHT_KG,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,INSTAGRAM_HANDLE,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,CYCLING_ARCHIVES_CYCLIST_ID
3,1,6,78.0,5,40974.0,13220,2,6,1966,183.0,6,0,140657,4,48194,5,18001
3,3,7,67.0,3,39287.0,13240,8,5,1310,178.0,5,1,140835,1,55029,3,21075
2,5,1,78.0,1,8760.0,4179,4,0,406,181.0,0,2,140749,7,32691,2,19407
0,5,5,76.0,0,6978.0,4377,3,4,31,181.0,4,0,140865,5,198213,1,18964
2,4,4,,9,,21930,0,3,31208,194.0,3,0,171075,9,94033,9,89029
0,0,9,70.0,2,49569.0,16438,9,9,7900,180.0,9,0,137352,8,67841,6,67531
3,2,0,58.0,7,47767.0,18714,1,2,16752,169.0,2,0,137724,6,68950,4,38737
1,6,3,,8,,21238,5,8,16811,178.0,8,0,132431,2,79514,0,80578
3,2,2,64.0,6,47153.0,16853,7,1,6515,,1,0,140094,3,64665,8,49227
1,3,8,74.0,4,29396.0,13270,6,7,3933,179.0,7,3,140415,0,47742,7,24871
