Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1097,13,13,7,56,1,0
0,30308,53,53,6,10,27168,1
1,56857,122,122,2,19,54575,1
0,763,10,10,1,25,5,0
0,703218,19,19,8,27,701626,0
1,5286,82,82,2,30,4336,1
1,93861,100,100,2,51,92599,1
0,716461,49,49,6,52,713525,0
0,581462,112,112,5,24,578019,0
0,212280,148,148,8,32,211864,0
1,38881,133,133,2,60,36347,0
0,297517,81,81,6,88,294389,0
1,81368,21,21,2,84,80808,1
0,720,141,141,8,28,1,1
0,666404,22,22,8,26,665952,0
1,30302,0,0,2,87,29316,1
1,5807,131,131,2,35,3882,1
1,118859,98,98,2,36,115842,1
0,9728,42,42,6,41,6585,0
0,12029,47,47,8,89,11478,0
0,315827,126,126,6,80,312663,0
1,4234,78,78,2,46,3116,1
1,99546,110,110,2,28,97369,0
1,32123,59,59,2,52,29739,1
1,929052,124,124,2,87,925927,0
0,4123,90,90,5,1,1628,1
0,116617,56,56,6,45,113450,0
1,8113,65,65,2,91,5945,0
0,4229,138,138,6,53,1371,1
0,33235,7,7,8,79,30782,1
0,1206,16,16,8,88,1,0
1,789292,97,97,2,10,788021,0
1,53098,127,127,2,24,49949,1
1,99066,113,113,2,83,97825,1
0,318588,153,153,6,44,315535,0
0,1289,11,11,8,92,3,0
0,546,143,143,8,64,1,1
1,383983,5,5,2,61,383429,1
1,213521,149,149,2,52,212382,0
1,57661,44,44,2,58,55166,1
1,74545,151,151,2,69,72053,1
1,8781,28,28,2,50,5653,0
0,599,1,1,7,33,3,0
0,81855,146,146,6,14,78709,1
1,341238,29,29,2,74,338959,1
0,227216,79,79,8,70,225387,0
1,5181,105,105,2,89,4192,0
1,99079,54,54,2,3,97820,1
0,35758,6,6,7,79,35156,1
1,46653,88,88,2,17,44743,1
0,521345,25,25,6,57,518232,0
0,54155,58,58,6,39,50976,1
1,96937,121,121,2,63,96035,1
0,1771,20,20,8,17,5,0
0,9252,128,128,8,81,7177,0
0,1005,18,18,8,65,1,1
1,573456,48,48,2,32,572590,0
0,632799,51,51,6,70,629461,0
1,1017672,50,50,2,11,1015075,0
0,1291,14,14,8,93,11,1
0,55385,130,130,6,55,52233,1
1,6751,106,106,2,91,5450,0
1,3425,119,119,2,68,855,1
0,68231,99,99,6,75,65097,1
0,750258,9,9,7,71,748432,0
0,153763,103,103,5,54,151067,1
0,307836,152,152,8,44,304756,0
