SportType,OfficialWebsite,CommonsCategory
1,50,40
1,34,39
1,15,15
1,38,35
1,20,35
1,0,35
1,24,46
1,19,34
1,51,53
1,9,2
1,58,35
1,55,17
1,17,48
1,69,29
1,18,25
1,62,35
1,26,35
1,43,36
1,11,5
1,27,27
1,7,58
1,21,31
1,35,55
1,33,49
1,5,45
1,16,20
1,0,35
1,63,43
1,63,43
1,36,60
1,38,35
1,62,35
1,21,31
1,48,51
1,58,35
1,63,43
1,28,38
1,22,32
1,43,36
1,21,31
1,22,32
1,5,45
1,2,35
1,24,46
1,41,22
1,32,35
1,17,48
1,35,55
1,0,35
1,64,35
1,37,57
1,25,24
1,63,43
1,43,36
1,9,2
1,19,34
1,61,54
1,57,41
1,52,59
1,26,35
1,35,55
1,63,43
1,19,34
1,24,46
1,62,35
1,55,17
1,31,35
1,65,52
1,28,38
1,67,56
1,60,42
1,44,30
1,61,54
1,0,35
1,57,41
1,47,50
1,16,20
1,24,46
1,0,35
1,0,47
1,7,58
1,34,39
1,11,5
1,21,31
1,41,22
1,55,17
1,65,52
1,58,35
1,56,13
1,51,53
1,49,1
1,0,35
1,60,42
1,10,28
1,68,35
1,23,35
1,20,35
1,54,7
1,51,53
1,55,17
0,66,35
1,0,35
1,62,35
1,0,37
1,21,31
1,0,8
1,8,3
1,34,39
1,7,58
1,40,11
1,30,12
1,45,35
1,65,52
1,42,14
1,0,35
1,29,4
1,48,51
1,11,5
1,60,42
1,12,9
1,47,50
1,16,20
1,38,35
1,55,17
1,34,39
1,19,34
1,49,1
1,48,51
1,4,35
1,53,0
1,10,28
1,14,18
1,59,6
1,11,5
1,0,35
1,9,2
1,31,35
1,6,26
1,39,10
1,46,44
1,56,13
1,46,44
1,0,33
1,23,35
1,59,6
1,0,35
1,61,54
1,7,58
1,48,51
1,10,28
1,0,37
1,0,23
1,13,16
1,17,48
1,55,17
1,31,35
1,47,50
1,16,20
1,3,19
1,49,1
1,0,35
1,64,35
1,63,43
1,56,13
1,14,18
1,42,14
1,43,36
1,20,35
1,27,27
1,52,59
1,18,25
1,0,35
1,23,35
1,1,21
1,62,35
1,49,1
1,0,35
1,60,42
1,2,35
1,59,6
