CyclingSport,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,TwitterUsername,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline,SportCountry
2,4,69978.0,26420.0,1,1,,198040,1,8,5,1,500320.0,0,,19,,4,1,70760,53723,10,177.0,0,8
2,13,57092.0,21128.0,7,7,3162.0,162969,7,3,14,10,76315.0,2,64.0,12,140884.0,8,7,76333,16578,7,180.0,0,1
2,8,50317.0,18455.0,11,0,2094.0,138294,0,17,0,4,68778.0,8,70.0,8,1303548.0,5,0,61900,6230,3,175.0,2,7
4,10,39287.0,13240.0,6,6,66281.0,140835,6,16,12,13,55029.0,8,67.0,0,122451.0,20,6,21075,1310,13,178.0,3,6
2,12,,21504.0,15,15,2276.0,132346,15,14,4,22,86696.0,7,71.0,11,,10,15,72663,16817,13,183.0,2,8
2,17,46998.0,16666.0,21,21,22458.0,140492,21,15,18,8,64680.0,8,71.0,4,,3,21,48356,2338,1,176.0,2,6
2,19,57472.0,21342.0,18,18,317302.0,178184,18,11,7,9,91656.0,8,62.0,10,142266.0,10,18,66785,23097,12,170.0,2,5
2,14,58116.0,22910.0,17,19,15237.0,170625,19,12,16,7,99713.0,11,78.0,14,142862.0,10,19,81488,27111,2,186.0,2,8
1,22,66570.0,27708.0,23,23,,202331,23,5,8,15,109775.0,8,58.0,20,143137.0,12,23,119805,65025,10,170.0,1,10
2,20,39842.0,12843.0,14,13,1311517.0,140292,13,7,3,20,67388.0,5,58.0,3,141955.0,14,13,57418,2276,0,166.0,2,3
2,6,38255.0,16936.0,0,12,,133702,12,15,5,2,58398.0,8,,5,,2,12,52226,6227,10,184.0,0,6
2,1,89309.0,29699.0,19,20,,211947,20,6,5,3,353375.0,12,,21,,0,20,144923,81835,9,174.0,0,3
1,11,49621.0,18313.0,10,10,3871.0,133720,10,2,6,21,70623.0,4,70.0,7,,13,10,57216,8388,7,182.0,2,1
2,9,69190.0,25740.0,9,9,,196424,9,9,9,11,112082.0,8,,17,,19,9,115868,38195,10,175.0,2,4
2,0,83296.0,29828.0,8,8,,208539,8,4,5,14,165041.0,3,63.0,23,,21,8,113260,76474,10,171.0,0,2
2,7,65453.0,26508.0,4,4,,195739,4,0,5,16,150923.0,1,69.0,18,147406.0,7,4,113772,48539,10,183.0,2,11
2,18,,24346.0,22,22,,179111,22,21,5,0,100931.0,8,,16,,22,22,107949,37376,8,183.0,2,8
2,5,,,2,2,,242423,2,13,1,6,667300.0,8,,24,,18,2,148733,112241,11,,0,8
2,21,,22744.0,20,14,1543.0,132419,14,1,15,5,747569.0,6,68.0,13,,16,14,70980,16576,13,180.0,0,0
3,16,56041.0,20719.0,16,16,127549.0,174582,16,20,17,19,88889.0,9,65.0,2,135863.0,15,16,72449,18655,6,177.0,0,8
2,3,52879.0,19448.0,12,11,15757.0,132428,11,10,2,17,73817.0,8,,9,1303134.0,9,11,71390,7695,5,184.0,0,8
2,24,58050.0,20184.0,0,24,,135591,24,4,5,23,89133.0,13,72.5,6,,1,24,71225,19274,13,173.0,2,2
0,23,70754.0,29492.0,5,5,,227948,5,18,11,12,236644.0,8,,22,145783.0,17,5,134569,82572,10,173.0,3,8
2,15,63024.0,23763.0,3,3,2760.0,193292,3,1,10,18,97805.0,8,66.0,15,,11,3,108136,42186,4,188.0,0,8
2,2,43386.0,14310.0,13,17,35954.0,140509,17,19,13,24,53804.0,10,62.0,1,135495.0,6,17,36343,3991,0,173.0,2,9
