Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,TeamAffiliation,Birthplace,UciRiderId,WeightKg,Birthdate,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,CyclingDiscipline
1,29,27794.0,12923.0,32,18,156620.0,140821.0,32,12,34,26,11,58528.0,65.0,14,27,36053.0,2961.0,176.0,21,3
1,42,61775.0,23299.0,25,35,23252.0,164709.0,25,14,43,23,44,89223.0,68.0,24,22,72207.0,25726.0,186.0,7,3
1,13,,31634.0,8,11,,262718.0,8,6,32,9,34,112281.0,,39,7,170457.0,57961.0,184.0,30,3
2,20,19255.0,3891.0,13,0,508772.0,140196.0,13,16,9,16,8,32532.0,71.0,6,11,11292.0,716.0,183.0,11,5
1,1,47885.0,18123.0,30,39,21399.0,139801.0,30,10,18,32,46,68832.0,71.0,17,26,58401.0,6309.0,179.0,3,3
1,36,83295.0,28377.0,40,32,84000.0,212377.0,40,1,7,26,0,587366.0,62.0,44,36,141854.0,84019.0,171.0,30,3
1,46,41885.0,13080.0,44,37,142323.0,140628.0,44,6,25,13,26,64737.0,65.0,13,40,58535.0,860.0,180.0,19,3
1,17,19630.0,10023.0,11,0,28543.0,140233.0,11,8,5,34,9,54679.0,61.0,9,9,22431.0,794.0,175.0,14,3
1,31,56938.0,20257.0,31,0,17205.0,167585.0,31,2,42,10,13,86480.0,64.0,7,26,81851.0,16569.0,175.0,5,3
1,9,11009.0,5139.0,4,6,188233.0,140904.0,4,11,2,19,15,55131.0,65.0,8,3,27924.0,581.0,183.0,13,0
1,44,66570.0,27708.0,45,38,,202331.0,45,16,26,35,24,109775.0,58.0,43,41,119805.0,65025.0,170.0,30,1
1,38,52529.0,19274.0,16,15,7809.0,141312.0,16,1,12,29,4,73573.0,68.0,25,14,57052.0,9042.0,178.0,27,5
1,22,505.0,7.0,20,0,3077244.0,126972.0,20,17,35,22,36,,71.0,0,18,300.0,2.0,177.0,22,3
1,7,,23403.0,15,0,6736.0,182517.0,15,16,11,35,18,99665.0,58.0,33,13,95077.0,27295.0,173.0,30,3
1,0,3262.0,387.0,1,1,1397142.0,137456.0,1,14,29,32,28,518429.0,62.0,2,0,1567.0,3.0,176.0,20,3
1,45,54848.0,20156.0,38,27,12312.0,132359.0,38,6,38,8,39,86812.0,64.0,22,34,67163.0,15752.0,180.0,8,3
1,32,54668.0,21392.0,35,26,18425.0,135315.0,35,1,21,15,32,93654.0,71.0,15,31,77634.0,22682.0,184.0,10,3
2,20,19255.0,3891.0,13,0,508772.0,140196.0,13,16,9,16,8,32532.0,71.0,6,11,11292.0,716.0,183.0,11,5
1,34,39004.0,,36,28,47028.0,138497.0,36,6,8,20,38,66298.0,,18,32,60878.0,89540.0,,25,2
1,43,49272.0,17881.0,37,30,13864.0,140294.0,37,14,22,11,14,76092.0,56.0,12,33,38092.0,4863.0,169.0,26,3
1,33,58116.0,22910.0,42,33,15237.0,170625.0,42,6,39,18,12,99713.0,78.0,31,38,81488.0,27111.0,186.0,30,3
1,39,52044.0,20798.0,28,23,9184.0,132438.0,28,7,16,18,6,86938.0,70.0,26,25,71789.0,16643.0,183.0,30,3
1,28,,20784.0,29,0,10912.0,172104.0,29,5,17,24,3,88551.0,58.0,27,30,83510.0,18117.0,173.0,2,3
1,5,69634.0,26526.0,43,36,5000.0,194619.0,43,13,24,21,19,149727.0,66.0,42,39,115790.0,45992.0,176.0,30,3
1,37,30026.0,7147.0,41,34,140921.0,140611.0,41,0,40,5,23,57601.0,62.0,3,37,32008.0,563.0,172.0,18,3
1,30,61866.0,23334.0,33,24,160840.0,185156.0,33,3,23,2,33,97634.0,65.0,28,28,100717.0,35077.0,170.0,6,3
1,11,22663.0,5789.0,6,9,1529344.0,140869.0,6,9,31,16,30,43936.0,69.0,5,6,22017.0,713.0,186.0,15,3
1,25,65227.0,26509.0,24,0,,194909.0,24,15,20,3,7,111440.0,57.0,41,22,99609.0,46163.0,173.0,30,3
1,10,62255.0,24189.0,5,7,5751.0,187231.0,5,6,3,8,10,79522.0,64.0,32,4,82930.0,34011.0,176.0,30,3
