Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,TeamAffiliation,Birthplace,UciRiderId,WeightKg,Birthdate,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,CyclingDiscipline
1,21,27794.0,12923.0,22,10,156620.0,140821,24,12,20,26,8,58528,65.0,9,21,36053,2961,176.0,14,2
1,7,,24103.0,16,0,,188233,17,15,10,18,13,430450,,22,15,98110,45106,177.0,20,2
1,18,49621.0,18313.0,19,11,3871.0,133720,20,1,11,7,31,70623,70.0,13,18,57216,8388,182.0,8,1
1,31,66570.0,27708.0,32,22,,202331,34,17,15,30,18,109775,58.0,33,32,119805,65025,170.0,20,1
1,12,,17940.0,11,15,4499.0,138871,12,14,12,28,15,507857,59.0,15,11,60701,6538,172.0,0,2
1,10,50317.0,18455.0,1,12,2094.0,138294,1,9,1,4,4,68778,70.0,16,1,61900,6230,175.0,18,2
1,22,64739.0,,7,0,,188088,7,15,10,10,10,86932,60.0,24,7,96302,16947,177.0,20,2
1,30,47214.0,16722.0,33,21,34792.0,140674,35,2,14,22,26,64531,71.0,12,33,52973,6228,183.0,17,0
1,1,,25026.0,31,20,31358.0,198985,33,3,7,23,21,109855,54.0,31,31,109700,58639,163.0,20,2
1,7,,24103.0,16,0,,188233,17,15,10,18,13,430450,,22,15,98110,45106,177.0,20,2
0,20,48143.0,21971.0,21,13,205449.0,168754,22,10,21,1,14,79462,,23,20,64280,16672,184.0,19,1
1,13,39897.0,12748.0,12,23,1741.0,138849,13,14,9,21,19,64864,67.0,7,11,54755,3050,173.0,4,2
1,19,55710.0,21145.0,20,14,20655.0,132339,21,14,22,28,15,86863,70.0,21,19,71405,16687,185.0,10,2
1,15,69190.0,25740.0,14,9,,196424,15,5,16,27,12,112082,,29,13,115868,38195,175.0,20,2
1,22,,31750.0,23,0,,264994,31,3,10,13,1,623901,,35,29,147379,124632,,20,0
1,3,62255.0,24189.0,5,3,5751.0,187231,5,7,4,12,7,79522,64.0,27,5,82930,34011,176.0,20,2
1,14,20429.0,4189.0,13,0,,140939,14,15,10,24,13,29283,62.0,1,12,20075,2118,181.0,12,2
1,10,50317.0,18455.0,1,12,2094.0,138294,1,9,1,4,4,68778,70.0,16,1,61900,6230,175.0,18,2
1,29,48798.0,17908.0,8,4,12892.0,135468,9,2,17,8,9,75247,64.0,14,9,61314,8068,181.0,3,2
1,5,,23481.0,6,0,,185160,6,3,10,19,21,97620,,20,6,83580,35353,,20,3
1,16,,25763.0,17,6,,186228,18,11,6,15,11,93721,70.0,30,16,80028,37325,193.0,20,2
1,25,30026.0,7147.0,27,18,140921.0,140611,28,0,23,8,16,57601,62.0,2,26,32008,563,172.0,11,2
1,6,,24947.0,23,0,,134819,8,8,10,2,29,109919,,6,8,95738,32032,,20,2
1,4,55237.0,17078.0,10,8,1066.0,133707,11,4,8,17,28,64693,60.0,11,11,38480,6269,181.0,5,2
1,26,4863.0,446.0,29,0,23661.0,140571,30,7,13,29,30,15732,57.0,0,28,8397,65,159.0,13,2
1,29,48798.0,17908.0,8,4,12892.0,135468,9,2,17,8,9,75247,64.0,14,9,61314,8068,181.0,3,2
1,8,40668.0,10220.0,3,0,2217.0,140476,3,8,2,0,3,71284,,4,3,45724,3147,174.0,20,2
1,17,7418.0,3335.0,15,0,,140090,16,7,10,11,6,30946,,3,14,13892,169,170.0,9,2
1,24,83295.0,28377.0,26,17,84000.0,212377,27,2,5,26,0,587366,62.0,34,25,141854,84019,171.0,20,2
1,33,61573.0,23641.0,4,2,2423.0,186945,4,7,3,3,17,91043,,26,4,82430,43007,,7,3
1,22,64739.0,,7,0,,188088,7,15,10,10,10,86932,60.0,24,7,96302,16947,177.0,20,2
1,2,41075.0,10536.0,0,1,8232.0,140489,0,7,0,14,23,60455,68.0,5,0,46549,948,183.0,15,2
1,23,,24107.0,24,0,,176926,25,16,10,5,32,89262,,28,23,74368,37470,,20,1
1,11,52110.0,19577.0,18,0,,150271,19,2,10,8,22,75262,66.0,19,17,65915,9073,183.0,6,0
1,1,,25026.0,31,20,31358.0,198985,33,3,7,23,21,109855,54.0,31,31,109700,58639,163.0,20,2
1,22,,20904.0,23,0,,172101,23,6,10,25,2,93517,,18,22,94659,22630,176.0,20,2
1,28,41886.0,13566.0,28,19,128269.0,140495,29,7,24,9,5,64917,65.0,10,27,53957,2275,184.0,16,2
1,14,20429.0,4189.0,13,0,,140939,14,15,10,24,13,29283,62.0,1,12,20075,2118,181.0,12,2
1,9,52039.0,20580.0,2,7,6384.0,141083,2,7,19,12,24,77431,66.0,17,2,69128,12800,176.0,2,3
1,32,54397.0,22077.0,25,16,,170980,26,2,10,6,27,79451,,25,24,56841,31066,174.0,20,1
1,0,70678.0,27025.0,9,5,,194068,10,17,18,16,20,101820,,32,10,120394,45349,178.0,20,2
1,27,47560.0,13541.0,30,0,,141298,32,13,10,20,25,66584,63.0,8,30,60915,6526,176.0,1,3
