Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,15535592,26,26,0,15533634,1
0,13088041,23,23,1,13087050,1
0,2887522,5,5,0,2884196,1
0,8100373,12,12,0,8099708,0
0,2385948,3,3,0,2384263,1
0,1224915,2,2,1,1223366,0
0,18569916,32,32,0,18567811,1
0,9660409,20,20,4,9659774,1
0,20691680,37,37,0,20687577,0
0,20084058,36,36,0,20081842,0
0,22917396,41,41,0,22916293,0
0,7442496,10,10,3,7441054,0
0,3388596,6,6,0,3386035,0
0,7460551,11,11,0,7459967,1
0,8892434,18,18,0,8890575,0
0,14601803,24,24,0,14599311,0
0,22919345,42,42,1,22917489,0
0,21160683,38,38,1,21158294,0
0,9243759,19,19,3,9241420,1
0,5683900,8,8,0,5682041,1
0,14876341,25,25,0,14873024,0
0,21202044,39,39,3,21201277,0
0,16883348,28,28,1,16882523,1
0,12513680,22,22,1,12512236,1
0,17428676,31,31,3,17427897,1
1,767777,0,0,2,765565,0
0,8719393,15,15,1,8718089,1
0,996955,1,1,0,994757,1
0,19407046,34,34,0,19403750,1
0,17427877,30,30,0,17426891,1
0,16636077,27,27,3,16633784,0
0,8721067,17,17,1,8720480,1
0,19880381,35,35,0,19879143,1
0,4764197,7,7,0,4763523,0
0,8720335,16,16,1,8719457,1
0,8230637,13,13,3,8228810,0
0,24181479,43,43,1,24178167,1
0,8493706,14,14,1,8492307,1
0,2743380,4,4,3,2741554,0
0,18876950,33,33,1,18876013,0
0,7156671,9,9,0,7153471,1
0,9862316,21,21,3,9860879,1
0,21851320,40,40,0,21850049,1
0,17031788,29,29,3,17030570,1
