Sport_Type,Stage_Label,Host_Country,Pro_Cycling_Stats_Race_Id,Start_Location,Stage_Type,Stage_Winner,Race_Event,Next_Stage,Stage_Date,Previous_Stage,Stage_Number,General_Classification_Leader,Stage_Description,End_Location
1,17,3,209957.0,50,16,3,5,12,12,19,8.0,23,7,34
1,49,9,255448.0,0,19,34,16,41,33,49,3.0,20,4,18
1,39,3,247147.0,49,19,20,11,30,19,44,4.0,13,4,9
1,21,7,219690.0,56,18,6,6,15,16,27,3.0,4,9,17
1,29,3,247221.0,13,16,6,10,22,25,32,13.0,11,7,28
1,56,3,279367.0,18,2,34,22,52,43,53,,20,6,6
1,8,6,190805.0,28,18,12,2,5,6,10,6.0,17,8,54
1,22,7,219692.0,51,20,11,6,53,17,28,5.0,4,9,32
1,34,3,247227.0,37,19,14,10,27,30,37,18.0,24,7,4
1,44,3,256787.0,18,2,34,18,45,39,41,,20,6,6
1,2,3,181062.0,46,1,13,4,13,2,2,,8,4,16
1,48,9,255453.0,1,14,34,18,50,44,47,,20,6,0
1,32,3,247225.0,52,18,16,10,25,28,35,16.0,11,7,39
1,25,3,247231.0,32,0,35,14,33,44,15,,21,6,26
1,36,3,247230.0,12,17,9,10,53,32,39,21.0,21,7,26
1,38,3,247146.0,22,18,24,11,29,18,43,3.0,13,4,44
1,10,6,190808.0,15,16,32,2,53,8,12,9.0,6,8,14
1,51,9,255450.0,23,19,18,16,43,35,51,5.0,20,4,19
1,14,3,209961.0,8,20,3,5,9,15,16,11.0,23,7,31
1,30,3,247222.0,19,17,9,10,23,26,33,14.0,11,7,52
1,5,6,190801.0,21,16,19,2,2,3,7,2.0,5,8,11
1,42,1,247576.0,17,8,25,13,37,44,23,,14,6,1
1,11,0,190625.0,45,15,38,3,17,44,4,,25,6,41
1,9,6,190806.0,55,16,22,2,6,7,11,7.0,17,8,43
1,28,3,247220.0,14,18,17,10,21,24,31,12.0,11,7,10
1,4,2,187767.0,48,6,21,4,14,44,3,,12,1,8
1,50,9,255449.0,2,20,31,16,42,34,50,4.0,20,4,3
1,3,3,,20,20,4,1,1,1,6,3.0,3,5,13
1,26,3,247218.0,25,18,28,10,19,22,40,10.0,11,7,50
1,53,5,272301.0,42,11,15,20,51,44,26,,10,6,25
1,43,1,247595.0,26,9,25,12,38,44,25,,14,6,51
1,35,3,247229.0,3,19,35,10,28,31,38,20.0,9,7,46
1,57,4,281039.0,30,20,5,21,54,42,56,1.0,1,4,23
1,7,6,190804.0,54,16,21,2,4,5,9,5.0,12,8,21
1,24,3,219288.0,43,16,8,7,16,9,29,3.0,15,4,5
1,31,3,247223.0,41,19,35,10,24,27,34,15.0,11,7,35
1,23,3,219291.0,24,13,26,8,40,44,14,,15,6,7
1,37,3,247151.0,27,5,33,14,35,44,22,,19,6,38
1,13,3,209960.0,39,20,0,5,8,14,21,10.0,23,7,27
1,46,8,255766.0,34,7,10,18,47,44,24,,7,6,15
1,45,3,256784.0,31,4,29,17,46,38,42,,16,6,48
1,12,3,209970.0,7,0,30,9,18,44,5,,18,0,53
1,20,7,219693.0,29,12,6,8,39,44,13,,4,2,32
1,55,5,272298.0,44,19,15,19,49,41,55,5.0,10,4,2
1,47,8,255764.0,47,19,24,15,36,37,48,4.0,13,4,49
1,27,3,247219.0,38,20,0,10,20,23,30,11.0,11,7,37
1,19,3,232451.0,11,3,2,8,34,44,0,,0,3,29
1,33,3,247226.0,6,19,1,10,26,29,36,17.0,11,7,24
1,54,5,272297.0,5,16,8,19,48,40,54,4.0,6,4,30
1,0,3,172963.0,33,1,7,0,0,0,1,,2,4,12
1,40,3,247149.0,10,20,37,11,31,20,45,6.0,19,4,45
1,16,3,209956.0,53,16,27,5,11,11,18,7.0,23,7,20
0,1,1,,4,10,36,23,53,44,56,,22,4,47
1,18,3,209958.0,40,17,29,5,7,13,20,9.0,23,7,42
1,15,3,209955.0,9,16,8,5,10,10,17,6.0,23,7,40
1,52,9,255451.0,35,20,31,16,44,36,52,6.0,20,4,33
1,6,6,190802.0,16,16,21,2,3,4,8,3.0,5,8,36
1,41,3,247150.0,36,16,23,11,32,21,46,7.0,19,4,22
