Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,3114645,5,5,1,4,3113716
0,11338656,19,19,2,4,11337604
1,2584883,3,3,1,3,2583168
0,15208834,26,26,4,3,15207657
1,2484598,2,2,1,4,2482946
1,16536814,29,29,1,4,16535087
1,10739420,17,17,2,4,10738391
0,19198058,34,34,1,4,19196265
0,14037154,25,25,2,4,14036102
1,21652250,38,38,1,4,21651465
0,7265620,10,10,1,4,7263896
1,3408436,6,6,1,3,3406694
1,8102835,11,11,4,4,8101324
0,12475698,23,23,1,4,12473968
0,16035426,28,28,2,3,16034275
0,11110825,18,18,1,4,11109716
0,5858117,8,8,2,4,5857149
1,109749,41,41,1,2,108094
1,19719069,36,36,1,4,19717789
0,11827525,20,20,1,3,11825876
1,13536464,24,24,1,3,13535010
1,16940003,31,31,1,0,16938267
0,12085133,22,22,2,3,12083649
1,19493479,35,35,4,4,19491830
0,729313,0,0,1,4,727583
1,9500152,14,14,1,3,9498311
1,2078700,1,1,0,4,2077966
1,17697736,32,32,1,0,17696702
0,15966851,27,27,1,3,15965034
0,10151192,16,16,1,4,10149456
0,21644712,37,37,2,0,21643691
0,4856229,7,7,4,3,4855079
1,10013846,15,15,5,4,10011450
0,8727146,12,12,1,3,8725272
0,24170195,40,40,1,0,24168318
0,9262006,13,13,1,3,9260762
0,2789368,4,4,3,1,2788047
1,18084214,33,33,1,4,18082439
0,7182424,9,9,4,3,7181951
0,11903031,21,21,2,4,11901664
1,23930113,39,39,2,4,23929616
1,16543225,30,30,1,0,16541663
