EntityType,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,6912,11,11,1,0,37,4054,1
0,152656,70,70,1,0,6,149750,0
0,3512,38,38,1,0,46,570,1
1,2374,41,41,3,1,47,2,0
0,613086,34,34,1,0,12,611617,1
0,39716,21,21,1,0,15,38265,1
0,623307,61,61,1,0,4,621664,0
0,2321780,59,59,1,0,21,2320431,0
1,2321637,22,22,3,1,22,2320534,0
1,513352,29,29,3,1,13,509741,1
1,5459,12,12,3,1,38,369,1
1,85207,71,71,3,1,4,81746,1
1,6009,72,72,3,1,57,1594,1
0,241168,58,58,1,0,2,239609,0
0,10189,66,66,1,0,56,8723,0
0,12357,14,14,1,0,40,7624,1
1,13981,7,7,3,1,17,12296,1
1,166284,40,40,3,1,6,162214,0
0,2470,32,32,1,0,44,2,0
1,48747,75,75,3,1,16,45235,1
0,585395,44,44,1,0,3,582072,0
0,1879,4,4,2,0,25,2,1
0,826483,26,26,1,0,11,824891,0
0,187784,9,9,1,0,8,184617,1
0,3165,35,35,2,0,45,1,1
0,528926,68,68,1,0,11,526836,1
1,2326,13,13,3,1,39,2,0
0,463665,37,37,1,0,5,460870,0
1,467386,67,67,0,1,11,461438,1
1,576641,69,69,3,1,1,572922,0
0,219070,17,17,1,0,7,217661,0
1,1251315,39,39,3,1,19,1250056,1
0,14382,52,52,1,0,4,9970,1
1,31870,54,54,3,1,51,22712,1
0,574606,45,45,1,0,3,573398,0
0,2053,48,48,1,0,33,2,0
1,13747,19,19,3,1,18,12191,1
1,6974,51,51,3,1,50,1995,1
0,1537,1,1,2,0,27,2,1
0,1556,2,2,2,0,60,3,1
0,1997,5,5,1,0,26,1,0
0,26175,24,24,2,0,21,23011,1
1,375450,16,16,3,1,23,373273,0
1,11280,8,8,3,1,35,2713,1
0,72487,43,43,1,0,22,68564,1
0,3322,10,10,2,0,36,2,0
0,2309,31,31,1,0,32,3,0
0,5982,0,0,1,0,59,4234,1
0,4784,27,27,1,0,43,3,0
0,1059473,74,74,1,0,20,1058121,0
0,2868,25,25,1,0,29,1600,1
0,348754,57,57,1,0,22,344585,1
0,4686,63,63,2,0,54,1,1
0,24031,23,23,1,0,28,21731,1
0,478366,53,53,1,0,14,476669,1
0,4676,65,65,1,0,55,3,0
0,1271,28,28,1,0,30,3,0
1,8695,49,49,3,1,34,5075,0
0,2498,42,42,1,0,48,3,0
1,1119042,64,64,3,1,19,1112740,1
0,595601,33,33,1,0,12,591036,1
0,78154,46,46,1,0,0,73799,1
0,37338,36,36,1,0,24,35617,1
0,35785,3,3,1,0,9,34078,1
0,89064,47,47,1,0,0,84641,1
0,769652,6,6,1,0,10,767703,0
0,5803,62,62,1,0,53,896,1
0,4720,20,20,1,0,42,2,0
0,4039,60,60,1,0,52,1,1
0,2312,50,50,1,0,49,2,0
0,22057,55,55,1,0,9,19652,1
0,5221,30,30,1,0,31,2141,1
1,4653,15,15,3,1,41,1,0
1,72456,18,18,3,1,6,65872,1
0,2190,73,73,1,0,58,1,0
0,21673,56,56,1,0,24,20189,1
