EntityType,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,1713823,9,9,2,0,28,1711409,0
1,32772,99,99,1,1,4,29866,1
0,373899,30,30,2,0,5,371611,1
0,721934,77,77,2,0,23,719244,1
0,428427,90,90,3,0,20,425755,0
0,1516533,45,45,2,0,30,1514173,1
0,465591,162,162,2,0,15,462814,0
0,54199,33,33,2,0,56,51578,1
1,952113,117,117,1,1,23,949273,1
0,1024944,233,233,2,0,29,1022305,0
1,199898,37,37,1,1,19,197364,1
0,404584,119,119,2,0,21,402206,0
0,473501,202,202,3,0,23,470631,0
0,246580,89,89,2,0,19,243767,0
0,33755,28,28,2,0,42,30969,0
0,355891,244,244,2,0,6,353552,0
0,993191,46,46,2,0,30,990858,1
1,1100880,194,194,1,1,23,1098211,1
1,1123469,221,221,1,1,24,1120611,0
0,1161129,167,167,2,0,30,1158613,0
1,32977,216,216,1,1,83,30248,1
0,33431,27,27,2,0,53,30843,1
0,184674,6,6,2,0,12,182293,0
0,1757922,188,188,2,0,30,1755496,1
0,553480,174,174,3,0,1,550610,0
0,16153,31,31,2,0,54,13502,0
0,292921,245,245,2,0,6,290183,1
0,256062,179,179,2,0,5,253732,0
0,25495,52,52,2,0,59,22811,0
0,8691,195,195,2,0,76,6085,1
0,180436,213,213,2,0,11,177890,1
0,15222,212,212,2,0,80,12538,1
0,849988,205,205,2,0,23,847319,0
0,1919214,105,105,2,0,29,1916677,1
0,546874,143,143,2,0,15,544250,0
1,1014233,135,135,1,1,29,1011738,0
0,519004,251,251,2,0,7,516413,0
0,1176004,166,166,2,0,30,1173581,0
0,82609,138,138,3,0,19,79808,1
1,316755,120,120,1,1,24,314314,0
0,622377,43,43,2,0,29,620053,0
0,483376,98,98,2,0,24,480707,1
0,1314205,92,92,2,0,30,1311887,0
0,1015945,209,209,2,0,23,1013150,1
0,204433,65,65,2,0,14,201761,1
0,1745786,14,14,2,0,29,1743231,0
0,125132,83,83,2,0,4,122370,1
1,17633,23,23,1,1,51,14982,0
0,4209,122,122,2,0,67,1423,0
0,187941,232,232,2,0,5,185287,0
0,1035713,60,60,2,0,25,1032837,0
0,425184,136,136,2,0,16,422410,0
0,513629,257,257,3,0,15,510834,0
0,568671,173,173,2,0,30,566338,1
0,1115182,220,220,2,0,24,1112378,0
1,432436,159,159,1,1,15,429818,0
0,218715,57,57,2,0,17,215884,1
1,86749,153,153,1,1,3,84020,1
1,396102,72,72,1,1,19,393418,0
1,107074,254,254,1,1,2,104540,0
0,602587,44,44,2,0,29,600077,0
1,389747,164,164,1,1,15,387120,0
0,422008,200,200,2,0,17,419294,0
0,1065877,198,198,2,0,25,1063010,0
0,378614,163,163,2,0,15,375975,0
0,309384,111,111,2,0,5,306937,0
0,585607,84,84,2,0,6,583331,1
0,7162,21,21,2,0,49,4697,0
0,650434,41,41,3,0,14,647633,1
0,23290,218,218,2,0,48,20606,1
0,9867,63,63,2,0,61,7462,0
1,442799,201,201,1,1,23,439932,1
0,1695278,8,8,2,0,28,1692543,1
0,700388,16,16,2,0,15,697620,0
0,14845,49,49,3,0,58,11996,0
0,8092,214,214,2,0,81,5759,0
1,13979,197,197,1,1,78,11352,1
0,1045611,208,208,3,0,23,1042786,0
0,15062,88,88,2,0,64,12438,0
0,1061168,113,113,4,0,23,1059124,0
0,8115,172,172,3,0,47,5269,1
0,379418,170,170,2,0,32,376740,1
0,1966199,104,104,2,0,29,1963551,1
0,585177,204,204,3,0,23,582301,0
0,475012,142,142,2,0,7,472298,0
0,1324430,91,91,2,0,30,1322082,0
0,1096585,235,235,2,0,29,1093946,1
1,9580,196,196,1,1,77,6749,1
0,50888,152,152,2,0,20,48174,1
0,1062895,234,234,2,0,29,1060310,1
0,758419,47,47,2,0,21,756089,0
0,12594,151,151,2,0,74,9967,0
0,9089,217,217,2,0,83,6579,1
1,45075,125,125,1,1,70,42286,0
1,1578209,101,101,1,1,28,1575672,1
0,1818146,109,109,2,0,29,1815771,0
0,466038,177,177,2,0,24,463714,0
0,1851640,107,107,2,0,29,1848668,0
0,139709,253,253,2,0,1,138117,0
1,290907,118,118,1,1,21,288478,0
0,1171520,40,40,2,0,27,1169280,1
0,2047179,184,184,2,0,29,2044399,1
0,800723,165,165,2,0,22,798375,0
0,12158,12,12,2,0,41,9363,1
0,21771,86,86,2,0,62,19363,0
0,488327,203,203,3,0,23,485541,0
0,454333,158,158,2,0,15,451748,0
0,262330,243,243,2,0,6,259847,0
0,568854,259,259,2,0,15,566233,0
0,16377,145,145,2,0,72,13513,1
0,180486,36,36,2,0,19,177754,1
0,1596686,185,185,2,0,29,1594209,0
0,301826,242,242,2,0,29,299487,0
0,736453,81,81,3,0,23,733583,0
0,1129346,169,169,2,0,30,1126764,1
0,20976,59,59,2,0,44,18310,0
0,5331,150,150,2,0,73,2932,0
0,629809,114,114,3,0,13,627020,1
0,1825289,187,187,2,0,30,1822929,0
1,590672,258,258,1,1,15,588504,0
0,6553,121,121,2,0,66,4166,1
0,1152306,222,222,2,0,24,1149583,0
0,13678,156,156,2,0,3,10931,1
0,468388,70,70,3,0,6,465485,0
1,476059,149,149,1,1,5,473501,0
1,1152001,180,180,1,1,28,1149578,1
0,1007699,206,206,2,0,23,1005114,1
0,1147282,168,168,2,0,30,1144757,1
0,696919,75,75,2,0,23,694046,0
0,1156973,236,236,2,0,29,1154469,0
0,221070,141,141,2,0,9,218443,1
0,463778,82,82,2,0,16,460986,0
0,11062,5,5,2,0,37,8450,0
0,1553361,182,182,2,0,28,1550629,1
0,280853,66,66,2,0,23,278046,0
0,546370,48,48,2,0,8,543824,0
0,399549,238,238,2,0,16,396772,0
0,57145,58,58,3,0,44,54284,0
0,817323,80,80,2,0,23,814468,0
1,408107,18,18,1,1,5,405750,0
0,60414,227,227,2,0,85,57859,1
0,988200,207,207,2,0,23,985546,1
0,7898,11,11,2,0,40,5274,1
0,245264,50,50,2,0,0,242583,0
0,4732,124,124,2,0,69,2051,0
0,21506,61,61,2,0,60,18858,0
0,23129,127,127,3,0,71,20358,1
0,428401,71,71,2,0,18,425663,0
