Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,ProCyclingStatsCyclistId,CyclistDescription,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CitizenshipCountry,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,SportCountry
0,9,71992.0,26637.0,7,6,201838,0,2,4,111683,76.0,9,8,4,6,0,1,125323,61988,5,176.0,4
0,2,82827.0,30643.0,9,9,217465,4,2,7,227110,,10,10,6,8,4,6,151350,97547,5,184.0,4
0,7,65955.0,26396.0,3,11,189441,3,4,1,92304,,5,4,8,11,2,0,110201,41293,2,186.0,1
0,1,,,8,7,239223,7,2,3,221617,,11,5,10,7,5,5,137570,96312,6,,3
0,5,27804.0,15286.0,0,5,137756,10,2,11,55839,,1,9,0,5,8,9,39975,5273,3,170.0,6
0,8,,26392.0,6,4,193131,1,2,6,148275,69.0,7,1,9,4,1,2,89152,45363,4,176.0,0
0,10,,,10,8,259695,8,2,10,199947,,12,10,5,9,6,7,166006,127939,7,,4
0,11,41076.0,13362.0,11,10,139405,5,3,12,65995,70.0,2,2,1,10,7,9,51551,3277,8,177.0,5
0,0,56070.0,20777.0,5,3,179769,2,1,5,86568,71.0,4,7,8,3,2,8,79781,18575,0,180.0,4
0,6,69671.0,28448.0,4,2,197781,1,2,2,152803,,6,6,7,2,1,3,101978,53489,5,191.0,0
0,4,,26965.0,1,1,206730,6,2,0,162997,70.0,8,11,3,0,3,4,128820,71333,5,176.0,2
0,10,,2762.0,0,8,138150,11,2,9,30887,,0,0,8,1,8,9,10624,9030,5,,4
0,3,52038.0,20697.0,2,0,156131,9,0,8,86630,68.0,3,3,2,0,3,9,68186,20584,1,180.0,2
