GnsUniqueFeatureId,LocatorMapImage,ElevationMeters,Latitude,CommonsCategory,GeoNamesId,FlagImage,Longitude,FreebaseId,INaturalistPlaceId
-932686.0,40,2756.0,-1.67434722,63,3652349.0,32,-78.64829444,70,29799.0
-927220.0,30,2160.0,-3.159028,46,3657794.0,69,-79.147568,53,
-924563.0,1,2500.0,-2.9833333333,3,3660431.0,3,-79.1666666667,10,12975.0
-925751.0,30,2464.0,-1.93333333,46,3659255.0,44,-79.06666667,81,29772.0
-934064.0,30,1636.0,-4.32777778,46,3650979.0,67,-79.78972222,96,29873.0
-934923.0,28,8.0,-2.19,83,3650124.0,68,-79.8875,91,29848.0
-927394.0,9,3200.0,-1.93333333,30,3657620.0,4,-78.71666667,82,29795.0
10547187.0,44,62.0,-2.1166666667,70,7062138.0,16,-80.5833333333,35,91250.0
-930354.0,30,2078.0,-3.9833333333,38,3654666.0,58,-79.2,3,29866.0
-927292.0,30,15.0,-3.2388,46,3657722.0,54,-79.8292,40,
-931144.0,30,25.0,-2.67364,46,3653882.0,55,-79.6183,38,
-929747.0,22,,0.0023,36,3655272.0,69,-79.3846,56,
-926822.0,12,,1.24994,23,3658191.0,21,-78.98421,86,29822.0
-925461.0,30,2236.0,-4.1025,13,3659543.0,69,-79.95444444,51,29862.0
-933418.0,43,2417.0,-1.7000000000000002,65,3651621.0,69,-79.03333333,68,29777.0
-927032.0,16,3190.0,0.621,26,3657981.0,23,-77.94,69,29786.0
-925148.0,30,3052.0,-2.4837,11,3659851.0,60,-78.9784,100,29780.0
-926524.0,30,,-2.7726,20,3658488.0,53,-78.9183,55,29781.0
-934602.0,50,2718.0,-1.2333333333,81,3650445.0,19,-78.5333333333,26,10503.0
-932349.0,36,2927.0,-0.95,58,3652683.0,69,-78.69,74,29803.0
-926818.0,11,272.0,-3.4833333333,22,3658195.0,8,-79.8166666667,12,10502.0
-927293.0,30,18.0,-3.2388,21,3657721.0,54,-79.8292,67,29811.0
-927354.0,30,850.0,-3.4015361111,29,3657660.0,69,-78.5813055556,95,29904.0
-933724.0,30,547.0,-3.4298,73,3651317.0,69,-78.5656,101,29909.0
-934735.0,30,7.0,1.24994,46,3650312.0,21,-78.98421,33,
-930480.0,30,1030.0,-2.3,42,3654541.0,2,-78.1166666667,52,
-930476.0,30,448.0,-4.38333333,41,3654544.0,69,-79.95,80,29867.0
-931146.0,30,27.0,-2.6728,45,3653880.0,55,-79.615,45,29840.0
-924182.0,30,1303.0,-4.01808,46,3660809.0,30,-80.01971,49,
-933686.0,30,7.0,-3.45222222,72,3651355.0,64,-79.96166667,63,29819.0
-932301.0,30,0.0,-1.5588888889,57,3652731.0,29,-80.8105555556,54,
-929382.0,21,2500.0,0.4666666667,34,3655635.0,10,-78.3833333333,18,10521.0
-927026.0,13,6.0,1.05,24,3657987.0,9,-79.2,99,29823.0
-933760.0,30,,-0.5893,67,3651282.0,40,-80.4088,76,
-933746.0,46,989.0,-0.2541666667,74,3651296.0,35,-79.1719444444,44,98923.0
-932574.0,39,2839.0,-0.2186111111,62,3652461.0,62,-78.5097222222,36,29924.0
-927505.0,30,4.0,-2.19,32,3657509.0,24,-79.8875,0,
10547184.0,45,604.0,-0.3333333333,75,7062136.0,17,-79.25,28,96859.0
-933605.0,10,41.0,-2.2267,69,3651436.0,50,-80.8583,85,98914.0
-933798.0,30,2863.0,-3.6253,76,3651244.0,69,-79.2411,88,29872.0
-925764.0,30,2448.0,-1.7000000000000002,14,3659242.0,69,-79.01666667,83,29773.0
-924785.0,8,2608.0,-2.71,5,3660210.0,69,-78.88,87,29779.0
-931514.0,30,1909.0,-4.05,49,3653515.0,69,-79.65,106,29868.0
-930355.0,23,,-4.0333333333,39,3654665.0,11,-79.7333333333,19,8217.0
10547184.0,45,604.0,-0.3333333333,75,7062136.0,17,-79.25,28,96859.0
-931903.0,30,1471.0,-3.6666666667,8,3653129.0,27,-79.65,2,29817.0
-931020.0,29,808.0,-2.45,44,3654005.0,13,-77.9833333333,22,10523.0
-933977.0,30,2755.0,-3.0897,79,3651065.0,69,-78.8032,64,29770.0
-932447.0,30,1312.0,-4.0162416853,59,3652587.0,30,-80.0224493801,5,29870.0
-934491.0,30,11.0,-0.7863888889,46,3650554.0,36,-80.2341666667,31,
-925284.0,5,3790.0,0.75,9,3659718.0,5,-78.0833333333,16,12978.0
-934087.0,30,831.0,-2.46,78,3650956.0,42,-78.17,30,
-934926.0,30,10.0,-2.12,82,3650121.0,68,-79.69,32,
-926514.0,26,4.0,-1.86666667,19,3658498.0,52,-79.98333333,34,29833.0
-927506.0,27,9.0,-2.1833333333,46,3657508.0,24,-79.8833333333,41,49266.0
-932940.0,42,7.0,-2.21666667,64,3652097.0,43,-80.95,77,98916.0
-924194.0,0,2285.0,-2.2,0,3660797.0,69,-78.85,47,29790.0
-935089.0,30,899.0,-4.12,85,3649958.0,9,-78.8,108,29948.0
-927027.0,15,184.0,0.7333333333000001,25,3657986.0,9,-79.15,13,12989.0
-932089.0,30,621.0,-3.72,46,3652943.0,69,-79.62,109,
-934575.0,49,2939.0,0.8108333333000001,80,3650471.0,65,-77.7200277778,61,29789.0
-930283.0,30,1100.0,-2.96625,37,3654737.0,13,-78.4305277778,93,
-925519.0,30,,-3.85,46,3659485.0,69,-79.65,48,
-934995.0,30,822.0,-3.8295,84,3650052.0,66,-78.7595,72,29947.0
-925769.0,6,3642.0,-1.9833333333,15,3659237.0,7,-78.7166666667,17,12980.0
-932808.0,41,3042.0,-0.3345,46,3652228.0,63,-78.4475,105,29925.0
-931807.0,34,,-0.25,54,3653224.0,15,-78.5833333333,24,
-930571.0,25,89.0,-0.75,43,3654451.0,12,-80.0833333333,21,8126.0
-924479.0,30,6.0,0.8666666667,1,3660515.0,45,-79.8333333333,107,
-931635.0,32,363.0,-1.06666667,50,3653394.0,37,-78.00111111,73,49269.0
-925405.0,30,1373.0,-3.98,10,3659598.0,49,-79.35,6,29861.0
-932574.0,39,2839.0,-0.2186111111,62,3652461.0,62,-78.5097222222,36,29924.0
-931700.0,30,2200.0,-2.7818,52,3653330.0,1,-78.76,78,29765.0
-925116.0,30,1635.0,-4.32,7,3659882.0,47,-79.56,4,29860.0
-929573.0,30,274.0,-1.33333,35,3655445.0,56,-80.5833,103,29889.0
-927510.0,20,15.0,-1.9,33,3657505.0,24,-79.8,1,12991.0
-924561.0,30,2802.0,-2.7333333333,2,3660433.0,26,-78.8333333333,11,29778.0
-935134.0,30,1279.0,-3.43333333,88,3649913.0,69,-79.6,65,29820.0
-932574.0,39,2839.0,-0.2186111111,62,3652461.0,62,-78.5097222222,36,29924.0
9125914.0,47,300.0,-0.05,77,3830305.0,18,-76.7,25,10094.0
