ViafId,GndId,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,IsniIdentifier,IdRefId,MainCategory,NationalLibraryOfIsraelJ9uId,NlCrAutId,QuoraTopicId
130185857.0,25,222,104,95,120973932.0,29779480.0,84,9.870093437790052e+17,0,83
284129244.0,177,192,6,87,404949619.0,,132,,0,73
156242131.0,151,149,231,117,107085391.0,29152798.0,106,9.870073022865052e+17,54,73
140733222.0,177,104,137,195,121714027.0,26646870.0,190,9.870072693811052e+17,105,73
132683760.0,105,220,60,170,121612573.0,26431939.0,161,9.870072693890052e+17,72,145
145844349.0,23,166,40,140,419368921.0,28101138.0,171,9.870072690968051e+17,67,155
148728119.0,177,211,3,87,404232984.0,,209,,0,169
140733222.0,177,104,137,195,121714027.0,26646870.0,190,9.870072693811052e+17,105,73
157729247.0,2,131,67,88,121935532.0,28891597.0,77,9.870072661666052e+17,128,74
155908975.0,177,201,19,87,104215437.0,,209,9.870074017000051e+17,37,73
124127252.0,170,228,87,66,459033130.0,32150547.0,62,9.870072646220051e+17,73,62
284976748.0,33,2,68,79,121590001.0,27627063.0,72,9.870074406488051e+17,79,73
129553616.0,130,156,35,124,121891568.0,34281290.0,112,9.870075117609052e+17,28,106
138983253.0,70,53,109,7,121693326.0,30382459.0,6,9.870074360976051e+17,0,4
139058582.0,129,17,13,96,121689431.0,26418436.0,85,9.870072666190052e+17,14,73
144834915.0,112,8,86,169,107216013.0,,160,9.870075081370052e+17,84,144
150695858.0,175,162,139,153,123533326.0,150194080.0,23,9.870075856587052e+17,0,26
129553616.0,130,156,35,124,121891568.0,34281290.0,112,9.870075117609052e+17,28,106
216707392.0,124,87,77,24,,26532026.0,24,9.870075263747052e+17,119,51
143949988.0,8,36,53,159,121752154.0,,147,9.870074592587052e+17,43,135
129736338.0,26,44,90,163,406400021.0,26453177.0,154,9.870074541353052e+17,8,141
139514305.0,177,241,0,87,,,33,,7,73
181230204.0,50,58,0,16,405160767.0,,209,,0,14
145288976.0,177,97,204,64,106996070.0,,60,,0,59
143949988.0,8,36,53,159,121752154.0,,147,9.870074592587052e+17,43,135
169165874.0,177,0,175,4,120363165.0,,3,,0,73
130333233.0,115,171,62,186,121572938.0,26432188.0,182,9.870073067686052e+17,80,164
133659704.0,0,130,18,179,404517306.0,,175,,112,86
312905953.0,177,158,0,38,417563635.0,,209,,0,35
132258348.0,142,75,227,212,122432806.0,27294560.0,200,9.870072696657052e+17,75,178
130118418.0,57,236,0,84,406325076.0,,75,9.870074542717052e+17,85,73
158293165.0,49,116,140,61,107098686.0,,56,,0,73
261059942.0,15,1,63,130,419369705.0,33602573.0,119,9.870075263818052e+17,93,113
