ViafId,GndId,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,IsniIdentifier,IdRefId,MainCategory,NationalLibraryOfIsraelJ9uId,NlCrAutId,QuoraTopicId
135375457.0,6,4,11,6,123312734.0,80728499.0,6,9.870075597778052e+17,8,5
125035363.0,2,3,10,4,122428348.0,26358662.0,2,9.870075597780051e+17,11,3
132440532.0,3,1,7,2,,27225984.0,3,9.870075642310052e+17,6,1
132441370.0,11,7,8,8,123088103.0,26373548.0,8,9.870075547915052e+17,1,7
127756949.0,5,8,5,11,122483427.0,26488515.0,11,9.870075549520051e+17,12,10
135958350.0,0,12,4,1,,26374196.0,1,9.870075548070052e+17,5,0
134262032.0,10,6,12,9,123751518.0,26402629.0,9,9.870075597773052e+17,3,8
130168302.0,12,10,2,12,123315230.0,26376598.0,12,9.870072691397052e+17,4,11
156652814.0,7,5,1,7,,26357240.0,7,9.870075503590052e+17,2,9
264091107.0,4,11,3,3,,26378329.0,4,9.870075525332051e+17,7,2
134262032.0,10,6,12,9,123751518.0,26402629.0,9,9.870075597773052e+17,3,8
264091107.0,4,11,3,3,,26378329.0,4,9.870075525332051e+17,7,2
155871049.0,9,0,6,13,122433868.0,,13,9.870075596614052e+17,10,13
125035363.0,2,3,10,4,122428348.0,26358662.0,2,9.870075597780051e+17,11,3
134334037.0,8,9,13,10,123587973.0,,10,9.870075481625052e+17,9,12
155871049.0,9,0,6,13,122433868.0,,13,9.870075596614052e+17,10,13
249092451.0,13,13,0,0,,,0,,0,6
134334037.0,8,9,13,10,123587973.0,,10,9.870075481625052e+17,9,12
189116956.0,1,2,9,5,122854945.0,30685435.0,5,9.870075597787052e+17,13,4
