Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,1037760,369,4,1037092
0,18293,404,3,17649
0,7200,136,4,6637
0,55025,359,4,54438
0,1457890,91,4,1457246
1,487260,204,4,486679
0,1995197,221,4,1994529
0,9057,388,4,8128
0,4555,133,4,3962
0,622513,27,4,621803
1,807166,154,4,806492
0,112468,401,1,111971
0,4870,341,4,4217
0,2682,268,4,1954
1,163066,8,4,162521
0,1955674,333,4,1955171
0,735451,97,4,734867
1,1357417,312,4,1356881
1,1481322,94,4,1480762
1,36247,73,4,35642
0,1187163,347,4,1186465
0,120884,35,2,120498
1,1921473,109,4,1920904
0,438865,352,4,438233
0,308712,370,4,308044
0,1033564,301,4,1032920
0,1578872,120,4,1578312
0,85370,62,4,84681
0,17407,265,4,16820
0,497483,126,4,496893
1,1707996,29,4,1707370
1,6677,379,4,6162
1,278070,226,4,277438
0,1731530,337,4,1730895
0,477620,209,4,476973
0,565167,382,2,564760
0,10321,127,4,9749
0,1686468,113,4,1685914
0,7629,234,4,6979
0,1645,356,4,1004
1,376974,56,4,376393
0,767988,275,4,767290
1,426818,139,4,426186
1,39701,53,4,39237
0,265007,263,4,264339
1,782,47,4,129
1,1118634,321,4,1117975
1,30799,74,4,30158
1,159847,68,4,159101
0,694973,309,4,694383
1,1637787,115,4,1637185
0,487905,171,4,487330
1,356421,430,3,355831
0,1932015,108,4,1931470
0,2027,40,4,1341
0,1743790,336,4,1743146
0,515441,210,4,514617
1,1109679,318,4,1109041
0,347837,18,3,347313
0,250738,325,4,250097
1,1579,3,4,1004
0,570400,77,4,569783
0,544317,148,1,543658
0,52129,269,4,51491
1,19103,380,3,18480
0,4829,262,4,4128
1,599763,237,4,598996
0,430625,12,4,430509
1,1142859,409,4,1142287
0,339516,229,4,338926
1,1413348,213,4,1412725
1,1066542,405,4,1065931
0,15668,345,4,15015
1,6518,306,4,5874
1,26110,308,4,25487
1,504309,428,3,503911
1,610947,367,4,610288
0,1935320,220,4,1934724
0,216763,324,4,216122
1,588625,159,3,587969
0,416038,383,4,415541
1,463493,102,3,462885
1,14001,394,4,13402
0,276224,138,4,275592
1,602338,322,4,601643
1,1845,389,2,1489
0,314714,123,4,314181
0,1464254,90,4,1463646
1,1100102,407,4,1099440
0,444695,32,4,444042
0,42175,386,4,41594
0,9261,129,4,8539
0,382637,58,4,382086
1,35038,305,4,34388
0,410050,252,4,409331
1,13194,350,3,12661
1,641578,84,4,640880
1,320021,423,4,319437
0,70385,302,4,69732
0,2893,384,4,2228
1,36160,20,4,35462
1,628319,186,3,627354
0,978860,280,1,978390
0,288480,176,4,287506
0,331967,155,4,331098
0,467996,365,4,467418
0,1344856,201,4,1344239
0,340144,413,4,339536
0,218124,168,4,217234
0,17055,49,4,16375
1,1049,288,4,204
1,789660,153,4,789061
1,855201,24,4,854569
1,281,10,5,3
0,16035,343,4,15472
1,301818,283,4,301183
1,6125,11,4,5631
0,578960,78,4,578253
0,1665163,30,4,1664528
1,538452,147,4,537880
0,278450,248,4,277617
0,473006,258,4,472107
0,16573,167,4,15977
0,1236,125,4,691
1,2152710,107,4,2152117
0,750998,203,4,750414
1,497850,298,4,497083
1,653543,85,4,652923
1,698962,98,4,698387
1,350824,414,2,350453
1,584282,134,4,583626
0,425782,143,2,425384
0,1183104,327,4,1182499
0,160801,403,4,160181
0,10872,105,3,10210
1,412598,285,4,411981
1,514088,297,4,513441
1,667099,4,4,666332
0,244449,292,4,243556
0,223254,293,4,222562
0,260483,178,4,259935
0,1069989,196,4,1069351
1,198335,43,4,197730
1,1235855,189,2,1235211
0,1109266,398,4,1108595
0,6197,387,4,5628
1,38888,80,4,38181
0,2159962,328,4,2159390
0,1411596,22,4,1410949
1,388432,197,2,388043
0,70633,60,4,70109
0,11230,374,4,10535
1,673589,187,4,672981
0,1677970,118,4,1677395
0,5761,375,4,5141
0,1875155,223,4,1874526
1,311313,422,4,310645
1,274287,174,4,273715
0,433446,208,4,432955
1,36542,385,4,35961
0,541203,104,4,540331
1,375081,122,4,374536
1,1134002,408,4,1133424
0,1473130,89,4,1472456
0,1261581,326,3,1260970
1,1739,6,4,1236
0,405277,142,4,404699
1,1581481,218,4,1580900
1,2442,289,4,1612
1,327963,424,4,327337
0,1392058,310,4,1391459
0,253089,179,4,252442
0,897457,277,4,896894
1,358436,282,2,358038
1,11470,48,2,11081
1,371048,281,4,370350
0,1943209,9,4,1942577
1,7470,273,4,6853
1,76266,284,4,75574
1,21243,14,4,20602
1,605996,243,4,605367
0,332148,411,4,331510
0,844685,368,3,844098
1,1790185,224,4,1789544
1,617680,238,4,617066
0,59685,50,4,58891
0,1591262,332,4,1590720
0,31626,357,4,31012
0,67780,415,4,67067
0,425359,253,4,424565
0,281837,180,4,281250
0,1169771,348,4,1169145
1,1192370,317,4,1191744
0,18926,390,4,18276
1,2115566,26,4,2114982
1,1094415,320,4,1093786
1,1559,52,4,987
1,395098,42,4,394403
0,128464,416,2,128075
1,1132814,319,4,1132212
0,385637,21,3,384969
1,1348,169,4,512
0,567879,381,2,567310
1,190891,67,4,190256
1,3660,198,4,3085
1,756041,100,4,755460
0,1671935,119,3,1671336
1,3008,165,4,2760
0,17644,349,4,17072
0,393310,286,4,392783
0,1001979,96,4,1001410
0,1611491,331,4,1610868
1,11006,13,4,10434
0,1840810,111,4,1840178
1,1150552,316,4,1149983
1,377041,363,4,376496
0,389569,254,4,388676
0,1212108,313,4,1211533
0,1806636,338,4,1806064
0,7249,54,4,6641
0,421453,417,4,420860
0,410649,144,2,410251
0,1121,2,4,531
0,690105,150,3,689434
0,7534,344,2,7151
0,14571,377,4,14272
0,237931,290,4,237338
0,615493,17,4,614912
0,253619,172,4,252897
0,244194,182,4,243160
0,1176204,399,4,1175530
1,668902,151,4,668282
1,22995,307,2,22609
1,47042,81,4,46335
1,6670,232,4,6140
1,462219,364,4,461563
0,1079,128,2,750
1,1784731,334,4,1784156
1,1368555,311,4,1367977
1,170789,69,4,170208
1,44727,395,3,44119
0,917604,278,4,916954
0,7294,266,4,6638
0,9111,132,2,8734
1,633393,83,4,632488
0,2852,16,4,2211
0,1604078,116,4,1603452
1,219644,72,4,218985
1,873,5,4,262
0,462632,141,4,462006
0,1707,378,4,1054
0,555039,79,4,554104
1,891600,276,1,891058
1,522983,296,4,522417
0,897652,245,4,897068
0,445439,135,4,444747
0,8892,376,4,8245
0,407298,185,4,406639
1,95645,65,4,95094
1,296809,421,4,296102
1,438791,33,4,438168
0,296422,249,4,295724
1,311595,412,2,311224
0,22912,59,2,22523
1,20624,75,4,19953
0,262228,38,4,261515
1,603114,242,4,602248
0,610905,158,4,610333
0,862102,246,3,861431
1,9993,34,4,9376
1,1439745,92,4,1439215
1,12594,200,4,11959
0,367683,156,4,367096
0,28027,45,4,27344
0,406686,140,4,406078
0,32545,267,4,31979
0,11424,41,3,10828
0,465000,354,4,464038
1,874302,279,3,873739
0,1522297,88,4,1521722
0,456160,323,4,455483
0,28680,130,3,27985
0,478938,103,4,478315
1,494817,205,4,494134
0,21792,346,4,21193
1,649380,241,4,648745
0,499409,366,3,498789
0,21840,235,4,21079
0,551183,231,2,550740
0,53116,397,5,52718
0,302673,250,4,302005
1,633183,239,2,632827
0,1148872,410,4,1148204
0,548259,145,2,547909
1,627298,101,4,626603
1,555039,429,4,554545
0,269583,420,4,268954
0,1587490,215,4,1586741
1,1038285,193,4,1037734
0,266589,177,4,265723
0,21892,340,4,21179
1,400683,57,4,400036
0,11825,46,4,11139
1,564291,149,4,563632
1,1722444,339,4,1721857
0,1871216,110,4,1870641
1,1081012,406,4,1080440
0,217404,23,4,216745
1,2130876,106,4,2130250
1,5418,236,4,4696
0,266951,175,4,266226
0,643220,202,4,642618
1,238595,173,4,237978
1,174019,66,4,173294
1,33533,391,4,32910
0,66227,304,4,65685
1,1032696,194,4,1032121
1,1279824,190,4,1279111
0,549268,76,4,548651
0,1738968,28,3,1738420
1,110877,157,5,110344
1,44362,303,3,43754
1,375323,426,4,374682
1,1894275,112,4,1893637
0,48963,358,4,48349
0,63431,64,4,62859
0,559332,146,2,558976
1,1947,15,3,1330
1,807869,25,3,807330
0,17246,271,4,16593
1,11667,264,4,10975
1,1182146,315,4,1181541
0,777907,152,4,777242
0,474095,355,4,473496
0,548591,230,2,548190
1,1654543,31,4,1654004
0,15815,361,4,15231
1,417430,207,4,416753
0,50225,396,4,49587
0,23909,362,4,23259
0,1886263,222,4,1885670
0,1420673,93,4,1420101
0,1628056,216,4,1627475
1,5356,351,4,4736
0,272757,181,4,271798
0,422988,184,4,422386
0,431207,427,4,430704
0,563485,95,2,563114
1,4939,7,4,4241
0,488252,256,4,487683
0,2141017,329,4,2140400
0,305429,372,4,304515
1,210445,137,3,209840
1,636879,161,4,636250
1,2103139,225,4,2102468
0,211634,419,5,211245
1,34921,272,4,34262
1,1570983,121,4,1570405
0,596495,162,4,595866
1,9539,199,4,8904
1,491431,299,4,490859
0,458814,353,4,458125
0,283286,425,4,282588
0,1863,44,4,1279
1,1306828,212,4,1306226
1,10499,39,2,10110
0,6256,131,2,5888
0,77237,61,4,76545
0,1685667,117,0,1685527
1,566496,300,4,565864
0,1200244,314,4,1199621
1,8071,393,4,7124
1,631273,160,4,630704
0,1299223,188,4,1298663
0,1337715,214,3,1337152
1,893116,244,3,892445
1,102031,0,4,101630
0,452612,287,4,451995
1,542828,294,4,542232
1,2082607,36,4,2081918
1,632235,87,4,631654
0,253563,291,4,252895
1,1060193,192,4,1059636
1,54130,400,4,53294
1,225709,70,3,225092
0,2016292,330,4,2015537
0,55031,270,4,54300
1,42738,392,4,42403
0,683253,99,4,682675
1,930600,247,4,929947
0,510533,431,4,509916
1,1653046,114,4,1652444
0,602022,163,4,601444
0,9693,360,4,9067
0,325661,371,4,325122
1,57983,63,4,57381
0,482096,259,4,481446
0,152203,402,4,151562
1,7816,170,4,6941
0,459742,255,4,459083
1,8984,261,4,8412
0,285006,251,4,284026
0,786,373,4,88
0,521226,211,4,520573
1,1896,260,4,1198
0,423275,206,4,422700
0,297265,228,4,296609
0,413954,418,4,413337
