host_country,general_classification_winner,official_website,pro_cycling_stats_race_id,edition_number,race_type,start_location,race_distance_km,end_location,previous_race,race_winner,race_series,race_name
0,3,0,,,0,0,117.6,2,10,3,5,10
1,7,2,178418.0,,0,7,217.4,7,11,7,2,11
5,6,3,188871.0,95.0,0,5,165.7,4,4,6,3,5
5,10,1,172903.0,69.0,1,2,186.0,1,1,10,1,1
2,8,0,,2.0,0,4,363.0,3,0,8,0,0
3,4,5,255486.0,15.0,1,6,184.0,6,7,4,4,9
5,9,4,173632.0,94.0,0,5,165.7,4,2,9,3,2
5,0,1,180829.0,70.0,1,2,186.0,1,3,0,1,4
0,5,0,247116.0,,0,8,131.8,5,8,5,5,7
0,1,0,247118.0,,0,3,149.1,8,9,2,5,8
4,2,0,173209.0,,0,1,194.2,0,6,1,6,3
3,11,5,180671.0,12.0,1,6,184.0,6,5,11,4,6
