host_country,general_classification_winner,official_website,pro_cycling_stats_race_id,edition_number,race_type,start_location,race_distance_km,end_location,previous_race,race_winner,race_series,race_name
1,5,0,293089.0,2,4,0,707.3,2,6,5,3,6
1,1,1,292910.0,24,0,1,165.9,1,4,1,4,4
5,2,5,292821.0,33,11,10,153.8,4,11,2,2,11
5,7,6,292830.0,21,10,9,158.4,9,9,8,2,10
1,6,0,,47,3,6,,10,0,7,0,0
1,3,0,296227.0,38,7,5,178.9,8,7,3,3,7
2,4,3,281046.0,83,6,3,709.8,5,2,4,1,2
5,8,4,292818.0,25,9,8,150.0,7,10,9,2,9
3,0,8,292885.0,13,8,4,,0,8,0,4,8
1,4,2,292911.0,11,1,11,189.0,11,3,4,4,3
4,6,0,280581.0,14,5,7,,6,1,6,0,1
0,9,7,290151.0,110,2,2,254.5,3,5,10,5,5
